name,vote,first,votes,ratio,sratio,vratio,male,female,mratio,fratio,hmratio,hfratio
总数,8361,-,-,-,-,-,7015,1344,83.9%,16.07%,-,-
角色,8135,7908,53272,97.21%,81.86% (7 / 8),97.3%,6819,1314,83.82%,16.15%,97.21%,97.77%
音乐,6805,6478,62572,95.19%,76.63% (9 / 12),81.39%,5695,1108,83.69%,16.28%,81.18%,82.44%
作品,6171,-,18513,-,-,73.81%,5125,1044,83.05%,16.92%,73.06%,77.68%
组合,6153,5779,22380,93.92%,72.75% (4 / 5),73.59%,5038,1113,81.88%,18.09%,71.82%,82.81%
游戏,4463,-,4463,-,-,53.38%,3802,659,85.19%,14.77%,54.2%,49.03%
