id,index,name,first,total,ratio,v3,v2,btotal,bratio,btratio,tratio,fratio,v3f,v3r,v3tr,v3fr,v2f,v2r,v2tr,v2fr,v3i,v2i
81,72,今泉影狼,3,100,3,79,54,160,4.8,1.06,1.7000000000000002,0.05,8,10.13,1.0999999999999999,0.13,2,3.7,0.91,0.04,63,68
12,73,冴月麟,15,99,15.15,93,58,158,24.24,1.05,1.68,0.27,19,20.43,1.29,0.31,12,20.69,0.98,0.22999999999999998,56,66
80,74,赤蛮奇,12,92,13.04,60,75,147,20.87,0.98,1.5599999999999998,0.21,3,5,0.83,0.05,5,6.67,1.27,0.1,68,59
73,75,苏我屠自古,8,89,8.99,60,62,142,14.38,0.9400000000000001,1.51,0.13999999999999999,9,15,0.83,0.15,11,17.74,1.05,0.21,68,62
36,76,梅蒂欣·梅兰可莉,7,76,9.21,56,56,122,14.74,0.8099999999999999,1.29,0.12,7,12.5,0.7799999999999999,0.11,11,19.64,0.95,0.21,70,67
16,76,莉莉白,6,76,7.89,48,32,122,12.63,0.8099999999999999,1.29,0.11,10,20.83,0.67,0.16,2,6.25,0.54,0.04,74,78
70,78,幽谷响子,7,75,9.33,28,9,120,14.93,0.8,1.27,0.12,2,7.14,0.38999999999999996,0.03,0,0,0.15,0,80,102
40,79,秋静叶,1,70,1.43,52,37,112,2.29,0.74,1.1900000000000002,0.02,6,11.54,0.72,0.1,3,8.11,0.63,0.06,71,75
41,80,秋穰子,3,68,4.41,50,31,109,7.06,0.72,1.15,0.05,5,10,0.69,0.08,4,12.9,0.52,0.08,72,79
82,81,九十九弁弁,2,61,3.28,40,45,98,5.25,0.65,1.04,0.04,2,5,0.5599999999999999,0.03,2,4.44,0.76,0.04,76,70
63,82,寅丸星,7,57,12.28,27,31,91,19.65,0.61,0.97,0.12,5,18.52,0.38,0.08,5,16.13,0.52,0.1,82,79
71,83,宫古芳香,4,55,7.27,38,39,88,11.64,0.58,0.9299999999999999,0.06999999999999999,8,21.05,0.53,0.13,1,2.56,0.66,0.02,78,73
79,84,若鹭姬,4,51,7.84,43,39,82,12.55,0.54,0.8699999999999999,0.06999999999999999,4,9.3,0.6,0.06,4,10.26,0.66,0.08,75,73
179,85,毛玉,2,50,4,49,40,80,6.4,0.53,0.8500000000000001,0.04,4,8.16,0.6799999999999999,0.06,4,10,0.6799999999999999,0.08,73,72
58,86,娜兹玲,5,49,10.2,29,21,78,16.33,0.52,0.83,0.09,4,13.79,0.4,0.06,4,19.05,0.36,0.08,79,84
141,87,斯塔萨菲雅,3,46,6.52,26,27,74,10.43,0.49,0.7799999999999999,0.05,1,3.85,0.36,0.02,1,3.7,0.45999999999999996,0.02,86,81
143,88,绵月依姬,3,45,6.67,17,16,72,10.67,0.48,0.76,0.05,2,11.76,0.24,0.03,4,25,0.27,0.08,94,90
94,89,清兰,1,43,2.33,-,-,69,3.72,0.45999999999999996,0.73,0.02,-,-,-,-,-,-,-,-,-,-
140,90,露娜切尔德,2,40,5,18,19,64,8,0.42,0.6799999999999999,0.04,3,16.67,0.25,0.05,4,21.05,0.32,0.08,90,86
27,91,莉格露·奈特巴格,3,36,8.33,27,34,58,13.33,0.38,0.61,0.05,6,22.22,0.38,0.1,5,14.71,0.58,0.1,82,77
138,91,无名的读书妖怪（朱鹭子）,2,36,5.56,18,5,58,8.89,0.38,0.61,0.04,4,22.22,0.25,0.06,1,20,0.08,0.02,90,109
13,93,蕾蒂·霍瓦特洛克,2,35,5.71,28,22,56,9.14,0.37,0.59,0.04,4,14.29,0.38999999999999996,0.06,2,9.09,0.37,0.04,80,83
183,94,人偶（含上海人偶、哥利亚人偶）,3,34,8.82,40,41,54,14.12,0.36,0.58,0.05,4,10,0.5599999999999999,0.06,1,2.44,0.69,0.02,76,71
115,95,卡娜·安娜贝拉尔,3,33,9.09,27,8,53,14.55,0.35000000000000003,0.5599999999999999,0.05,1,3.7,0.38,0.02,2,25,0.13999999999999999,0.04,82,104
142,96,绵月丰姬,2,32,6.25,11,12,51,10,0.33999999999999997,0.54,0.04,1,9.09,0.15,0.02,3,25,0.2,0.06,101,94
17,97,露娜萨·普莉兹姆利巴,3,31,9.68,26,25,50,15.48,0.33,0.53,0.05,3,11.54,0.36,0.05,5,20,0.42,0.1,86,82
24,97,魂魄妖忌,0,31,0,18,19,50,0,0.33,0.53,0,1,5.56,0.25,0.02,1,5.26,0.32,0.02,90,86
127,99,幻月,5,30,16.67,27,16,48,26.67,0.32,0.51,0.09,4,14.81,0.38,0.06,1,6.25,0.27,0.02,82,90
61,99,云居一轮,2,30,6.67,16,9,48,10.67,0.32,0.51,0.04,2,12.5,0.22,0.03,1,11.11,0.15,0.02,96,102
83,101,九十九八桥,3,25,12,22,17,40,19.2,0.27,0.42,0.05,4,18.18,0.31,0.06,1,5.88,0.29,0.02,88,88
107,102,萨丽爱尔,2,23,8.7,15,10,37,13.91,0.24,0.38999999999999996,0.04,6,40,0.21,0.1,0,0,0.16999999999999998,0,97,99
139,102,桑尼米尔克,2,23,8.7,10,20,37,13.91,0.24,0.38999999999999996,0.04,1,10,0.13999999999999999,0.02,4,20,0.33999999999999997,0.08,102,85
51,102,黑谷山女,1,23,4.35,18,17,37,6.96,0.24,0.38999999999999996,0.02,1,5.56,0.25,0.02,1,5.88,0.29,0.02,90,88
95,105,铃瑚,0,20,0,-,-,32,0,0.21,0.33999999999999997,0,-,-,-,-,-,-,-,-,-,-
113,106,爱莲,2,19,10.53,17,12,30,16.84,0.2,0.32,0.04,3,17.65,0.24,0.05,1,8.33,0.2,0.02,94,94
19,107,莉莉卡·普莉兹姆利巴,0,18,0,13,14,29,0,0.19,0.31,0,2,15.38,0.18,0.03,1,7.14,0.24,0.02,98,92
