id,index,name,first,weight,total,ratio,tratio,fratio
160,154,野槌,0,1,1,0,0.02,0
161,154,酒虫,0,1,1,0,0.02,0
164,154,久米 / 竿打,0,1,1,0,0.02,0
165,154,管狐,0,1,1,0,0.02,0
167,154,万岁乐,0,1,1,0,0.02,0
169,154,邪龙,0,1,1,0,0.02,0
188,154,野铁炮,0,1,1,0,0.02,0
93,173,尼西号,0,0,0,0,0,0
111,173,Flower～战车,0,0,0,0,0,0
112,173,邪眼西格玛,0,0,0,0,0,0
149,173,石长姬,0,0,0,0,0,0
152,173,石凝老命,0,0,0,0,0,0
154,173,伊豆能卖,0,0,0,0,0,0
155,173,火雷神,0,0,0,0,0,0
158,173,前鬼 / 后鬼,0,0,0,0,0,0
166,173,水鬼鬼神长,0,0,0,0,0,0
168,173,人面犬,0,0,0,0,0,0
170,173,烟烟罗,0,0,0,0,0,0
171,173,卓柏卡布拉,0,0,0,0,0,0
172,173,沓颊,0,0,0,0,0,0
174,173,怨灵少女,0,0,0,0,0,0
175,173,佑天上人,0,0,0,0,0,0
177,173,白仙和尚,0,0,0,0,0,0
182,173,怨灵,0,0,0,0,0,0
184,173,幽灵,0,0,0,0,0,0
189,173,大地精,0,0,0,0,0,0
