id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,A Sacred Lot,A Sacred Lot,东方灵异传,25,1,26,<a href='./?m=info&type=music&id=1' target='_blank'>点击查看详情</a>,4%,0.4%,0.02%,18,7,72%,28%,0.29%,0.45%,
2,永远之巫女,永遠の巫女,东方灵异传,384,36,420,<a href='./?m=info&type=music&id=2' target='_blank'>点击查看详情</a>,9.38%,6.14%,0.61%,273,111,71.09%,28.91%,4.39%,7.21%,
3,The Positive and Negative,The Positive and Negative,东方灵异传,14,3,17,<a href='./?m=info&type=music&id=3' target='_blank'>点击查看详情</a>,21.43%,0.22%,0.05%,9,5,64.29%,35.71%,0.14%,0.32%,
4,Highly Responsive to Prayers,Highly Responsive to Prayers,东方灵异传,15,0,15,<a href='./?m=info&type=music&id=4' target='_blank'>点击查看详情</a>,0%,0.24%,0%,9,6,60%,40%,0.14%,0.39%,
5,东方怪奇谈,東方怪奇談,东方灵异传,27,3,30,<a href='./?m=info&type=music&id=5' target='_blank'>点击查看详情</a>,11.11%,0.43%,0.05%,18,9,66.67%,33.33%,0.29%,0.58%,
6,天使传说,天使伝説,东方灵异传,12,0,12,<a href='./?m=info&type=music&id=6' target='_blank'>点击查看详情</a>,0%,0.19%,0%,8,4,66.67%,33.33%,0.13%,0.26%,
7,Oriental Magician,Oriental Magician,东方灵异传,3,0,3,<a href='./?m=info&type=music&id=7' target='_blank'>点击查看详情</a>,0%,0.05%,0%,3,0,100%,0%,0.05%,0%,
8,破邪的小太刀,破邪の小太刀,东方灵异传,9,1,10,<a href='./?m=info&type=music&id=8' target='_blank'>点击查看详情</a>,11.11%,0.14%,0.02%,5,4,55.56%,44.44%,0.08%,0.26%,
9,魔镜,魔鏡,东方灵异传,4,1,5,<a href='./?m=info&type=music&id=9' target='_blank'>点击查看详情</a>,25%,0.06%,0.02%,3,1,75%,25%,0.05%,0.06%,
10,the Legend of KAGE,the Legend of KAGE,东方灵异传,4,0,4,<a href='./?m=info&type=music&id=10' target='_blank'>点击查看详情</a>,0%,0.06%,0%,4,0,100%,0%,0.06%,0%,
11,来吧，直到倒地死去的那一刻,いざ、倒れ逝くその時まで,东方灵异传,56,6,62,<a href='./?m=info&type=music&id=11' target='_blank'>点击查看详情</a>,10.71%,0.89%,0.1%,44,12,78.57%,21.43%,0.71%,0.78%,
12,同归于尽,死なばもろとも,东方灵异传,15,3,18,<a href='./?m=info&type=music&id=12' target='_blank'>点击查看详情</a>,20%,0.24%,0.05%,11,4,73.33%,26.67%,0.18%,0.26%,
13,星幽剑士,星幽剣士,东方灵异传,11,1,12,<a href='./?m=info&type=music&id=13' target='_blank'>点击查看详情</a>,9.09%,0.18%,0.02%,8,3,72.73%,27.27%,0.13%,0.19%,
14,鸢尾花,アイリス,东方灵异传,13,0,13,<a href='./?m=info&type=music&id=14' target='_blank'>点击查看详情</a>,0%,0.21%,0%,8,5,61.54%,38.46%,0.13%,0.32%,
15,风之神社,風の神社,东方灵异传,36,3,39,<a href='./?m=info&type=music&id=15' target='_blank'>点击查看详情</a>,8.33%,0.58%,0.05%,23,13,63.89%,36.11%,0.37%,0.84%,
16,东方封魔录 ～ 净土曼荼罗,東方封魔録 ～ 浄土曼荼羅,东方封魔录,5,0,5,<a href='./?m=info&type=music&id=16' target='_blank'>点击查看详情</a>,0%,0.08%,0%,5,0,100%,0%,0.08%,0%,
17,博丽 ～ Eastern Wind,博麗 ～ Eastern Wind,东方封魔录,17,3,20,<a href='./?m=info&type=music&id=17' target='_blank'>点击查看详情</a>,17.65%,0.27%,0.05%,12,5,70.59%,29.41%,0.19%,0.32%,
18,She's in a temper!!,She's in a temper!!,东方封魔录,3,0,3,<a href='./?m=info&type=music&id=18' target='_blank'>点击查看详情</a>,0%,0.05%,0%,2,1,66.67%,33.33%,0.03%,0.06%,
19,End of Daylight,End of Daylight,东方封魔录,31,3,34,<a href='./?m=info&type=music&id=19' target='_blank'>点击查看详情</a>,9.68%,0.5%,0.05%,15,16,48.39%,51.61%,0.24%,1.04%,
20,黑暗的力量,やみのちから,东方封魔录,2,1,3,<a href='./?m=info&type=music&id=20' target='_blank'>点击查看详情</a>,50%,0.03%,0.02%,1,1,50%,50%,0.02%,0.06%,
