id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
1,A Sacred Lot,东方灵异传，幺乐团的历史 vol.5,25,1,<a href='./?m=info&type=music&id=1' target='_blank'>点击查看详情</a>,4%,0.4%,0.02%,53,6,11.32%,0.88%,0.11%,20,1,5%,0.39%,0.02%
2,永远之巫女,东方灵异传，蓬莱人形，幺乐团的历史 vol.5,384,36,<a href='./?m=info&type=music&id=2' target='_blank'>点击查看详情</a>,9.38%,6.14%,0.61%,316,35,11.08%,5.27%,0.62%,260,12,4.62%,5.1%,0.26%
3,The Positive and Negative,东方灵异传，幺乐团的历史 vol.5,14,3,<a href='./?m=info&type=music&id=3' target='_blank'>点击查看详情</a>,21.43%,0.22%,0.05%,21,2,9.52%,0.35%,0.04%,8,1,12.5%,0.16%,0.02%
4,Highly Responsive to Prayers,东方灵异传，幺乐团的历史 vol.5,15,0,<a href='./?m=info&type=music&id=4' target='_blank'>点击查看详情</a>,0%,0.24%,0%,24,2,8.33%,0.4%,0.04%,5,1,20%,0.1%,0.02%
5,东方怪奇谈,东方灵异传，蓬莱人形，幺乐团的历史 vol.5,27,3,<a href='./?m=info&type=music&id=5' target='_blank'>点击查看详情</a>,11.11%,0.43%,0.05%,42,5,11.9%,0.7%,0.09%,30,1,3.33%,0.59%,0.02%
6,天使传说,东方灵异传，幺乐团的历史 vol.5,12,0,<a href='./?m=info&type=music&id=6' target='_blank'>点击查看详情</a>,0%,0.19%,0%,23,2,8.7%,0.38%,0.04%,12,1,8.33%,0.24%,0.02%
7,Oriental Magician,东方灵异传，幺乐团的历史 vol.5,3,0,<a href='./?m=info&type=music&id=7' target='_blank'>点击查看详情</a>,0%,0.05%,0%,13,1,7.69%,0.22%,0.02%,3,0,0%,0.06%,0%
8,破邪的小太刀,东方灵异传，幺乐团的历史 vol.5,9,1,<a href='./?m=info&type=music&id=8' target='_blank'>点击查看详情</a>,11.11%,0.14%,0.02%,22,2,9.09%,0.37%,0.04%,17,0,0%,0.33%,0%
9,魔镜,东方灵异传，幺乐团的历史 vol.5,4,1,<a href='./?m=info&type=music&id=9' target='_blank'>点击查看详情</a>,25%,0.06%,0.02%,7,0,0%,0.12%,0%,5,0,0%,0.1%,0%
10,the Legend of KAGE,东方灵异传，幺乐团的历史 vol.5,4,0,<a href='./?m=info&type=music&id=10' target='_blank'>点击查看详情</a>,0%,0.06%,0%,11,1,9.09%,0.18%,0.02%,5,0,0%,0.1%,0%
