id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,A Sacred Lot,A Sacred Lot,东方灵异传,53,6,59,<a href='./?m=info&type=music&id=1' target='_blank'>点击查看详情</a>,11.32%,0.88%,0.11%,40,13,75.47%,24.53%,0.61%,0.87%,
2,永远之巫女,永遠の巫女,东方灵异传,316,35,351,<a href='./?m=info&type=music&id=2' target='_blank'>点击查看详情</a>,11.08%,5.27%,0.62%,235,81,74.37%,25.63%,3.59%,5.41%,
3,The Positive and Negative,The Positive and Negative,东方灵异传,21,2,23,<a href='./?m=info&type=music&id=3' target='_blank'>点击查看详情</a>,9.52%,0.35%,0.04%,14,7,66.67%,33.33%,0.21%,0.47%,
4,Highly Responsive to Prayers,Highly Responsive to Prayers,东方灵异传,24,2,26,<a href='./?m=info&type=music&id=4' target='_blank'>点击查看详情</a>,8.33%,0.4%,0.04%,20,4,83.33%,16.67%,0.31%,0.27%,
5,东方怪奇谈,東方怪奇談,东方灵异传,42,5,47,<a href='./?m=info&type=music&id=5' target='_blank'>点击查看详情</a>,11.9%,0.7%,0.09%,28,14,66.67%,33.33%,0.43%,0.93%,
6,天使传说,天使伝説,东方灵异传,23,2,25,<a href='./?m=info&type=music&id=6' target='_blank'>点击查看详情</a>,8.7%,0.38%,0.04%,19,4,82.61%,17.39%,0.29%,0.27%,
7,Oriental Magician,Oriental Magician,东方灵异传,13,1,14,<a href='./?m=info&type=music&id=7' target='_blank'>点击查看详情</a>,7.69%,0.22%,0.02%,9,4,69.23%,30.77%,0.14%,0.27%,
8,破邪的小太刀,破邪の小太刀,东方灵异传,22,2,24,<a href='./?m=info&type=music&id=8' target='_blank'>点击查看详情</a>,9.09%,0.37%,0.04%,16,6,72.73%,27.27%,0.24%,0.4%,
9,魔镜,魔鏡,东方灵异传,7,0,7,<a href='./?m=info&type=music&id=9' target='_blank'>点击查看详情</a>,0%,0.12%,0%,5,2,71.43%,28.57%,0.08%,0.13%,
10,the Legend of KAGE,the Legend of KAGE,东方灵异传,11,1,12,<a href='./?m=info&type=music&id=10' target='_blank'>点击查看详情</a>,9.09%,0.18%,0.02%,8,3,72.73%,27.27%,0.12%,0.2%,
