region,round,scope,source_url,source_sha256,source_file,source_table_index,source_row_index,question_id,question,question_path_json,table_variant,rank,points,item,option,count,count_unit,percentage,official_percentage,additional_official_percentages_json,percentage_basis,denominator,denominator_unit,denominator_basis,denominator_candidate_min,denominator_candidate_max,raw_cells_json
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,2,4,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■妖々夢 - 有効回答数：2868人""]",table_2,,,■妖々夢 - 有効回答数：2868人,LUNATIC,324,人,11.3,11.3,,official,2868,人,explicit_official_heading,,,"[""LUNATIC"",""324人"",""11.30%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,3,0,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■妖々夢 - 有効回答数：2868人""]",table_3,,,■妖々夢 - 有効回答数：2868人,EXTRA,1798,人,62.69,62.69,,official,2868,人,explicit_official_heading,,,"[""EXTRA"",""1798人"",""62.69%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,3,1,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■妖々夢 - 有効回答数：2868人""]",table_3,,,■妖々夢 - 有効回答数：2868人,PHANTASM,1371,人,47.8,47.8,,official,2868,人,explicit_official_heading,,,"[""PHANTASM"",""1371人"",""47.80%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,4,0,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄 - 有効回答数：2864人""]",table_4,,,■永夜抄 - 有効回答数：2864人,未プレイ・未クリア,89,人,3.11,3.11,,official,2864,人,explicit_official_heading,,,"[""未プレイ・未クリア"",""89人"",""3.11%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,4,1,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄 - 有効回答数：2864人""]",table_4,,,■永夜抄 - 有効回答数：2864人,EASY,394,人,13.76,13.76,,official,2864,人,explicit_official_heading,,,"[""EASY"",""394人"",""13.76%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,4,2,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄 - 有効回答数：2864人""]",table_4,,,■永夜抄 - 有効回答数：2864人,NORMAL,1081,人,37.74,37.74,,official,2864,人,explicit_official_heading,,,"[""NORMAL"",""1081人"",""37.74%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,4,3,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄 - 有効回答数：2864人""]",table_4,,,■永夜抄 - 有効回答数：2864人,HARD,851,人,29.71,29.71,,official,2864,人,explicit_official_heading,,,"[""HARD"",""851人"",""29.71%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,4,4,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄 - 有効回答数：2864人""]",table_4,,,■永夜抄 - 有効回答数：2864人,LUNATIC,449,人,15.68,15.68,,official,2864,人,explicit_official_heading,,,"[""LUNATIC"",""449人"",""15.68%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,5,0,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄 - 有効回答数：2864人""]",table_5,,,■永夜抄 - 有効回答数：2864人,EXTRA,1585,人,55.34,55.34,,official,2864,人,explicit_official_heading,,,"[""EXTRA"",""1585人"",""55.34%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,0,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,0～63,364,人,14.54,14.54,,official,2504,人,explicit_official_heading,,,"[""0～63"",""364人"",""14.54%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,1,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,64～127,460,人,18.37,18.37,,official,2504,人,explicit_official_heading,,,"[""64～127"",""460人"",""18.37%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,2,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,128～143,252,人,10.06,10.06,,official,2504,人,explicit_official_heading,,,"[""128～143"",""252人"",""10.06%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,3,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,144～159,175,人,6.99,6.99,,official,2504,人,explicit_official_heading,,,"[""144～159"",""175人"",""6.99%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,4,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,160～175,184,人,7.35,7.35,,official,2504,人,explicit_official_heading,,,"[""160～175"",""184人"",""7.35%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,5,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,176～191,222,人,8.87,8.87,,official,2504,人,explicit_official_heading,,,"[""176～191"",""222人"",""8.87%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,6,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,192～199,114,人,4.55,4.55,,official,2504,人,explicit_official_heading,,,"[""192～199"",""114人"",""4.55%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,6,7,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人""]",table_6,,,■永夜抄スペルプラクティス取得枚数 - 有効回答数：2504人,200～207,148,人,5.91,5.91,,official,2504,人,explicit_official_heading,,,"[""200～207"",""148人"",""5.91%"",""""]"
