id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
81,今泉影狼,今泉影狼,东方辉针城,96,8,104,<a href='./?m=info&type=chara&id=81' target='_blank'>点击查看详情</a>,8.33%,1.32%,0.11%,83,13,86.46%,13.54%,1.27%,0.87%,
82,九十九弁弁,九十九弁々,东方辉针城,57,4,61,<a href='./?m=info&type=chara&id=82' target='_blank'>点击查看详情</a>,7.02%,0.78%,0.06%,33,24,57.89%,42.11%,0.5%,1.6%,
83,九十九八桥,九十九八橋,东方辉针城,28,1,29,<a href='./?m=info&type=chara&id=83' target='_blank'>点击查看详情</a>,3.57%,0.38%,0.01%,19,9,67.86%,32.14%,0.29%,0.6%,
84,鬼人正邪,鬼人正邪,东方辉针城,605,96,701,<a href='./?m=info&type=chara&id=84' target='_blank'>点击查看详情</a>,15.87%,8.29%,1.37%,450,155,74.38%,25.62%,6.87%,10.35%,
85,少名针妙丸,少名針妙丸,东方辉针城,352,30,382,<a href='./?m=info&type=chara&id=85' target='_blank'>点击查看详情</a>,8.52%,4.82%,0.43%,275,77,78.13%,21.88%,4.2%,5.14%,
86,堀川雷鼓,堀川雷鼓,东方辉针城,153,14,167,<a href='./?m=info&type=chara&id=86' target='_blank'>点击查看详情</a>,9.15%,2.1%,0.2%,90,63,58.82%,41.18%,1.37%,4.21%,
87,宇佐见堇子,宇佐見菫子,东方深秘录,201,10,211,<a href='./?m=info&type=chara&id=87' target='_blank'>点击查看详情</a>,4.98%,2.75%,0.14%,132,69,65.67%,34.33%,2.02%,4.61%,
88,绿巨人,緑の巨人,东方深秘录,3,0,3,<a href='./?m=info&type=chara&id=88' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,1,66.67%,33.33%,0.03%,0.07%,
89,阿菊,お菊,东方深秘录,1,0,1,<a href='./?m=info&type=chara&id=89' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,1,0%,100%,0%,0.07%,
90,八尺大人,八尺さま,东方深秘录,2,0,2,<a href='./?m=info&type=chara&id=90' target='_blank'>点击查看详情</a>,0%,0.03%,0%,2,0,100%,0%,0.03%,0%,
91,彭祖,彭祖,东方深秘录,0,0,0,<a href='./?m=info&type=chara&id=91' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0%,0%
92,黄帝,黄帝,东方深秘录,2,0,2,<a href='./?m=info&type=chara&id=92' target='_blank'>点击查看详情</a>,0%,0.03%,0%,2,0,100%,0%,0.03%,0%,
93,尼西号,ネッシー号,东方深秘录,4,0,4,<a href='./?m=info&type=chara&id=93' target='_blank'>点击查看详情</a>,0%,0.05%,0%,3,1,75%,25%,0.05%,0.07%,
94,清兰,清蘭,东方绀珠传,49,3,52,<a href='./?m=info&type=chara&id=94' target='_blank'>点击查看详情</a>,6.12%,0.67%,0.04%,32,17,65.31%,34.69%,0.49%,1.13%,
95,铃瑚,鈴瑚,东方绀珠传,39,1,40,<a href='./?m=info&type=chara&id=95' target='_blank'>点击查看详情</a>,2.56%,0.53%,0.01%,28,11,71.79%,28.21%,0.43%,0.73%,
96,哆来咪·苏伊特,ドレミー・スイート,东方绀珠传,177,13,190,<a href='./?m=info&type=chara&id=96' target='_blank'>点击查看详情</a>,7.34%,2.43%,0.19%,121,56,68.36%,31.64%,1.85%,3.74%,
97,稀神探女,稀神サグメ,东方绀珠传,766,48,814,<a href='./?m=info&type=chara&id=97' target='_blank'>点击查看详情</a>,6.27%,10.5%,0.68%,591,175,77.15%,22.85%,9.03%,11.68%,
98,克劳恩皮丝,クラウンピース,东方绀珠传,476,27,503,<a href='./?m=info&type=chara&id=98' target='_blank'>点击查看详情</a>,5.67%,6.52%,0.39%,414,62,86.97%,13.03%,6.32%,4.14%,
99,纯狐,純狐,东方绀珠传,424,44,468,<a href='./?m=info&type=chara&id=99' target='_blank'>点击查看详情</a>,10.38%,5.81%,0.63%,299,125,70.52%,29.48%,4.57%,8.34%,
100,赫卡提亚·拉碧斯拉祖利,ヘカーティア・ラピスラズリ,东方绀珠传,150,6,156,<a href='./?m=info&type=chara&id=100' target='_blank'>点击查看详情</a>,4%,2.06%,0.09%,95,55,63.33%,36.67%,1.45%,3.67%,
101,神玉,神玉,东方灵异传,3,0,3,<a href='./?m=info&type=chara&id=101' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,1,66.67%,33.33%,0.03%,0.07%,
102,魅魔,魅魔,东方灵异传,113,8,121,<a href='./?m=info&type=chara&id=102' target='_blank'>点击查看详情</a>,7.08%,1.55%,0.11%,85,28,75.22%,24.78%,1.3%,1.87%,
103,菊理,きくり,东方灵异传,3,0,3,<a href='./?m=info&type=chara&id=103' target='_blank'>点击查看详情</a>,0%,0.04%,0%,1,2,33.33%,66.67%,0.02%,0.13%,
104,矜羯罗,矜羯羅,东方灵异传,12,2,14,<a href='./?m=info&type=chara&id=104' target='_blank'>点击查看详情</a>,16.67%,0.16%,0.03%,5,7,41.67%,58.33%,0.08%,0.47%,
105,幽玄魔眼,幽幻魔眼,东方灵异传,0,0,0,<a href='./?m=info&type=chara&id=105' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0%,0%
106,依莉斯,エリス,东方灵异传,8,0,8,<a href='./?m=info&type=chara&id=106' target='_blank'>点击查看详情</a>,0%,0.11%,0%,3,5,37.5%,62.5%,0.05%,0.33%,
107,萨丽爱尔,サリエル,东方灵异传,20,3,23,<a href='./?m=info&type=chara&id=107' target='_blank'>点击查看详情</a>,15%,0.27%,0.04%,11,9,55%,45%,0.17%,0.6%,
108,玄爷,玄爺,东方封魔录,17,0,17,<a href='./?m=info&type=chara&id=108' target='_blank'>点击查看详情</a>,0%,0.23%,0%,15,2,88.24%,11.76%,0.23%,0.13%,
109,里香,里香,东方封魔录,11,0,11,<a href='./?m=info&type=chara&id=109' target='_blank'>点击查看详情</a>,0%,0.15%,0%,8,3,72.73%,27.27%,0.12%,0.2%,
110,明罗,明羅,东方封魔录,9,0,9,<a href='./?m=info&type=chara&id=110' target='_blank'>点击查看详情</a>,0%,0.12%,0%,3,6,33.33%,66.67%,0.05%,0.4%,
111,Flower～战车,ふらわ～戦車,东方封魔录,0,0,0,<a href='./?m=info&type=chara&id=111' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0%,0%
112,邪眼西格玛,イビルアイ∑,东方封魔录,2,0,2,<a href='./?m=info&type=chara&id=112' target='_blank'>点击查看详情</a>,0%,0.03%,0%,1,1,50%,50%,0.02%,0.07%,
113,爱莲,エレン,东方梦时空,20,2,22,<a href='./?m=info&type=chara&id=113' target='_blank'>点击查看详情</a>,10%,0.27%,0.03%,8,12,40%,60%,0.12%,0.8%,
114,小兔姬,小兎姫,东方梦时空,11,0,11,<a href='./?m=info&type=chara&id=114' target='_blank'>点击查看详情</a>,0%,0.15%,0%,7,4,63.64%,36.36%,0.11%,0.27%,
115,卡娜·安娜贝拉尔,カナ·アナベラル,东方梦时空,39,4,43,<a href='./?m=info&type=chara&id=115' target='_blank'>点击查看详情</a>,10.26%,0.53%,0.06%,26,13,66.67%,33.33%,0.4%,0.87%,
116,朝仓理香子,朝倉理香子,东方梦时空,9,1,10,<a href='./?m=info&type=chara&id=116' target='_blank'>点击查看详情</a>,11.11%,0.12%,0.01%,3,6,33.33%,66.67%,0.05%,0.4%,
117,北白河千百合,北白河ちゆり,东方梦时空,12,0,12,<a href='./?m=info&type=chara&id=117' target='_blank'>点击查看详情</a>,0%,0.16%,0%,6,6,50%,50%,0.09%,0.4%,
118,冈崎梦美,岡崎夢美,东方梦时空,204,24,228,<a href='./?m=info&type=chara&id=118' target='_blank'>点击查看详情</a>,11.76%,2.8%,0.34%,148,56,72.55%,27.45%,2.26%,3.74%,
119,咪咪号,ミミちゃん,东方梦时空,6,1,7,<a href='./?m=info&type=chara&id=119' target='_blank'>点击查看详情</a>,16.67%,0.08%,0.01%,2,4,33.33%,66.67%,0.03%,0.27%,
120,留琴,る～こと,东方梦时空,5,0,5,<a href='./?m=info&type=chara&id=120' target='_blank'>点击查看详情</a>,0%,0.07%,0%,3,2,60%,40%,0.05%,0.13%,
121,玛○奇,ま○ち,东方梦时空,1,0,1,<a href='./?m=info&type=chara&id=121' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,1,0%,100%,0%,0.07%,
122,苏格拉底,ソクラテス,东方梦时空,2,0,2,<a href='./?m=info&type=chara&id=122' target='_blank'>点击查看详情</a>,0%,0.03%,0%,1,1,50%,50%,0.02%,0.07%,
123,奥莲姬,オレンジ,东方幻想乡,1,1,2,<a href='./?m=info&type=chara&id=123' target='_blank'>点击查看详情</a>,100%,0.01%,0.01%,1,0,100%,0%,0.02%,0%,
124,胡桃,くるみ,东方幻想乡,16,2,18,<a href='./?m=info&type=chara&id=124' target='_blank'>点击查看详情</a>,12.5%,0.22%,0.03%,12,4,75%,25%,0.18%,0.27%,
125,艾丽,エリー,东方幻想乡,17,1,18,<a href='./?m=info&type=chara&id=125' target='_blank'>点击查看详情</a>,5.88%,0.23%,0.01%,10,7,58.82%,41.18%,0.15%,0.47%,
126,梦月,夢月,东方幻想乡,12,0,12,<a href='./?m=info&type=chara&id=126' target='_blank'>点击查看详情</a>,0%,0.16%,0%,6,6,50%,50%,0.09%,0.4%,
127,幻月,幻月,东方幻想乡,43,7,50,<a href='./?m=info&type=chara&id=127' target='_blank'>点击查看详情</a>,16.28%,0.59%,0.1%,27,16,62.79%,37.21%,0.41%,1.07%,
128,萨拉,サラ,东方怪绮谈,3,0,3,<a href='./?m=info&type=chara&id=128' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,1,66.67%,33.33%,0.03%,0.07%,
129,露易兹,ルイズ,东方怪绮谈,7,1,8,<a href='./?m=info&type=chara&id=129' target='_blank'>点击查看详情</a>,14.29%,0.1%,0.01%,4,3,57.14%,42.86%,0.06%,0.2%,
130,雪,ユキ,东方怪绮谈,4,0,4,<a href='./?m=info&type=chara&id=130' target='_blank'>点击查看详情</a>,0%,0.05%,0%,4,0,100%,0%,0.06%,0%,
131,舞,マイ,东方怪绮谈,7,0,7,<a href='./?m=info&type=chara&id=131' target='_blank'>点击查看详情</a>,0%,0.1%,0%,4,3,57.14%,42.86%,0.06%,0.2%,
132,梦子,夢子,东方怪绮谈,12,1,13,<a href='./?m=info&type=chara&id=132' target='_blank'>点击查看详情</a>,8.33%,0.16%,0.01%,6,6,50%,50%,0.09%,0.4%,
133,神绮,神綺,东方怪绮谈,215,15,230,<a href='./?m=info&type=chara&id=133' target='_blank'>点击查看详情</a>,6.98%,2.95%,0.21%,172,43,80%,20%,2.63%,2.87%,
134,宇佐见莲子,宇佐見蓮子,音乐CD,535,64,599,<a href='./?m=info&type=chara&id=134' target='_blank'>点击查看详情</a>,11.96%,7.33%,0.91%,398,137,74.39%,25.61%,6.08%,9.15%,
135,玛艾露贝莉·赫恩（梅莉）,マエリベリー·ハーン（メリー）,音乐CD,375,25,400,<a href='./?m=info&type=chara&id=135' target='_blank'>点击查看详情</a>,6.67%,5.14%,0.36%,281,94,74.93%,25.07%,4.29%,6.28%,
