id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
1,博丽灵梦,主角,2855,660,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,23.12%,39.13%,9.42%,2290,543,23.71%,38.89%,9.66%,1954,591,30.25%,27.15%,9.53%
2,雾雨魔理沙,主角,1984,345,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,17.39%,27.19%,4.92%,1583,307,19.39%,26.89%,5.46%,1280,368,28.75%,17.78%,5.93%
3,露米娅,东方红魔乡,423,45,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,10.64%,5.8%,0.64%,241,21,8.71%,4.09%,0.37%,205,45,21.95%,2.85%,0.73%
4,大妖精,东方红魔乡,212,9,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,4.25%,2.91%,0.13%,127,2,1.57%,2.16%,0.04%,87,8,9.2%,1.21%,0.13%
5,琪露诺,东方红魔乡,1104,177,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,16.03%,15.13%,2.52%,752,128,17.02%,12.77%,2.28%,605,150,24.79%,8.41%,2.42%
6,红美铃,东方红魔乡,596,80,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,13.42%,8.17%,1.14%,450,64,14.22%,7.64%,1.14%,388,90,23.2%,5.39%,1.45%
7,小恶魔,东方红魔乡,177,22,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,12.43%,2.43%,0.31%,119,8,6.72%,2.02%,0.14%,76,11,14.47%,1.06%,0.18%
8,帕秋莉·诺蕾姬,东方红魔乡,933,166,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,17.79%,12.79%,2.37%,777,138,17.76%,13.2%,2.46%,770,186,24.16%,10.7%,3%
9,十六夜咲夜,东方红魔乡,1710,354,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,20.7%,23.44%,5.05%,1332,243,18.24%,22.62%,4.32%,1152,297,25.78%,16%,4.79%
10,蕾米莉亚·斯卡蕾特,东方红魔乡,1563,285,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,18.23%,21.42%,4.07%,1217,227,18.65%,20.67%,4.04%,1242,328,26.41%,17.25%,5.29%
11,芙兰朵露·斯卡蕾特,东方红魔乡,1321,280,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,21.2%,18.11%,3.99%,1089,242,22.22%,18.5%,4.31%,1096,304,27.74%,15.23%,4.9%
12,冴月麟,东方红魔乡,129,12,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,9.3%,1.77%,0.17%,99,15,15.15%,1.68%,0.27%,93,19,20.43%,1.29%,0.31%
13,蕾蒂·霍瓦特洛克,东方妖妖梦,62,4,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,6.45%,0.85%,0.06%,35,2,5.71%,0.59%,0.04%,28,4,14.29%,0.39%,0.06%
14,橙,东方妖妖梦,151,14,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,9.27%,2.07%,0.2%,126,13,10.32%,2.14%,0.23%,116,13,11.21%,1.61%,0.21%
15,爱丽丝·玛格特洛依德,东方妖妖梦,1207,235,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,19.47%,16.54%,3.35%,1031,195,18.91%,17.51%,3.47%,973,264,27.13%,13.52%,4.26%
16,莉莉白,东方妖妖梦,100,11,<a href='./?m=info&type=chara&id=16' target='_blank'>点击查看详情</a>,11%,1.37%,0.16%,76,6,7.89%,1.29%,0.11%,48,10,20.83%,0.67%,0.16%
17,露娜萨·普莉兹姆利巴,东方妖妖梦,42,2,<a href='./?m=info&type=chara&id=17' target='_blank'>点击查看详情</a>,4.76%,0.58%,0.03%,31,3,9.68%,0.53%,0.05%,26,3,11.54%,0.36%,0.05%
18,梅露兰·普莉兹姆利巴,东方妖妖梦,24,1,<a href='./?m=info&type=chara&id=18' target='_blank'>点击查看详情</a>,4.17%,0.33%,0.01%,15,0,0%,0.25%,0%,9,0,0%,0.13%,0%
19,莉莉卡·普莉兹姆利巴,东方妖妖梦,22,2,<a href='./?m=info&type=chara&id=19' target='_blank'>点击查看详情</a>,9.09%,0.3%,0.03%,18,0,0%,0.31%,0%,13,2,15.38%,0.18%,0.03%
20,魂魄妖梦,东方妖妖梦,1137,223,<a href='./?m=info&type=chara&id=20' target='_blank'>点击查看详情</a>,19.61%,15.58%,3.18%,884,133,15.05%,15.01%,2.37%,711,188,26.44%,9.88%,3.03%
21,西行寺幽幽子,东方妖妖梦,1524,369,<a href='./?m=info&type=chara&id=21' target='_blank'>点击查看详情</a>,24.21%,20.89%,5.26%,1307,323,24.71%,22.2%,5.75%,1144,323,28.23%,15.89%,5.21%
22,八云蓝,东方妖妖梦,228,28,<a href='./?m=info&type=chara&id=22' target='_blank'>点击查看详情</a>,12.28%,3.13%,0.4%,245,30,12.24%,4.16%,0.53%,212,35,16.51%,2.95%,0.56%
23,八云紫,东方妖妖梦,1500,238,<a href='./?m=info&type=chara&id=23' target='_blank'>点击查看详情</a>,15.87%,20.56%,3.4%,1312,217,16.54%,22.28%,3.86%,1135,251,22.11%,15.77%,4.05%
24,魂魄妖忌,东方妖妖梦,39,0,<a href='./?m=info&type=chara&id=24' target='_blank'>点击查看详情</a>,0%,0.53%,0%,31,0,0%,0.53%,0%,18,1,5.56%,0.25%,0.02%
25,蕾拉·普莉兹姆利巴,东方妖妖梦,19,1,<a href='./?m=info&type=chara&id=25' target='_blank'>点击查看详情</a>,5.26%,0.26%,0.01%,10,0,0%,0.17%,0%,8,2,25%,0.11%,0.03%
26,伊吹萃香,东方萃梦想,670,100,<a href='./?m=info&type=chara&id=26' target='_blank'>点击查看详情</a>,14.93%,9.18%,1.43%,575,66,11.48%,9.77%,1.17%,437,79,18.08%,6.07%,1.27%
27,莉格露·奈特巴格,东方永夜抄,42,5,<a href='./?m=info&type=chara&id=27' target='_blank'>点击查看详情</a>,11.9%,0.58%,0.07%,36,3,8.33%,0.61%,0.05%,27,6,22.22%,0.38%,0.1%
28,米斯蒂娅·萝蕾拉,东方永夜抄,153,25,<a href='./?m=info&type=chara&id=28' target='_blank'>点击查看详情</a>,16.34%,2.1%,0.36%,133,18,13.53%,2.26%,0.32%,72,14,19.44%,1%,0.23%
29,上白泽慧音,东方永夜抄,382,32,<a href='./?m=info&type=chara&id=29' target='_blank'>点击查看详情</a>,8.38%,5.24%,0.46%,405,26,6.42%,6.88%,0.46%,300,53,17.67%,4.17%,0.85%
30,因幡帝,东方永夜抄,155,16,<a href='./?m=info&type=chara&id=30' target='_blank'>点击查看详情</a>,10.32%,2.12%,0.23%,138,10,7.25%,2.34%,0.18%,90,16,17.78%,1.25%,0.26%
31,铃仙·优昙华院·因幡,东方永夜抄,936,136,<a href='./?m=info&type=chara&id=31' target='_blank'>点击查看详情</a>,14.53%,12.83%,1.94%,745,85,11.41%,12.65%,1.51%,449,88,19.6%,6.24%,1.42%
32,八意永琳,东方永夜抄,404,45,<a href='./?m=info&type=chara&id=32' target='_blank'>点击查看详情</a>,11.14%,5.54%,0.64%,344,46,13.37%,5.84%,0.82%,217,53,24.42%,3.01%,0.85%
33,蓬莱山辉夜,东方永夜抄,910,150,<a href='./?m=info&type=chara&id=33' target='_blank'>点击查看详情</a>,16.48%,12.47%,2.14%,858,143,16.67%,14.57%,2.54%,674,156,23.15%,9.36%,2.51%
34,藤原妹红,东方永夜抄,1213,241,<a href='./?m=info&type=chara&id=34' target='_blank'>点击查看详情</a>,19.87%,16.63%,3.44%,1125,193,17.16%,19.11%,3.43%,836,231,27.63%,11.61%,3.72%
35,射命丸文,东方花映塚,1132,226,<a href='./?m=info&type=chara&id=35' target='_blank'>点击查看详情</a>,19.96%,15.52%,3.22%,969,164,16.92%,16.46%,2.92%,705,186,26.38%,9.79%,3%
36,梅蒂欣·梅兰可莉,东方花映塚,69,6,<a href='./?m=info&type=chara&id=36' target='_blank'>点击查看详情</a>,8.7%,0.95%,0.09%,76,7,9.21%,1.29%,0.12%,56,7,12.5%,0.78%,0.11%
37,风见幽香,东方花映塚,754,133,<a href='./?m=info&type=chara&id=37' target='_blank'>点击查看详情</a>,17.64%,10.33%,1.9%,674,112,16.62%,11.45%,1.99%,584,140,23.97%,8.11%,2.26%
38,小野塚小町,东方花映塚,159,13,<a href='./?m=info&type=chara&id=38' target='_blank'>点击查看详情</a>,8.18%,2.18%,0.19%,133,8,6.02%,2.26%,0.14%,106,20,18.87%,1.47%,0.32%
39,四季映姬·亚玛萨那度,东方花映塚,601,97,<a href='./?m=info&type=chara&id=39' target='_blank'>点击查看详情</a>,16.14%,8.24%,1.38%,465,63,13.55%,7.9%,1.12%,302,58,19.21%,4.2%,0.94%
40,秋静叶,东方风神录,77,6,<a href='./?m=info&type=chara&id=40' target='_blank'>点击查看详情</a>,7.79%,1.06%,0.09%,70,1,1.43%,1.19%,0.02%,52,6,11.54%,0.72%,0.1%
41,秋穰子,东方风神录,61,3,<a href='./?m=info&type=chara&id=41' target='_blank'>点击查看详情</a>,4.92%,0.84%,0.04%,68,3,4.41%,1.15%,0.05%,50,5,10%,0.69%,0.08%
42,键山雏,东方风神录,470,88,<a href='./?m=info&type=chara&id=42' target='_blank'>点击查看详情</a>,18.72%,6.44%,1.26%,421,71,16.86%,7.15%,1.26%,322,88,27.33%,4.47%,1.42%
43,河城荷取,东方风神录,192,23,<a href='./?m=info&type=chara&id=43' target='_blank'>点击查看详情</a>,11.98%,2.63%,0.33%,189,19,10.05%,3.21%,0.34%,131,20,15.27%,1.82%,0.32%
44,犬走椛,东方风神录,247,39,<a href='./?m=info&type=chara&id=44' target='_blank'>点击查看详情</a>,15.79%,3.39%,0.56%,201,31,15.42%,3.41%,0.55%,139,27,19.42%,1.93%,0.44%
45,东风谷早苗,东方风神录,1052,168,<a href='./?m=info&type=chara&id=45' target='_blank'>点击查看详情</a>,15.97%,14.42%,2.4%,947,151,15.95%,16.08%,2.69%,714,165,23.11%,9.92%,2.66%
46,八坂神奈子,东方风神录,135,14,<a href='./?m=info&type=chara&id=46' target='_blank'>点击查看详情</a>,10.37%,1.85%,0.2%,174,13,7.47%,2.96%,0.23%,114,17,14.91%,1.58%,0.27%
47,洩矢诹访子,东方风神录,621,75,<a href='./?m=info&type=chara&id=47' target='_blank'>点击查看详情</a>,12.08%,8.51%,1.07%,421,48,11.4%,7.15%,0.85%,266,56,21.05%,3.7%,0.9%
48,永江衣玖,东方绯想天,188,26,<a href='./?m=info&type=chara&id=48' target='_blank'>点击查看详情</a>,13.83%,2.58%,0.37%,103,17,16.5%,1.75%,0.3%,94,22,23.4%,1.31%,0.35%
49,比那名居天子,东方绯想天,799,136,<a href='./?m=info&type=chara&id=49' target='_blank'>点击查看详情</a>,17.02%,10.95%,1.94%,670,100,14.93%,11.38%,1.78%,461,94,20.39%,6.4%,1.52%
50,琪斯美,东方地灵殿,14,2,<a href='./?m=info&type=chara&id=50' target='_blank'>点击查看详情</a>,14.29%,0.19%,0.03%,12,1,8.33%,0.2%,0.02%,21,4,19.05%,0.29%,0.06%
51,黑谷山女,东方地灵殿,14,3,<a href='./?m=info&type=chara&id=51' target='_blank'>点击查看详情</a>,21.43%,0.19%,0.04%,23,1,4.35%,0.39%,0.02%,18,1,5.56%,0.25%,0.02%
52,水桥帕露西,东方地灵殿,274,39,<a href='./?m=info&type=chara&id=52' target='_blank'>点击查看详情</a>,14.23%,3.76%,0.56%,252,31,12.3%,4.28%,0.55%,166,18,10.84%,2.31%,0.29%
53,星熊勇仪,东方地灵殿,122,16,<a href='./?m=info&type=chara&id=53' target='_blank'>点击查看详情</a>,13.11%,1.67%,0.23%,121,7,5.79%,2.06%,0.12%,80,10,12.5%,1.11%,0.16%
