id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
15,东方星莲船,東方星蓮船,Windows游戏（STG）,907,game120,141,159,166,30.26%,1.72%,34.12%,1.94%,35.62%,2.02%,466,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,9,娜兹玲，多多良小伞，云山，云居一轮，村纱水蜜，寅丸星，圣白莲，封兽鵺，命莲,2367,136,263
16,东方非想天则,東方非想天則,Windows游戏（FTG）,2874,game123,544,427,388,40.03%,6.63%,31.42%,5.2%,28.55%,4.73%,1359,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,10,琪露诺，红美铃，帕秋莉·诺蕾姬，爱丽丝·玛格特洛依德，东风谷早苗，八坂神奈子，洩矢诹访子，灵乌路空，大鲶鱼，非想天则,8715,845,872
17,DS东方文花帖,ダブルスポイラー,Windows游戏（STG）,115,game125,12,27,25,18.75%,0.15%,42.19%,0.33%,39.06%,0.3%,64,<a href='./?m=info&type=work&id=17' target='_blank'>点击查看详情</a>,2,射命丸文，姬海棠果,2155,1992,1078
18,妖精大战争,妖精大戦争,Windows游戏（STG）,139,game128,16,28,35,20.25%,0.2%,35.44%,0.34%,44.3%,0.43%,79,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,5,莉莉白，射命丸文，桑尼米尔克，露娜切尔德，斯塔萨菲雅,2797,153,559
19,东方神灵庙,東方神霊廟,Windows游戏（STG）,951,game130,181,138,132,40.13%,2.21%,30.6%,1.68%,29.27%,1.61%,451,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,12,魂魄妖梦，西行寺幽幽子，东风谷早苗，多多良小伞，封兽鵺，幽谷响子，宫古芳香，霍青娥，苏我屠自古，物部布都，丰聪耳神子，二岩猯藏,9008,332,751
20,东方心绮楼,東方心綺楼,Windows游戏（FTG）,487,game135,75,76,110,28.74%,0.91%,29.12%,0.93%,42.15%,1.34%,261,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,14,河城荷取，星熊勇仪，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，秦河胜，桑尼米尔克，露娜切尔德，斯塔萨菲雅,7244,210,517
21,东方辉针城,東方輝針城,Windows游戏（STG）,1502,game140,260,252,218,35.62%,3.17%,34.52%,3.07%,29.86%,2.66%,730,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,11,琪露诺，十六夜咲夜，蕾米莉亚·斯卡蕾特，若鹭姬，赤蛮奇，今泉影狼，九十九弁弁，九十九八桥，鬼人正邪，少名针妙丸，堀川雷鼓,8317,288,756
22,弹幕天邪鬼,弾幕アマノジャク,Windows游戏（STG）,489,game143,62,101,101,23.48%,0.76%,38.26%,1.23%,38.26%,1.23%,264,<a href='./?m=info&type=work&id=22' target='_blank'>点击查看详情</a>,6,二岩猯藏，今泉影狼，九十九八桥，鬼人正邪，少名针妙丸，堀川雷鼓,1929,210,322
23,东方深秘录,東方深秘録,Windows游戏（FTG）,340,game145,42,75,64,23.2%,0.51%,41.44%,0.91%,35.36%,0.78%,181,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,15,铃仙·优昙华院·因幡，藤原妹红，河城荷取，古明地觉，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，茨木华扇,13430,507,895
24,东方绀珠传,東方紺珠伝,Windows游戏（STG）,3543,game150,661,532,496,39.14%,8.06%,31.5%,6.48%,29.37%,6.05%,1689,<a href='./?m=info&type=work&id=24' target='_blank'>点击查看详情</a>,15,八云紫，因幡天为（因幡帝），铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，东风谷早苗，八坂神奈子，洩矢诹访子，清兰，铃瑚，哆来咪·苏伊特，稀神探女，克劳恩皮丝，纯狐，赫卡提亚·拉碧斯拉祖利,10988,438,733
26,莲台野夜行,蓮台野夜行,音乐CD,225,music020,30,43,49,24.59%,0.37%,35.25%,0.52%,40.16%,0.6%,122,<a href='./?m=info&type=work&id=26' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
27,梦违科学世纪,夢違科学世紀,音乐CD,328,music030,44,62,72,24.72%,0.54%,34.83%,0.76%,40.45%,0.88%,178,<a href='./?m=info&type=work&id=27' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
28,卯酉东海道,卯酉東海道,音乐CD,259,music040,34,47,63,23.61%,0.41%,32.64%,0.57%,43.75%,0.77%,144,<a href='./?m=info&type=work&id=28' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
29,大空魔术,大空魔術,音乐CD,431,music050,59,80,94,25.32%,0.72%,34.33%,0.98%,40.34%,1.15%,233,<a href='./?m=info&type=work&id=29' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
30,未知之花 魅知之旅,未知の花 魅知の旅,音乐CD,138,music055,16,21,48,18.82%,0.2%,24.71%,0.26%,56.47%,0.59%,85,<a href='./?m=info&type=work&id=30' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
31,鸟船遗迹,鳥船遺跡,音乐CD,90,music060,8,23,20,15.69%,0.1%,45.1%,0.28%,39.22%,0.24%,51,<a href='./?m=info&type=work&id=31' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
32,伊奘诺物质,伊弉諾物質,音乐CD,112,music070,18,17,24,30.51%,0.22%,28.81%,0.21%,40.68%,0.29%,59,<a href='./?m=info&type=work&id=32' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
43,东方香霖堂,東方香霖堂,出版物,424,novel001,80,47,90,36.87%,0.98%,21.66%,0.57%,41.47%,1.1%,217,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,2,宇佐见堇子，森近霖之助,690,308,345
44,东方三月精,東方三月精,出版物,389,novel002,51,72,92,23.72%,0.62%,33.49%,0.88%,42.79%,1.12%,215,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,5,八云紫，克劳恩皮丝，桑尼米尔克，露娜切尔德，斯塔萨菲雅,2502,153,500
45,东方儚月抄,東方儚月抄,出版物,302,novel006,39,56,73,23.21%,0.48%,33.33%,0.68%,43.45%,0.89%,168,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,9,西行寺幽幽子，八云紫，因幡天为（因幡帝），铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，绵月丰姬，绵月依姬，Reisen,6931,417,770
46,东方茨歌仙,東方茨歌仙,出版物,975,novel008,155,154,202,30.33%,1.89%,30.14%,1.88%,39.53%,2.46%,511,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,10,十六夜咲夜，八云紫，伊吹萃香，八意永琳，小野塚小町，东风谷早苗，八坂神奈子，宇佐见堇子，茨木华扇，茨木童子之臂,9176,507,918
47,东方铃奈庵,東方鈴奈庵,出版物,981,novel010,150,164,203,29.01%,1.83%,31.72%,2%,39.26%,2.47%,517,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,4,八云紫，二岩猯藏，稗田阿求，本居小铃,2716,398,679
48,东方求闻史纪,東方求聞史紀,出版物,401,novel005,48,75,107,20.87%,0.59%,32.61%,0.91%,46.52%,1.3%,230,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,1,稗田阿求,398,398,398
49,东方求闻口授,東方求聞口授,出版物,177,novel009,11,46,52,10.09%,0.13%,42.2%,0.56%,47.71%,0.63%,109,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,1,稗田阿求,398,398,398
