id,name,jpname,group,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
23,东方深秘录,東方深秘録,Windows游戏（FTG）,340,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,game145,42,75,64,23.2%,0.51%,41.44%,0.91%,35.36%,0.78%,181,2.21%,145,36,80.11%,19.89%,1.46%,2.09%,
24,东方绀珠传,東方紺珠伝,Windows游戏（STG）,3543,<a href='./?m=info&type=work&id=24' target='_blank'>点击查看详情</a>,game150,661,532,496,39.14%,8.06%,31.5%,6.48%,29.37%,6.05%,1689,20.59%,1436,253,85.02%,14.98%,14.42%,14.72%,
25,蓬莱人形,蓬莱人形,音乐CD,849,<a href='./?m=info&type=work&id=25' target='_blank'>点击查看详情</a>,music010,131,138,180,29.18%,1.6%,30.73%,1.68%,40.09%,2.19%,449,5.47%,358,91,79.73%,20.27%,3.6%,5.29%,
26,莲台野夜行,蓮台野夜行,音乐CD,225,<a href='./?m=info&type=work&id=26' target='_blank'>点击查看详情</a>,music020,30,43,49,24.59%,0.37%,35.25%,0.52%,40.16%,0.6%,122,1.49%,107,15,87.7%,12.3%,1.07%,0.87%,
27,梦违科学世纪,夢違科学世紀,音乐CD,328,<a href='./?m=info&type=work&id=27' target='_blank'>点击查看详情</a>,music030,44,62,72,24.72%,0.54%,34.83%,0.76%,40.45%,0.88%,178,2.17%,148,30,83.15%,16.85%,1.49%,1.75%,
28,卯酉东海道,卯酉東海道,音乐CD,259,<a href='./?m=info&type=work&id=28' target='_blank'>点击查看详情</a>,music040,34,47,63,23.61%,0.41%,32.64%,0.57%,43.75%,0.77%,144,1.76%,119,25,82.64%,17.36%,1.2%,1.45%,
29,大空魔术,大空魔術,音乐CD,431,<a href='./?m=info&type=work&id=29' target='_blank'>点击查看详情</a>,music050,59,80,94,25.32%,0.72%,34.33%,0.98%,40.34%,1.15%,233,2.84%,173,60,74.25%,25.75%,1.74%,3.49%,
30,未知之花 魅知之旅,未知の花 魅知の旅,音乐CD,138,<a href='./?m=info&type=work&id=30' target='_blank'>点击查看详情</a>,music055,16,21,48,18.82%,0.2%,24.71%,0.26%,56.47%,0.59%,85,1.04%,68,17,80%,20%,0.68%,0.99%,
31,鸟船遗迹,鳥船遺跡,音乐CD,90,<a href='./?m=info&type=work&id=31' target='_blank'>点击查看详情</a>,music060,8,23,20,15.69%,0.1%,45.1%,0.28%,39.22%,0.24%,51,0.62%,35,16,68.63%,31.37%,0.35%,0.93%,
32,伊奘诺物质,伊弉諾物質,音乐CD,112,<a href='./?m=info&type=work&id=32' target='_blank'>点击查看详情</a>,music070,18,17,24,30.51%,0.22%,28.81%,0.21%,40.68%,0.29%,59,0.72%,44,15,74.58%,25.42%,0.44%,0.87%,
33,幺乐团的历史 vol.1,幺樂団の歴史 vol.1,音乐CD,6,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,yyt010,0,3,0,0%,0%,100%,0.04%,0%,0%,3,0.04%,1,2,33.33%,66.67%,0.01%,0.12%,
34,幺乐团的历史 vol.2,幺樂団の歴史 vol.2,音乐CD,2,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,yyt020,0,0,2,0%,0%,0%,0%,100%,0.02%,2,0.02%,1,1,50%,50%,0.01%,0.06%,
35,幺乐团的历史 vol.3,幺樂団の歴史 vol.3,音乐CD,0,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,yyt030,0,0,0,0%,0%,0%,0%,0%,0%,0,,0,0,0%,0%,0%,0%,0%
36,幺乐团的历史 vol.4,幺樂団の歴史 vol.4,音乐CD,5,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,yyt040,0,1,3,0%,0%,25%,0.01%,75%,0.04%,4,0.05%,3,1,75%,25%,0.03%,0.06%,
37,幺乐团的历史 vol.5,幺樂団の歴史 vol.5,音乐CD,5,<a href='./?m=info&type=work&id=37' target='_blank'>点击查看详情</a>,yyt050,0,1,3,0%,0%,25%,0.01%,75%,0.04%,4,0.05%,2,2,50%,50%,0.02%,0.12%,
38,幻想曲拔萃,幻想曲抜萃,音乐CD,38,<a href='./?m=info&type=work&id=38' target='_blank'>点击查看详情</a>,ost010,3,8,13,12.5%,0.04%,33.33%,0.1%,54.17%,0.16%,24,0.29%,20,4,83.33%,16.67%,0.2%,0.23%,
39,全人类的天乐录,全人類ノ天楽録,音乐CD,99,<a href='./?m=info&type=work&id=39' target='_blank'>点击查看详情</a>,ost020,9,21,30,15%,0.11%,35%,0.26%,50%,0.37%,60,0.73%,56,4,93.33%,6.67%,0.56%,0.23%,
40,核热造神非想天则,核熱造神ヒソウテンソク,音乐CD,66,<a href='./?m=info&type=work&id=40' target='_blank'>点击查看详情</a>,ost030,8,14,14,22.22%,0.1%,38.89%,0.17%,38.89%,0.17%,36,0.44%,33,3,91.67%,8.33%,0.33%,0.17%,
41,暗黑能乐集心绮楼‎,暗黒能楽集·心綺楼,音乐CD,60,<a href='./?m=info&type=work&id=41' target='_blank'>点击查看详情</a>,ost040,4,16,16,11.11%,0.05%,44.44%,0.2%,44.44%,0.2%,36,0.44%,29,7,80.56%,19.44%,0.29%,0.41%,
42,深秘乐曲集‎,深秘的楽曲集,音乐CD,11,<a href='./?m=info&type=work&id=42' target='_blank'>点击查看详情</a>,ost050,2,0,5,28.57%,0.02%,0%,0%,71.43%,0.06%,7,0.09%,4,3,57.14%,42.86%,0.04%,0.17%,
43,东方香霖堂,東方香霖堂,出版物,424,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,novel001,80,47,90,36.87%,0.98%,21.66%,0.57%,41.47%,1.1%,217,2.65%,197,20,90.78%,9.22%,1.98%,1.16%,
44,东方三月精,東方三月精,出版物,389,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,novel002,51,72,92,23.72%,0.62%,33.49%,0.88%,42.79%,1.12%,215,2.62%,201,14,93.49%,6.51%,2.02%,0.81%,
45,东方儚月抄,東方儚月抄,出版物,302,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,novel006,39,56,73,23.21%,0.48%,33.33%,0.68%,43.45%,0.89%,168,2.05%,132,36,78.57%,21.43%,1.33%,2.09%,
46,东方茨歌仙,東方茨歌仙,出版物,975,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,novel008,155,154,202,30.33%,1.89%,30.14%,1.88%,39.53%,2.46%,511,6.23%,463,48,90.61%,9.39%,4.65%,2.79%,
47,东方铃奈庵,東方鈴奈庵,出版物,981,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,novel010,150,164,203,29.01%,1.83%,31.72%,2%,39.26%,2.47%,517,6.3%,436,81,84.33%,15.67%,4.38%,4.71%,
48,东方求闻史纪,東方求聞史紀,出版物,401,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,novel005,48,75,107,20.87%,0.59%,32.61%,0.91%,46.52%,1.3%,230,2.8%,208,22,90.43%,9.57%,2.09%,1.28%,
49,东方求闻口授,東方求聞口授,出版物,177,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,novel009,11,46,52,10.09%,0.13%,42.2%,0.56%,47.71%,0.63%,109,1.33%,90,19,82.57%,17.43%,0.9%,1.11%,
50,The Grimoire of Marisa,The Grimoire of Marisa,出版物,34,<a href='./?m=info&type=work&id=50' target='_blank'>点击查看详情</a>,novel007,2,8,12,9.09%,0.02%,36.36%,0.1%,54.55%,0.15%,22,0.27%,19,3,86.36%,13.64%,0.19%,0.17%,
51,东方文花帖,東方文花帖,出版物,68,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,novel003,8,11,22,19.51%,0.1%,26.83%,0.13%,53.66%,0.27%,41,0.5%,34,7,82.93%,17.07%,0.34%,0.41%,
52,东方紫香花,東方紫香花,出版物,23,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,novel004,3,6,2,27.27%,0.04%,54.55%,0.07%,18.18%,0.02%,11,0.13%,7,4,63.64%,36.36%,0.07%,0.23%,
