id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector0,vector3,ratio,vratio
1,820,292,<a href='./?m=info&type=cp&id=002015000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,679,141,82.8%,17.2%,9.68%,10.49%,41.34%,14.27%,44.39%,-,35.61,13.33%
2,182,27,<a href='./?m=info&type=cp&id=136146000' target='_blank'>点击查看详情</a>,1,136,<a href='./?m=info&type=chara&id=136' target='_blank'>稗田阿求</a>,146,<a href='./?m=info&type=chara&id=146' target='_blank'>本居小铃</a>,0,-,159,23,87.36%,12.64%,2.27%,1.71%,11.54%,12.64%,75.82%,-,14.84,2.96%
3,7,1,<a href='./?m=info&type=cp&id=087145000' target='_blank'>点击查看详情</a>,1,87,<a href='./?m=info&type=chara&id=87' target='_blank'>宇佐见堇子</a>,145,<a href='./?m=info&type=chara&id=145' target='_blank'>茨木华扇</a>,0,-,5,2,71.43%,28.57%,0.07%,0.15%,14.29%,0%,85.71%,-,14.29,0.11%
4,159,19,<a href='./?m=info&type=cp&id=216217000' target='_blank'>点击查看详情</a>,1,216,<a href='./?m=info&type=chara&id=216' target='_blank'>依神女苑</a>,217,<a href='./?m=info&type=chara&id=217' target='_blank'>依神紫苑</a>,0,-,137,22,86.16%,13.84%,1.95%,1.64%,13.84%,10.06%,76.1%,-,11.95,2.58%
5,1312,543,<a href='./?m=info&type=cp&id=134135000' target='_blank'>点击查看详情</a>,1,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,135,<a href='./?m=info&type=chara&id=135' target='_blank'>玛艾露贝莉·赫恩（梅莉）</a>,0,-,1075,237,81.94%,18.06%,15.32%,17.63%,24.16%,8.99%,66.84%,-,41.39,21.32%
6,52,19,<a href='./?m=info&type=cp&id=001002045' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,52,0,100%,0%,0.74%,0%,15.38%,5.77%,71.15%,7.69%,36.54,0.85%
7,558,148,<a href='./?m=info&type=cp&id=010011000' target='_blank'>点击查看详情</a>,1,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,0,-,457,101,81.9%,18.1%,6.51%,7.51%,20.97%,18.46%,60.57%,-,26.52,9.07%
8,1,0,<a href='./?m=info&type=cp&id=049087000' target='_blank'>点击查看详情</a>,1,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,87,<a href='./?m=info&type=chara&id=87' target='_blank'>宇佐见堇子</a>,0,-,1,0,100%,0%,0.01%,0%,0%,0%,100%,-,,0.02%
9,9,1,<a href='./?m=info&type=cp&id=015225000' target='_blank'>点击查看详情</a>,1,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,225,<a href='./?m=info&type=chara&id=225' target='_blank'>埴安神袿姬</a>,0,-,7,2,77.78%,22.22%,0.1%,0.15%,0%,0%,100%,-,11.11,0.15%
10,1,0,<a href='./?m=info&type=cp&id=221222000' target='_blank'>点击查看详情</a>,1,221,<a href='./?m=info&type=chara&id=221' target='_blank'>牛崎润美</a>,222,<a href='./?m=info&type=chara&id=222' target='_blank'>庭渡久侘歌</a>,0,-,1,0,100%,0%,0.01%,0%,0%,0%,100%,-,,0.02%
