id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
1,东方灵异传,東方霊異伝,PC-98游戏（STG）,68,game010,11,13,9,33.33%,0.19%,39.39%,0.23%,27.27%,0.16%,33,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,7,神玉，魅魔，菊理，矜羯罗，幽玄魔眼，依莉斯，萨丽爱尔,200,7,29
2,东方封魔录,東方封魔録,PC-98游戏（STG）,35,game020,6,5,7,33.33%,0.1%,27.78%,0.09%,38.89%,0.12%,18,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,6,魅魔，玄爷，里香，明罗，Flower～战车，邪眼西格玛,174,9,29
3,东方梦时空,東方夢時空,PC-98游戏（STG）,100,game030,18,16,14,37.5%,0.31%,33.33%,0.28%,29.17%,0.24%,48,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,12,魅魔，玄爷，爱莲，小兔姬，卡娜·安娜贝拉尔，朝仓理香子，北白河千百合，冈崎梦美，咪咪号，留琴，玛○奇，苏格拉底,504,14,42
4,东方幻想乡,東方幻想郷,PC-98游戏（STG）,138,game040,25,23,17,38.46%,0.43%,35.38%,0.4%,26.15%,0.3%,65,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,7,风见幽香，玄爷，奥莲姬，胡桃，艾丽，梦月，幻月,825,18,118
5,东方怪绮谈,東方怪綺談,PC-98游戏（STG）,126,game050,26,14,20,43.33%,0.45%,23.33%,0.24%,33.33%,0.35%,60,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,9,爱丽丝·玛格特洛依德，魅魔，玄爷，萨拉，露易兹，雪，舞，梦子，神绮,1675,17,186
6,东方红魔乡,東方紅魔郷,Windows游戏（STG）,2373,game060,507,328,196,49.18%,8.8%,31.81%,5.69%,19.01%,3.4%,1031,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,10,露米娅，大妖精，琪露诺，红美铃，小恶魔，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，芙兰朵露·斯卡蕾特，冴月麟,7461,870,746
7,东方妖妖梦,東方妖々夢,Windows游戏（STG）,2731,game070,552,407,261,45.25%,9.58%,33.36%,7.07%,21.39%,4.53%,1220,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,15,琪露诺，十六夜咲夜，蕾蒂·霍瓦特洛克，橙，爱丽丝·玛格特洛依德，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，魂魄妖忌，蕾拉·普莉兹姆利巴,8698,134,580
8,东方萃梦想,東方萃夢想,Windows游戏（FTG）,192,game075,28,33,42,27.18%,0.49%,32.04%,0.57%,40.78%,0.73%,103,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,11,红美铃，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，伊吹萃香,10767,1182,979
9,东方永夜抄,東方永夜抄,Windows游戏（STG）,4851,game080,1079,619,376,52.03%,18.73%,29.85%,10.75%,18.13%,6.53%,2074,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,17,帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，莉格露·奈特巴格，米斯蒂娅·萝蕾拉，上白泽慧音，因幡帝，铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，藤原妹红,13829,870,813
10,东方花映塚,東方花映塚,Windows游戏（STG）,609,game090,101,105,96,33.44%,1.75%,34.77%,1.82%,31.79%,1.67%,302,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,19,琪露诺，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，米斯蒂娅·萝蕾拉，因幡帝，铃仙·优昙华院·因幡，八意永琳，射命丸文，梅蒂欣·梅兰可莉，风见幽香，小野塚小町，四季映姬·亚玛萨那度,12248,600,645
11,东方文花帖,東方文花帖,Windows游戏（STG）,108,game095,14,22,22,24.14%,0.24%,37.93%,0.38%,37.93%,0.38%,58,<a href='./?m=info&type=work&id=11' target='_blank'>点击查看详情</a>,1,射命丸文,1237,1237,1237
12,东方风神录,東方風神録,Windows游戏（STG）,2988,game100,565,483,327,41.09%,9.81%,35.13%,8.39%,23.78%,5.68%,1375,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,9,射命丸文，秋静叶，秋穰子，键山雏，河城荷取，犬走椛，东风谷早苗，八坂神奈子，洩矢诹访子,4296,279,477
13,东方绯想天,東方緋想天,Windows游戏（FTG）,721,game105,118,132,103,33.43%,2.05%,37.39%,2.29%,29.18%,1.79%,353,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,14,帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云紫，伊吹萃香，铃仙·优昙华院·因幡，八意永琳，射命丸文，小野塚小町，永江衣玖，比那名居天子,13555,1182,968
14,东方地灵殿,東方地霊殿,Windows游戏（STG）,1898,game110,373,281,217,42.82%,6.48%,32.26%,4.88%,24.91%,3.77%,871,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,15,帕秋莉·诺蕾姬，爱丽丝·玛格特洛依德，八云紫，伊吹萃香，射命丸文，河城荷取，东风谷早苗，琪斯美，黑谷山女，水桥帕露西，星熊勇仪，古明地觉，火焰猫燐，灵乌路空，古明地恋,10983,639,732
15,东方星莲船,東方星蓮船,Windows游戏（STG）,794,game120,128,140,130,32.16%,2.22%,35.18%,2.43%,32.66%,2.26%,398,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,9,娜兹玲，多多良小伞，云山，云居一轮，村纱水蜜，寅丸星，圣白莲，封兽鵺，命莲,1403,74,156
16,东方非想天则,東方非想天則,Windows游戏（FTG）,1864,game123,347,286,251,39.25%,6.02%,32.35%,4.97%,28.39%,4.36%,884,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,10,琪露诺，红美铃，帕秋莉·诺蕾姬，爱丽丝·玛格特洛依德，东风谷早苗，八坂神奈子，洩矢诹访子，灵乌路空，大鲶鱼，非想天则,6000,556,600
17,DS东方文花帖,ダブルスポイラー,Windows游戏（STG）,126,game125,15,26,29,21.43%,0.26%,37.14%,0.45%,41.43%,0.5%,70,<a href='./?m=info&type=work&id=17' target='_blank'>点击查看详情</a>,2,射命丸文，姬海棠果,1363,1237,682
18,妖精大战争,妖精大戦争,Windows游戏（STG）,140,game128,19,25,33,24.68%,0.33%,32.47%,0.43%,42.86%,0.57%,77,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,5,莉莉白，射命丸文，桑尼米尔克，露娜切尔德，斯塔萨菲雅,1555,76,311
19,东方神灵庙,東方神霊廟,Windows游戏（STG）,901,game130,176,138,97,42.82%,3.06%,33.58%,2.4%,23.6%,1.68%,411,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,12,魂魄妖梦，西行寺幽幽子，东风谷早苗，多多良小伞，封兽鵺，幽谷响子，宫古芳香，霍青娥，苏我屠自古，物部布都，丰聪耳神子，二岩猯藏,5815,262,485
20,东方心绮楼,東方心綺楼,Windows游戏（FTG）,612,game135,90,111,120,28.04%,1.56%,34.58%,1.93%,37.38%,2.08%,321,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,14,河城荷取，星熊勇仪，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，秦河胜，桑尼米尔克，露娜切尔德，斯塔萨菲雅,4617,156,330
