id,name,jpname,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
28,卯酉东海道,卯酉東海道,170,<a href='./?m=info&type=work&id=28' target='_blank'>点击查看详情</a>,music040,23,32,37,25%,0.4%,34.78%,0.56%,40.22%,0.64%,92,1.6%,73,19,79.35%,20.65%,1.17%,1.23%,
29,大空魔术,大空魔術,288,<a href='./?m=info&type=work&id=29' target='_blank'>点击查看详情</a>,music050,43,51,57,28.48%,0.75%,33.77%,0.89%,37.75%,0.99%,151,2.62%,116,35,76.82%,23.18%,1.86%,2.27%,
30,未知之花 魅知之旅,未知の花 魅知の旅,64,<a href='./?m=info&type=work&id=30' target='_blank'>点击查看详情</a>,music055,6,14,18,15.79%,0.1%,36.84%,0.24%,47.37%,0.31%,38,0.66%,28,10,73.68%,26.32%,0.45%,0.65%,
31,鸟船遗迹,鳥船遺跡,75,<a href='./?m=info&type=work&id=31' target='_blank'>点击查看详情</a>,music060,8,15,21,18.18%,0.14%,34.09%,0.26%,47.73%,0.36%,44,0.76%,32,12,72.73%,27.27%,0.51%,0.78%,
32,伊奘诺物质,伊弉諾物質,57,<a href='./?m=info&type=work&id=32' target='_blank'>点击查看详情</a>,music070,6,14,11,19.35%,0.1%,45.16%,0.24%,35.48%,0.19%,31,0.54%,22,9,70.97%,29.03%,0.35%,0.58%,
33,幺乐团的历史 vol.1,幺樂団の歴史 vol.1,2,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,yyt010,0,1,0,0%,0%,100%,0.02%,0%,0%,1,0.02%,1,0,100%,0%,0.02%,0%,
34,幺乐团的历史 vol.2,幺樂団の歴史 vol.2,3,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,yyt020,0,1,1,0%,0%,50%,0.02%,50%,0.02%,2,0.03%,1,1,50%,50%,0.02%,0.06%,
35,幺乐团的历史 vol.3,幺樂団の歴史 vol.3,0,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,yyt030,0,0,0,0%,0%,0%,0%,0%,0%,0,,0,0,0%,0%,0%,0%,0%
36,幺乐团的历史 vol.4,幺樂団の歴史 vol.4,2,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,yyt040,0,0,2,0%,0%,0%,0%,100%,0.03%,2,0.03%,2,0,100%,0%,0.03%,0%,
37,幺乐团的历史 vol.5,幺樂団の歴史 vol.5,5,<a href='./?m=info&type=work&id=37' target='_blank'>点击查看详情</a>,yyt050,1,1,0,50%,0.02%,50%,0.02%,0%,0%,2,0.03%,1,1,50%,50%,0.02%,0.06%,
