keyword,tfidf
普通的魔法使,0.236617255476961
解释,0.18706979317888808
普通の魔法使い,0.18517872167762167
出现的组合,0.14402789463815016
魔理沙,0.10740358512297321
自机,0.09661947009399183
标签,0.0852438938599957
spark,0.072686735119462
故事背景,0.06766138163187319
恋色マスタースパーク,0.061726240559207224
恋色master,0.061726240559207224
附带文档,0.058374263181786734
查,0.058374263181786734
编,0.058374263181786734
游戏对话,0.05636135755482857
music,0.054348451927870405
room,0.054348451927870405
爱丽丝,0.05032264067395408
铃仙,0.05032264067395408
优昙华院,0.05032264067395408
因幡,0.05032264067395408
斯卡蕾特,0.048309735046995914
体验版,0.04667787543460277
场景,0.04667787543460277
魔法森林,0.046543816165090804
游戏内manual,0.04588612751313216
雾雨魔法店,0.044436882189066454
正式版,0.04368018259284625
史纪,0.04257580409570869
红魔乡相关,0.041150827039471476
ze,0.041150827039471476
普通的黑魔术师,0.041150827039471476
其他称呼,0.041150827039471476
獭,0.0411372583947297
鹫,0.0411372583947297
博丽神社,0.0407046463343134
芙兰,0.040381519510812224
帕秋莉,0.04025811253916326
普莉兹姆利巴,0.04025811253916326
剧情文本,0.04017394534392471
狼,0.04008638425261888
结局,0.03965592199277089
角色设定,0.03792107774019823
13,0.037685526795980334
ex,0.03643173064362308
11,0.03508423398903344
地灵殿,0.034886631763750335
蕾米莉亚,0.03421939565828878
玛格特洛依德,0.03421939565828878
绿,0.033773199958995075
