keyword,tfidf
道,0.20795425054108962
神,0.17289234307917714
介绍,0.14650183042280246
守旧老爹与前卫少女,0.12634735417640316
技能名,0.10968867030772585
消费灵力,0.10968867030772585
宗教倾向,0.10968867030772585
佛,0.10968867030772585
仏,0.10968867030772585
忿怒,0.10528946181366931
400,0.10001060269713727
500,0.10001060269713727
入道,0.08423156945093545
铁拳,0.08423156945093545
神拳,0.08423156945093545
拳符,0.08423156945093545
拳骨,0.08423156945093545
拳固,0.08423156945093545
符卡名,0.06956115342680001
必杀,0.06783212560406954
在,0.06712878770284558
中,0.06712878770284558
守护与被守护的大轮,0.06317367708820158
時代親父とハイカラ少女,0.06317367708820158
惊愕,0.06317367708820158
高个的入道使,0.06317367708820158
unzan,0.06317367708820158
自由改变形状大小程度的能力,0.06317367708820158
连打,0.06317367708820158
天空铁锤落,0.06317367708820158
稻妻,0.06317367708820158
带电入道,0.06317367708820158
入道唰,0.06317367708820158
变形程度的能力,0.06317367708820158
update,0.05941550015459703
一轮,0.05931132733469553
命莲寺,0.05613172225989432
level5,0.05386765110207468
东方星莲船,0.05370303016227646
故事模式专用,0.05027120552767413
以一轮符卡的身份作为自机参与都市传说异变的对战中,0.04574490221388163
作为一轮的符卡参与完全凭依异变的对战中,0.04574490221388163
和一轮一起将被,0.04574490221388163
东方心绮楼,0.044752525135230384
幺乐团的历史,0.044752525135230384
八尺大人,0.042115784725467724
kumoi,0.042115784725467724
ichirin,0.042115784725467724
会负责处理一些体力劳动和高空作业,0.042115784725467724
作为自己的监视眼,0.042115784725467724
