keyword,tfidf
与米斯蒂娅,0.13914699045755247
在水中力量会增加程度的能力,0.13914699045755247
鳞符,0.13914699045755247
潮符,0.13914699045755247
水符,0.13654566175894345
wakasagihime,0.10436024284316435
slap,0.10436024284316435
鱗符,0.10436024284316435
湖中的潮汐波,0.10436024284316435
东方辉针城,0.08167702480369839
第一日,0.07652704959492242
わかさぎ姫,0.06957349522877623
与赤蛮奇,0.06957349522877623
与幽幽子,0.06957349522877623
与琪露诺,0.06957349522877623
与永江衣玖,0.06957349522877623
与太公望,0.06957349522877623
与苏我屠自古,0.06957349522877623
与少名针妙丸,0.06957349522877623
雾之湖的人鱼,0.06957349522877623
性格稳重软弱,0.06957349522877623
人鱼,0.06957349522877623
对人类也没有任何敌对心理,0.06957349522877623
栖息于淡水的人鱼,0.06957349522877623
秘境的人鱼,0.06957349522877623
世间罕有的淡水人鱼,0.06957349522877623
逆鳞的惊涛,0.06957349522877623
school,0.06957349522877623
歌符,0.06957349522877623
幺乐团的历史,0.06806418733641532
辉针城,0.06541849597585725
与哆来咪,0.06405396461344542
与火焰猫燐,0.06405396461344542
鱼符,0.06405396461344542
fish,0.06405396461344542
久侘歌,0.060137795318908185
查看日文原文,0.05535139267277015
东方辉针城采访,0.054618264703577384
二次设定,0.05445134986913226
2nd,0.04975611645116756
red,0.04909873408824659
正邪,0.04766447851312747
针妙丸,0.04766447851312747
弹幕天邪鬼,0.04764493113549073
十六夜咲夜a,0.044092956423708245
十六夜咲夜b,0.044092956423708245
1面boss,0.044092956423708245
弹幕狂们的黑市,0.04083851240184919
博丽灵梦a,0.03693133661660562
雾雨魔理沙a,0.03693133661660562
