keyword,tfidf
念力,0.25396331637195535
psychokinesis,0.1558769588573068
秘封俱乐部,0.1558769588573068
telekinesis,0.1481452678836406
テレキネシス,0.1481452678836406
深秘录,0.1255285342646763
必,0.12065125835866877
杀,0.12065125835866877
故事模式专用,0.10465954775243273
在,0.09524066450913715
下仆宇佐见堇子,0.09146678803632254
中,0.09109976605221815
操纵超能力程度的能力,0.08465443879065178
occultism,0.08465443879065178
现世的秘术师,0.08465443879065178
teleportation,0.08465443879065178
纸符,0.0779384794286534
新香霖堂2话,0.0779384794286534
主役宇佐见堇子,0.0779384794286534
外面世界,0.07644143217743356
必杀,0.07531712055880578
秘封噩梦日记,0.0662543753107041
灵异现象,0.06349082909298884
二重身,0.06349082909298884
曝光深秘,0.06349082909298884
初代会长,0.06349082909298884
通信塔,0.06349082909298884
击,0.060325629179334386
香霖堂,0.058884416831575366
超能力,0.05845385957149004
瞬间移动,0.05845385957149004
东方深秘录,0.057972578396866085
里,0.056025280468987186
凭依华,0.05525049313820948
醒来后,0.05488007282179352
噩梦日记,0.05193802168432793
苏伊特,0.04969078148302808
射,0.04826050334346751
文果真报,0.045707214094548664
东方凭依华,0.04554988302610907
last,0.04493667545071516
与二岩猯藏,0.04232721939532589
与妹红,0.04232721939532589
与针妙丸,0.04232721939532589
与早苗,0.04232721939532589
与莲子,0.04232721939532589
超能力技能,0.04232721939532589
うさみ,0.04232721939532589
すみれこ,0.04232721939532589
女高中生,0.04232721939532589
