keyword,tfidf
御柱,0.26483910889175505
onbashira,0.17978768556784766
在,0.12663894379810578
风神录,0.1254066498136732
中,0.12312119535926949
神符,0.11586711014014284
创造乾程度的能力,0.08989384278392383
11,0.08918270922467857
口授,0.08813460412725013
神秘,0.08276222152867346
serpent,0.08276222152867346
蛇符,0.08276222152867346
ground,0.08276222152867346
儚道,0.07191507422713907
rising,0.06620977722293876
15,0.06119257190886584
查看日文原文,0.06079020420449332
麻将山,0.053936305670354304
钢加农,0.053936305670354304
yasaka,0.053936305670354304
kanako,0.053936305670354304
山与湖的化身,0.053936305670354304
suwa,0.053936305670354304
foughten,0.053936305670354304
神圣庄严的古战场,0.053936305670354304
神祭,0.053936305670354304
crop,0.053936305670354304
meteoric,0.053936305670354304
御神渡路口,0.053936305670354304
噩梦周一,0.05147571540249749
核聚变炉,0.050751210569544424
故事模式,0.05002309704913154
field,0.049657332917204075
level11,0.049657332917204075
里,0.047594222595784545
之后,0.04707144656699887
早苗线结局,0.046621353433458766
守矢神社,0.04658901204332787
但是,0.04423820594966732
东方风神录,0.04221298126603525
漫画,0.038695232827198986
27,0.03694996827535663
满身疮痍曲,0.035957537113569533
能源狂人,0.035957537113569533
八版神奶子,0.035957537113569533
信仰之山,0.035957537113569533
风神之神德,0.035957537113569533
双方在求闻口授中相谈甚欢,0.035957537113569533
山与湖之神,0.035957537113569533
擅长欺骗人,0.035957537113569533
