keyword,tfidf
式神,0.2892534060709944
蓝,0.1657992953904303
地妖符,0.15313415615523235
在,0.08518439610303379
ran,0.0829269911768347
式辉,0.0829269911768347
时间,0.08273248498508423
原因,0.08119725712079175
东方妖妖梦,0.07707159647417341
在冥界确认,0.07634807681968322
yakumo,0.07634807681968322
八云紫符卡,0.07634807681968322
超人,0.07634807681968322
紫,0.06908303974601263
妖妖梦,0.06494767039897761
里,0.06272232661228917
使役式神程度的能力,0.06219524338262603
すきま妖怪の式,0.06219524338262603
间隙妖怪的式神,0.06219524338262603
fantasy,0.06219524338262603
done,0.06219524338262603
妖妖跋扈,0.06219524338262603
式輝,0.06219524338262603
式弹,0.06219524338262603
行符,0.06219524338262603
飞翔役小角,0.06219524338262603
中,0.0608459972164527
东方文花帖,0.0608459972164527
噩梦周三,0.05935787792586671
查看日文原文,0.057728289805168226
少女幻葬,0.05726105761476242
who,0.05726105761476242
illusion,0.05726105761476242
necro,0.05726105761476242
密符,0.05726105761476242
ちぇぇぇぇぇぇぇん,0.05726105761476242
式神大星,0.05726105761476242
兽王园,0.055024629273031804
2003年8月,0.05385462006291391
下克上,0.05376019709883753
it,0.05376019709883753
level8,0.051044718718410785
书籍,0.04867679777316216
初次登场时期产生,0.04727570570576242
角色设定衍生,0.045325150815049044
参考度,0.04503622165922221
10,0.044879158120788104
东方求闻史纪,0.04462039795873198
漫画,0.04462039795873198
藍,0.04146349558841735
