keyword,tfidf
天符,0.20936936912248702
200,0.17024259962731417
cosmic,0.16369296038842954
mind,0.13957957941499136
道,0.1347105648484787
超人,0.12276972029132215
神,0.11999767703149708
感情的摩天楼,0.1185322560156626
魔法,0.10371572401370475
佛,0.10150737273212115
必,0.10136077480648882
杀,0.10136077480648882
介绍,0.09490233681803134
在,0.08986965913606768
故事模式专用,0.08955417744634828
咏唱数消费1个,0.08889919201174695
詠唱カウント１消費,0.08889919201174695
中,0.08407161661116008
仏,0.08120589818569693
byakuren,0.07408266000978912
光魔,0.07408266000978912
主役圣白莲,0.0729611141259918
技能名,0.07105516091248482
消费灵力,0.07105516091248482
宗教倾向,0.07105516091248482
12,0.06773113821592151
星莲船,0.06422707973515285
silver,0.0608009284383265
魔神复诵,0.0592661280078313
擅长提升体能的魔法,0.0592661280078313
感情の摩天楼,0.0592661280078313
吉兆,0.0592661280078313
垂迹大日如来,0.0592661280078313
nyo,0.0592661280078313
口授,0.05282389021176825
必杀,0.05272912055158966
红星符,0.05122833435001857
查看日文原文,0.05009798102448586
使用魔法程度的能力,0.048640742750661194
斯卡蕾特合作,0.048640742750661194
命莲寺,0.04848204828304585
hiziri,0.044449596005873476
身体强化为主,0.044449596005873476
她尊敬妖怪,0.044449596005873476
涡轮老太婆,0.044449596005873476
极速,0.044449596005873476
骑手僧侣,0.044449596005873476
魔法银河系,0.044449596005873476
游行圣,0.044449596005873476
习合,0.044449596005873476
