keyword,tfidf
河童,0.19698476840493392
friend,0.18176950513741172
candid,0.16734903732505857
水符,0.15458850850437653
中,0.14522476958666902
道,0.1377193209250632
在,0.13336968635510418
芥川龙之介的河童,0.12117967009160781
神,0.11449929982221062
瀑符,0.10603221133015682
介绍,0.09702197741863672
击,0.09498927570836878
操纵水程度的能力,0.09088475256870586
150,0.09088475256870586
泡符,0.09088475256870586
必,0.08635388700760799
杀,0.08635388700760799
河城,0.07573729380725487
kawasiro,0.07573729380725487
nitori,0.07573729380725487
超妖怪弹头,0.07573729380725487
太古,0.07573729380725487
技能名,0.072642175616258
消费灵力,0.072642175616258
宗教倾向,0.072642175616258
佛,0.072642175616258
仏,0.072642175616258
にとり,0.060589835045803904
芥川龍之介の河童,0.060589835045803904
原理不明,0.060589835045803904
光学,0.060589835045803904
洪水,0.060589835045803904
河符,0.060589835045803904
射击吧,0.060589835045803904
泡泡龙,0.060589835045803904
飞翔吧,0.060589835045803904
三平加油,0.060589835045803904
射,0.06044772090532559
查看日文原文,0.051216917798313354
技能与符卡,0.04899353629245221
口授,0.047253246318665405
妖怪黄瓜,0.04544237628435293
擅长制作道具,0.04544237628435293
尼斯湖水怪尼西,0.04544237628435293
鬼之臂,0.04544237628435293
超妖怪弾頭,0.04544237628435293
三叠纪的河童,0.04544237628435293
camouflage,0.04544237628435293
漂溺,0.04544237628435293
dividing,0.04544237628435293
