keyword,tfidf
传统的幻想记者,0.19943077171226395
中,0.17838114421455362
在,0.1700195280794964
文,0.15656195859646682
介绍,0.14338018032181007
aya,0.14245055122304567
操纵风程度的能力,0.14245055122304567
伝統の幻想ブン屋,0.12820549610074114
文文,0.10381168023011604
幻想风靡,0.09971538585613197
鸦天狗,0.09180458414575879
b或c,0.08767266764286688
射命丸,0.08547033073382741
风神少女,0.08547033073382741
塞符,0.08547033073382741
cost,0.07970242512987896
子机名,0.07868964355350754
spoiler,0.07169009016090504
syameimaru,0.07122527561152284
岐符,0.07122527561152284
副季节,0.06557470296125628
天狗,0.06319570619342905
查看日文原文,0.06233207062832695
符卡名,0.06188995413258497
在风神录,0.06156555786329044
新闻,0.05950185863616386
绯想天,0.059144571313555855
史纪,0.0589533401735102
技能与符卡,0.05759345809367282
shameimaru,0.056980220489218275
version,0.056980220489218275
风神,0.056980220489218275
幻想風靡,0.056980220489218275
旋符,0.056980220489218275
17,0.05640762089747678
妖怪之山,0.056296849715886714
文花帖,0.05479094296898252
天空璋,0.05416774816579634
书籍,0.05295690218869561
可以选择,0.05245976236900502
东方文花帖,0.05016969681034321
在花映塚,0.04925244629063235
ds,0.046255267464791465
风符,0.04473198817041909
shot,0.04301338975485424
あや,0.042735165366913706
風神少女,0.042735165366913706
short,0.042735165366913706
射命丸文的主题曲,0.042735165366913706
風神,0.042735165366913706
