id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,A Sacred Lot,A Sacred Lot,东方灵异传,25,0,25,<a href='./?m=info&type=music&id=1' target='_blank'>点击查看详情</a>,0%,0.37%,0%,16,9,64%,36%,0.23%,0.67%,
2,永远之巫女,永遠の巫女,东方灵异传,483,52,535,<a href='./?m=info&type=music&id=2' target='_blank'>点击查看详情</a>,10.77%,7.1%,0.8%,359,123,74.33%,25.47%,5.12%,9.15%,
3,The Positive and Negative,The Positive and Negative,东方灵异传,14,0,14,<a href='./?m=info&type=music&id=3' target='_blank'>点击查看详情</a>,0%,0.21%,0%,10,4,71.43%,28.57%,0.14%,0.3%,
4,Highly Responsive to Prayers,Highly Responsive to Prayers,东方灵异传,7,1,8,<a href='./?m=info&type=music&id=4' target='_blank'>点击查看详情</a>,14.29%,0.1%,0.02%,4,3,57.14%,42.86%,0.06%,0.22%,
5,东方怪奇谈,東方怪奇談,东方灵异传,24,0,24,<a href='./?m=info&type=music&id=5' target='_blank'>点击查看详情</a>,0%,0.35%,0%,16,8,66.67%,33.33%,0.23%,0.6%,
6,天使传说,天使伝説,东方灵异传,11,0,11,<a href='./?m=info&type=music&id=6' target='_blank'>点击查看详情</a>,0%,0.16%,0%,7,4,63.64%,36.36%,0.1%,0.3%,
7,Oriental Magician,Oriental Magician,东方灵异传,3,0,3,<a href='./?m=info&type=music&id=7' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,1,66.67%,33.33%,0.03%,0.07%,
8,破邪的小太刀,破邪の小太刀,东方灵异传,15,0,15,<a href='./?m=info&type=music&id=8' target='_blank'>点击查看详情</a>,0%,0.22%,0%,9,6,60%,40%,0.13%,0.45%,
9,魔镜,魔鏡,东方灵异传,8,0,8,<a href='./?m=info&type=music&id=9' target='_blank'>点击查看详情</a>,0%,0.12%,0%,6,2,75%,25%,0.09%,0.15%,
10,the Legend of KAGE,the Legend of KAGE,东方灵异传,2,0,2,<a href='./?m=info&type=music&id=10' target='_blank'>点击查看详情</a>,0%,0.03%,0%,1,1,50%,50%,0.01%,0.07%,
11,来吧，直到倒地死去的那一刻,いざ、倒れ逝くその時まで,东方灵异传,74,3,77,<a href='./?m=info&type=music&id=11' target='_blank'>点击查看详情</a>,4.05%,1.09%,0.05%,61,13,82.43%,17.57%,0.87%,0.97%,
12,同归于尽,死なばもろとも,东方灵异传,35,0,35,<a href='./?m=info&type=music&id=12' target='_blank'>点击查看详情</a>,0%,0.51%,0%,28,7,80%,20%,0.4%,0.52%,
13,星幽剑士,星幽剣士,东方灵异传,12,0,12,<a href='./?m=info&type=music&id=13' target='_blank'>点击查看详情</a>,0%,0.18%,0%,8,4,66.67%,33.33%,0.11%,0.3%,
14,鸢尾花,アイリス,东方灵异传,13,1,14,<a href='./?m=info&type=music&id=14' target='_blank'>点击查看详情</a>,7.69%,0.19%,0.02%,7,6,53.85%,46.15%,0.1%,0.45%,
15,风之神社,風の神社,东方灵异传,41,1,42,<a href='./?m=info&type=music&id=15' target='_blank'>点击查看详情</a>,2.44%,0.6%,0.02%,31,10,75.61%,24.39%,0.44%,0.74%,
16,东方封魔录 ～ 净土曼荼罗,東方封魔録 ～ 浄土曼荼羅,东方封魔录,6,1,7,<a href='./?m=info&type=music&id=16' target='_blank'>点击查看详情</a>,16.67%,0.09%,0.02%,6,0,100%,0%,0.09%,0%,
17,博丽 ～ Eastern Wind,博麗 ～ Eastern Wind,东方封魔录,10,2,12,<a href='./?m=info&type=music&id=17' target='_blank'>点击查看详情</a>,20%,0.15%,0.03%,4,6,40%,60%,0.06%,0.45%,
18,She's in a temper!!,She's in a temper!!,东方封魔录,5,0,5,<a href='./?m=info&type=music&id=18' target='_blank'>点击查看详情</a>,0%,0.07%,0%,5,0,100%,0%,0.07%,0%,
19,End of Daylight,End of Daylight,东方封魔录,33,0,33,<a href='./?m=info&type=music&id=19' target='_blank'>点击查看详情</a>,0%,0.48%,0%,15,18,45.45%,54.55%,0.21%,1.34%,
20,黑暗的力量,やみのちから,东方封魔录,4,0,4,<a href='./?m=info&type=music&id=20' target='_blank'>点击查看详情</a>,0%,0.06%,0%,3,1,75%,25%,0.04%,0.07%,
21,幻梦界,幻夢界,东方封魔录,12,2,14,<a href='./?m=info&type=music&id=21' target='_blank'>点击查看详情</a>,16.67%,0.18%,0.03%,8,4,66.67%,33.33%,0.11%,0.3%,
22,以死相赌,死を賭して,东方封魔录,2,0,2,<a href='./?m=info&type=music&id=22' target='_blank'>点击查看详情</a>,0%,0.03%,0%,1,1,50%,50%,0.01%,0.07%,
23,神篱，如紫色火焰般燃烧,ひもろぎ、むらさきにもえ,东方封魔录,5,0,5,<a href='./?m=info&type=music&id=23' target='_blank'>点击查看详情</a>,0%,0.07%,0%,4,1,80%,20%,0.06%,0.07%,
24,恋色Magic（恋色Master spark）,恋色マジック,东方封魔录,675,75,750,<a href='./?m=info&type=music&id=24' target='_blank'>点击查看详情</a>,11.11%,9.92%,1.16%,584,91,86.52%,13.48%,8.33%,6.77%,
25,东方封魔录 ～ 幽幻乱舞,東方封魔録 ～ 幽幻乱舞,东方封魔录,2,0,2,<a href='./?m=info&type=music&id=25' target='_blank'>点击查看详情</a>,0%,0.03%,0%,2,0,100%,0%,0.03%,0%,
26,Complete Darkness,Complete Darkness,东方封魔录,43,1,44,<a href='./?m=info&type=music&id=26' target='_blank'>点击查看详情</a>,2.33%,0.63%,0.02%,38,5,88.37%,11.63%,0.54%,0.37%,
27,Extra Love,Extra Love,东方封魔录,2,0,2,<a href='./?m=info&type=music&id=27' target='_blank'>点击查看详情</a>,0%,0.03%,0%,1,1,50%,50%,0.01%,0.07%,
28,战车娘所做的梦,戦車むすめのみるゆめ,东方封魔录,8,0,8,<a href='./?m=info&type=music&id=28' target='_blank'>点击查看详情</a>,0%,0.12%,0%,7,1,87.5%,12.5%,0.1%,0.07%,
29,远野之森,遠野の森,东方封魔录,7,0,7,<a href='./?m=info&type=music&id=29' target='_blank'>点击查看详情</a>,0%,0.1%,0%,6,1,85.71%,14.29%,0.09%,0.07%,
30,传说中的仙境,昔話わんだーらんど,东方封魔录,4,1,5,<a href='./?m=info&type=music&id=30' target='_blank'>点击查看详情</a>,25%,0.06%,0.02%,4,0,100%,0%,0.06%,0%,
31,博丽神社境内,博麗神社境内,东方封魔录,13,0,13,<a href='./?m=info&type=music&id=31' target='_blank'>点击查看详情</a>,0%,0.19%,0%,8,5,61.54%,38.46%,0.11%,0.37%,
32,夕阳下落,陽落ちて,东方封魔录,1,0,1,<a href='./?m=info&type=music&id=32' target='_blank'>点击查看详情</a>,0%,0.01%,0%,1,0,100%,0%,0.01%,0%,
33,封魔终演,封魔終演,东方封魔录,3,0,3,<a href='./?m=info&type=music&id=33' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,1,66.67%,33.33%,0.03%,0.07%,
34,梦想超越时空,夢は時空を越えて,东方梦时空,40,4,44,<a href='./?m=info&type=music&id=34' target='_blank'>点击查看详情</a>,10%,0.59%,0.06%,24,15,60%,37.5%,0.34%,1.12%,
35,Selection,Selection,东方梦时空,3,0,3,<a href='./?m=info&type=music&id=35' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,1,66.67%,33.33%,0.03%,0.07%,
36,东方妖恋谈,東方妖恋談,东方梦时空,98,7,105,<a href='./?m=info&type=music&id=36' target='_blank'>点击查看详情</a>,7.14%,1.44%,0.11%,73,24,74.49%,24.49%,1.04%,1.79%,
37,Reincarnation,Reincarnation,东方梦时空,212,17,229,<a href='./?m=info&type=music&id=37' target='_blank'>点击查看详情</a>,8.02%,3.12%,0.26%,158,53,74.53%,25%,2.25%,3.94%,
38,Dim. Dream,Dim. Dream,东方梦时空,10,0,10,<a href='./?m=info&type=music&id=38' target='_blank'>点击查看详情</a>,0%,0.15%,0%,7,3,70%,30%,0.1%,0.22%,
39,Tabula rasa ～ 空白少女,Tabula rasa ～ 空白少女,东方梦时空,104,7,111,<a href='./?m=info&type=music&id=39' target='_blank'>点击查看详情</a>,6.73%,1.53%,0.11%,73,31,70.19%,29.81%,1.04%,2.31%,
40,Maniacal Princess,Maniacal Princess,东方梦时空,4,0,4,<a href='./?m=info&type=music&id=40' target='_blank'>点击查看详情</a>,0%,0.06%,0%,1,3,25%,75%,0.01%,0.22%,
41,梦消失 ～ Lost Dream,夢消失 ～ Lost Dream,东方梦时空,709,38,747,<a href='./?m=info&type=music&id=41' target='_blank'>点击查看详情</a>,5.36%,10.42%,0.59%,606,103,85.47%,14.53%,8.64%,7.66%,
42,梦幻游戏 ～ Dream War,夢幻遊戯 ～ Dream War,东方梦时空,6,0,6,<a href='./?m=info&type=music&id=42' target='_blank'>点击查看详情</a>,0%,0.09%,0%,5,1,83.33%,16.67%,0.07%,0.07%,
43,魔法决战！ ～ Fight it out!,魔法決戦！ ～ Fight it out!,东方梦时空,1,0,1,<a href='./?m=info&type=music&id=43' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,1,0%,100%,0%,0.07%,
