id,name,group,by,info,v0,v1,v2,v3,v4,v5
TH07.5,东方萃梦想,Win(FTG),TH07.5,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,4199 (71.03%),740 (12.52%),548 (9.27%),190 (3.21%),235 (3.97%),-
TH10.5,东方绯想天,Win(FTG),TH10.5,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,3236 (54.74%),948 (16.04%),850 (14.38%),309 (5.23%),569 (9.62%),-
TH12.3,东方非想天则,Win(FTG),TH12.3,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,2820 (47.7%),1077 (18.22%),889 (15.04%),342 (5.78%),784 (13.26%),-
TH13.5,东方心绮楼,Win(FTG),TH13.5,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,3590 (60.72%),839 (14.19%),794 (13.43%),259 (4.38%),430 (7.27%),-
TH14.5,东方深秘录,Win(FTG),TH14.5,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,3892 (65.83%),677 (11.45%),636 (10.76%),221 (3.74%),486 (8.22%),-
TH14.5PS4,东方深秘录PS4版,Win(STG),TH14.5PS4,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,5674 (95.97%),95 (1.61%),68 (1.15%),19 (0.32%),28 (0.47%),28 (0.47%)
TH15.5,东方凭依华,Win(FTG),TH15.5,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,3505 (59.29%),686 (11.6%),639 (10.81%),263 (4.45%),479 (8.1%),340 (5.75%)
