keyword,freq
八千,69
吉吊,47
畜生,33
形兽,32
组织,28
动物,27
兽王,21
地狱,18
魔理沙,15
自机,14
博丽灵,14
早鬼,13
支配,13
雾雨,13
THBWiki,12
骊驹,12
鬼杰组,12
灵长,12
偶像,12
鬼杰,11
