region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,old_2_1_rank,points,old_2_1_points,primary_count,secondary_count,other_count,selection_count,ballots,primary_rate,secondary_rate,top2_rate,selection_rate,male_rate,female_rate,other_gender_rate,under20_rate,overall_male_rate,overall_female_rate,overall_other_gender_rate,equal_rank_change,source_type
cn,1,CN1,character,39,四季映姬夜摩仙那度,四季映姫・ヤマザナドゥ,四季映姬·夜摩仙那度,25,25,,376.0,,36.0,,304.0,340.0,6365,0.10588235294117647,,,0.05341712490180676,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,29,上白泽慧音,上白沢 慧音,上白泽慧音,26,26,,344.0,,35.0,,274.0,309.0,6365,0.11326860841423948,,,0.04854673998428908,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,56,灵乌路空,霊烏路 空,灵乌路空,27,27,,369.0,,68.0,,233.0,301.0,6365,0.22591362126245848,,,0.047289866457187746,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,3,露米娅,ルーミア,露米娅,28,28,,306.0,,39.0,,228.0,267.0,6365,0.14606741573033707,,,0.04194815396700707,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,64,圣白莲,聖 白蓮,圣白莲,29,29,,278.0,,37.0,,204.0,241.0,6365,0.15352697095435686,,,0.03786331500392773,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,22,八云蓝,八雲 藍,八云蓝,30,30,,282.0,,42.0,,198.0,240.0,6365,0.175,,,0.037706205813040065,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,59,多多良小伞,多々良 小傘,多多良小伞,31,31,,212.0,,19.0,,174.0,193.0,6365,0.09844559585492228,,,0.030322073841319717,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,65,封兽鵺,封獣 ぬえ,封兽鵺,32,32,,203.0,,28.0,,147.0,175.0,6365,0.16,,,0.02749410840534171,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,38,小野塚小町,小野塚 小町,小野塚小町,33,33,,193.0,,20.0,,153.0,173.0,6365,0.11560693641618497,,,0.02717989002356638,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,72,霍青娥,霍 青娥,霍青娥,34,34,,181.0,,11.0,,159.0,170.0,6365,0.06470588235294118,,,0.02670856245090338,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,32,八意永琳,八意 永琳,八意永琳,35,35,,178.0,,19.0,,140.0,159.0,6365,0.11949685534591195,,,0.02498036135113904,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,44,犬走椛,犬走 椛,犬走椛,35,35,,186.0,,27.0,,132.0,159.0,6365,0.16981132075471697,,,0.02498036135113904,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,74,物部布都,物部 布都,物部布都,37,37,,170.0,,23.0,,124.0,147.0,6365,0.1564625850340136,,,0.023095051060487037,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,120,茨木华扇,茨木 華扇,茨木华扇,38,38,,157.0,,14.0,,129.0,143.0,6365,0.0979020979020979,,,0.02246661429693637,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,14,橙,橙,橙,39,39,,142.0,,11.0,,120.0,131.0,6365,0.08396946564885496,,,0.020581304006284367,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,55,火焰猫燐,火焔猫 燐,火焰猫燐,39,39,,140.0,,9.0,,122.0,131.0,6365,0.06870229007633588,,,0.020581304006284367,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,109,宇佐见莲子,宇佐見 蓮子,宇佐见莲子,41,41,,146.0,,18.0,,110.0,128.0,6365,0.140625,,,0.020109976433621366,,,,,,,,0,cn_normalized_workbook
