round,entity_id,name_jp,name_cn,rank,equal_rank,old_2_1_rank,points,old_2_1_points,primary_count,secondary_count,other_count,selection_count,ballots,primary_rate,secondary_rate,top2_rate,selection_rate,male_rate,female_rate,other_gender_rate,under20_rate,overall_male_rate,overall_female_rate,overall_other_gender_rate,rank_change,equal_rank_change,points_change,primary_count_change,secondary_count_change,selection_count_change,selection_rate_change,primary_rate_change,female_rate_change,selection_yoy
20,1,博麗 霊夢,博丽灵梦,1,1,1,21959,21959,4301,0,13357,17658,56855,0.24357231849586589,0.0,0.24357231849586589,0.31057954445519304,0.7335458893190617,0.2354816670462309,0.030972443634707355,0.596158296690581,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,2,霧雨 魔理沙,雾雨魔理沙,2,2,2,20251,20251,4063,0,12125,16188,56855,0.2509883864591055,0.0,0.2509883864591055,0.2847242986544719,0.685945002182453,0.28131820165866434,0.032736796158882586,0.6547829937998229,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,11,フランドール・スカーレット,芙兰朵露·斯卡蕾特,3,3,3,17324,17324,3723,0,9878,13601,56855,0.27372987280347033,0.0,0.27372987280347033,0.2392225837657198,0.6939947780678851,0.2759791122715405,0.030026109660574413,0.6940457203615098,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,54,古明地 こいし,古明地恋,4,4,4,16273,16273,3334,0,9605,12939,56855,0.25767060823865834,0.0,0.25767060823865834,0.22757892885410255,0.7357007319056655,0.2274329086473299,0.03686635944700461,0.6791354945968412,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,19,魂魄 妖夢,魂魄妖梦,5,7,5,14445,14445,3083,0,8279,11362,56855,0.27134307340256997,0.0,0.27134307340256997,0.19984170257673028,0.7917570498915402,0.18097303997520917,0.027269910133250697,0.6787515762925599,0.7346550454210655,0.23103363614043704,0.03431131843849742,,-2,,,,,,,,
20,9,十六夜 咲夜,十六夜咲夜,6,5,6,14437,14437,2535,0,9367,11902,56855,0.21298941354394219,0.0,0.21298941354394219,0.20933954797291354,0.702999702999703,0.2702702702702703,0.02673002673002673,0.6837349397590362,0.7346550454210655,0.23103363614043704,0.03431131843849742,,1,,,,,,,,
20,10,レミリア・スカーレット,蕾米莉亚·斯卡蕾特,7,6,7,13785,13785,2207,0,9371,11578,56855,0.19062014164795302,0.0,0.19062014164795302,0.20364084073520358,0.7248840803709428,0.2472952086553323,0.027820710973724884,0.6683496371094982,0.7346550454210655,0.23103363614043704,0.03431131843849742,,1,,,,,,,,
20,51,古明地 さとり,古明地觉,8,8,8,9921,9921,1305,0,7311,8616,56855,0.15146239554317548,0.0,0.15146239554317548,0.1515433998768798,0.7808604744672296,0.1897868918375553,0.029352633695215118,0.6257213520197856,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,30,藤原 妹紅,藤原妹红,9,9,9,9378,9378,1641,0,6096,7737,56855,0.2120977122915859,0.0,0.2120977122915859,0.13608301820420368,0.7062171628721541,0.2570052539404553,0.03677758318739054,0.6524064171122994,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,5,チルノ,琪露诺,10,10,10,8159,8159,1335,0,5489,6824,56855,0.19563305978898007,0.0,0.19563305978898007,0.12002462404361973,0.7673352435530086,0.1982808022922636,0.034383954154727794,0.65,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,20,西行寺 幽々子,西行寺幽幽子,11,11,11,7973,7973,1156,0,5661,6817,56855,0.16957605985037408,0.0,0.16957605985037408,0.11990150382552106,0.7468017057569296,0.22494669509594883,0.028251599147121536,0.5654281098546041,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,14,アリス・マーガトロイド,爱丽丝·玛格特洛依德,12,12,12,7417,7417,1055,0,5307,6362,56855,0.16582835586293618,0.0,0.16582835586293618,0.11189868964910737,0.761825264329438,0.20979410127991097,0.028380634390651086,0.5233802816901408,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,32,射命丸 文,射命丸文,13,13,13,7236,7236,1082,0,5072,6154,56855,0.17582060448488787,0.0,0.17582060448488787,0.10824026031131827,0.8393810032017076,0.13393810032017076,0.026680896478121666,0.5318107667210441,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
20,42,東風谷 早苗,东风谷早苗,14,14,14,6763,6763,986,0,4791,5777,56855,0.17067682187986843,0.0,0.17067682187986843,0.1016093571365755,0.8396436525612472,0.13975501113585745,0.02060133630289532,0.511497476163769,0.7346550454210655,0.23103363614043704,0.03431131843849742,,0,,,,,,,,
