topic,comparison_group,item,option,first_round,first_count,first_denominator,first_percent,last_round,last_count,last_denominator,last_percent,change_pp,rounds_observed,observed_rounds_json,missing_rounds_json,source_url_first,source_url_last
cleared_title,title_clear_level_legacy_player_subcohort,紅魔郷,Easyクリア,5,1422,7919,17.956813,7,3554,19687,18.052522,0.095709,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,紅魔郷,Hardクリア,5,1021,7919,12.893042,7,2536,19687,12.881597,-0.011445,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,紅魔郷,Lunaticクリア,5,359,7919,4.533401,7,1110,19687,5.638238,1.104837,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,紅魔郷,Normalクリア,5,4053,7919,51.180705,7,9689,19687,49.215218,-1.965487,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,花映塚,Easyクリア,5,1421,7345,19.346494,7,3954,17338,22.805399,3.458905,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,花映塚,Hardクリア,5,906,7345,12.334922,7,1469,17338,8.472719,-3.862203,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,花映塚,Lunaticクリア,5,741,7345,10.088496,7,1574,17338,9.078325,-1.010171,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,花映塚,Normalクリア,5,3542,7345,48.223281,7,8308,17338,47.917868,-0.305413,3,"[5,6,7]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote7/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,風神録,Easyクリア,5,1282,7672,16.710115,10,1860,11709,15.885217,-0.824898,6,"[5,6,7,8,9,10]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote10/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,風神録,Hardクリア,5,867,7672,11.300834,10,1683,11709,14.373559,3.072725,6,"[5,6,7,8,9,10]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote10/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,風神録,Lunaticクリア,5,357,7672,4.653285,10,988,11709,8.437954,3.784669,6,"[5,6,7,8,9,10]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote10/result_anq.html
cleared_title,title_clear_level_legacy_player_subcohort,風神録,Normalクリア,5,4042,7672,52.685089,10,5716,11709,48.817149,-3.86794,6,"[5,6,7,8,9,10]",[],http://thwiki.info/th/vote5/result_anq.html,http://thwiki.info/th/vote10/result_anq.html
cognition,cognition_release_cohorts,,アマノジャク～紺珠伝,12,767,17788,4.311896,21,929,15084,6.158844,1.846948,10,"[12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote12/result_list_questionnaire.php,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,ナイトメアダイアリー～鬼形獣,19,1423,15376,9.254683,21,1434,15084,9.506762,0.252079,3,"[19,20,21]",[],https://toho-vote.info/assets/questionnaire-CAQ3N1s_.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,バレットフィリア～獣王園,19,205,15376,1.333247,21,865,15084,5.734553,4.401306,3,"[19,20,21]",[],https://toho-vote.info/assets/questionnaire-CAQ3N1s_.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,地霊殿～星蓮船,7,3702,22154,16.710301,21,445,15084,2.950146,-13.760155,13,"[7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote7/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,天空璋～ナイトメアダイアリー,19,1160,15376,7.544225,21,1057,15084,7.007425,-0.5368,3,"[19,20,21]",[],https://toho-vote.info/assets/questionnaire-CAQ3N1s_.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,天空璋～現在,14,98,13710,0.714807,15,382,10574,3.612635,2.897828,2,"[14,15]",[],https://toho-vote.info/result14/result_list_questionnaire.php,https://toho-vote.info/result15/result_list_questionnaire.php
cognition,cognition_release_cohorts,,天空璋～鬼形獣,16,808,13834,5.840682,18,1966,15521,12.66671,6.826028,3,"[16,17,18]",[],https://toho-vote.info/result16/result_list_questionnaire.php,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
cognition,cognition_release_cohorts,,妖々夢体験版～妖々夢,3,426,2861,14.889899,4,291,2995,9.716194,-5.173705,2,"[3,4]",[],http://thwiki.info/th/vote3/result_anq.html,http://thwiki.info/th/vote4/result_anq.html
cognition,cognition_release_cohorts,,妖々夢～永夜抄,5,994,8478,11.724463,21,155,15084,1.027579,-10.696884,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,妖々夢～蓮台野夜行,3,638,2861,22.299895,4,402,2995,13.422371,-8.877524,2,"[3,4]",[],http://thwiki.info/th/vote3/result_anq.html,http://thwiki.info/th/vote4/result_anq.html
cognition,cognition_release_cohorts,,妖精大戦争～神霊廟,10,1699,15371,11.053282,21,363,15084,2.406523,-8.646759,12,"[10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote10/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,文花帖～求聞史紀,5,1092,8478,12.880396,21,75,15084,0.497216,-12.38318,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,旧作～秋霜玉,3,44,2861,1.537924,21,71,15084,0.470697,-1.067227,17,"[3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote3/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,旧約酒場～天空璋,14,297,13710,2.166302,21,872,15084,5.78096,3.614658,8,"[14,15,16,17,18,19,20,21]",[],https://toho-vote.info/result14/result_list_questionnaire.php,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,星蓮船～妖精大戦争,10,1694,15371,11.020753,21,331,15084,2.194378,-8.826375,12,"[10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote10/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,永夜抄体験版～永夜抄,3,323,2861,11.289759,4,348,2995,11.619366,0.329607,2,"[3,4]",[],http://thwiki.info/th/vote3/result_anq.html,http://thwiki.info/th/vote4/result_anq.html
cognition,cognition_release_cohorts,,永夜抄～萃夢想,5,786,8478,9.271054,21,125,15084,0.828693,-8.442361,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,求聞口授～輝針城,11,1013,10332,9.804491,21,476,15084,3.155662,-6.648829,11,"[11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote11/result_questionnaire.php,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,求聞史紀～風神録,5,2070,8478,24.416136,21,253,15084,1.677274,-22.738862,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,獣王園～現在,19,85,15376,0.55281,21,1319,15084,8.744365,8.191555,3,"[19,20,21]",[],https://toho-vote.info/assets/questionnaire-CAQ3N1s_.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,神霊廟～求聞口授,11,1022,10332,9.891599,21,460,15084,3.049589,-6.84201,11,"[11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote11/result_questionnaire.php,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,秋霜玉～紅魔郷,5,129,8478,1.521585,21,130,15084,0.86184,-0.659745,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,秋霜玉～紅魔郷体験版,3,54,2861,1.887452,4,37,2995,1.235392,-0.65206,2,"[3,4]",[],http://thwiki.info/th/vote3/result_anq.html,http://thwiki.info/th/vote4/result_anq.html
cognition,cognition_release_cohorts,,紅魔郷体験版～紅魔郷,3,326,2861,11.394617,4,176,2995,5.876461,-5.518156,2,"[3,4]",[],http://thwiki.info/th/vote3/result_anq.html,http://thwiki.info/th/vote4/result_anq.html
cognition,cognition_release_cohorts,,紅魔郷～妖々夢,5,762,8478,8.987969,21,317,15084,2.101565,-6.886404,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,紅魔郷～妖々夢体験版,3,590,2861,20.62216,4,351,2995,11.719533,-8.902627,2,"[3,4]",[],http://thwiki.info/th/vote3/result_anq.html,http://thwiki.info/th/vote4/result_anq.html
cognition,cognition_release_cohorts,,紺珠伝～旧約酒場,13,475,15995,2.969678,21,914,15084,6.059401,3.089723,9,"[13,14,15,16,17,18,19,20,21]",[],https://toho-vote.info/result13/result_list_questionnaire.php,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,花映塚～文花帖,5,680,8478,8.02076,21,54,15084,0.357995,-7.662765,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,萃夢想～花映塚,5,639,8478,7.537155,21,82,15084,0.543622,-6.993533,15,"[5,6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,蓮台野夜行～永夜抄体験版,3,340,2861,11.883957,4,205,2995,6.844741,-5.039216,2,"[3,4]",[],http://thwiki.info/th/vote3/result_anq.html,http://thwiki.info/th/vote4/result_anq.html
cognition,cognition_release_cohorts,,虹龍洞～バレットフィリア,19,970,15376,6.308533,21,1187,15084,7.869265,1.560732,3,"[19,20,21]",[],https://toho-vote.info/assets/questionnaire-CAQ3N1s_.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
