id,index,name,first,cname,imp,total,11,35,male,female,mratio,mtratio,fratio,ftratio,love1,love2,love3,love4
460,101,櫻花之戀塚　～ Flower of Japan,19,樱花之恋塚　～ Flower of Japan,（蓬莱人形）,118,75,20|12|86|0,75,43,63.56,1.63,36.44,3,16.950000000000003,10.17,72.88,0
328,102,リバースイデオロギー,12,Reverse Ideology,（天邪鬼）,117,84,32|5|80|0,84,33,71.78999999999999,1.82,28.21,2.3,27.35,4.2700000000000005,68.38,0
237,102,暮色蒼然,7,暮色苍然,,117,92,18|14|85|0,92,25,78.63,2,21.37,1.7399999999999998,15.379999999999999,11.97,72.65,0
118,104,メイドと血の懐中時計,11,女仆和血的怀表,（萃梦想）,115,80,18|7|90|0,80,35,69.57,1.7399999999999998,30.43,2.44,15.65,6.09,78.25999999999999,0
39,105,Tabula rasa ～ 空白少女,10,Tabula rasa ～ 空白少女,,114,70,22|7|85|0,70,44,61.4,1.52,38.6,3.0700000000000003,19.3,6.140000000000001,74.56,0
399,106,向こう側の月,13,月的另一侧,,113,75,24|11|78|0,75,38,66.36999999999999,1.63,33.629999999999995,2.65,21.240000000000002,9.73,69.03,0
180,107,エクステンドアッシュ　～ 蓬莱人,7,Extend Ash　～ 蓬莱人,,107,78,22|8|77|0,78,29,72.89999999999999,1.69,27.1,2.02,20.560000000000002,7.48,71.96000000000001,0
327,108,空中に沈む輝針城,3,沉向空中的辉针城,,106,68,45|1|60|0,68,38,64.14999999999999,1.48,35.85,2.65,42.449999999999996,0.9400000000000001,56.599999999999994,0
191,109,今昔幻想郷　～ Flower Land,10,今昔幻想乡　～ Flower Land,,105,71,15|9|81|0,71,34,67.62,1.54,32.379999999999995,2.37,14.29,8.57,77.14,0
131,109,ブクレシュティの人形師,9,布加勒斯特的人偶师,（萃梦想、绯想天）,105,73,23|12|70|0,73,32,69.52000000000001,1.58,30.48,2.23,21.9,11.43,66.67,0
249,111,死体旅行～Be of good cheer!,6,尸体旅行　～ Be of good cheer!,,104,82,21|9|74|0,82,22,78.85,1.78,21.15,1.54,20.19,8.649999999999999,71.15,0
201,112,東の国の眠らない夜,7,东之国的不眠夜,（大空魔术）,99,70,26|5|68|0,70,29,70.71,1.52,29.29,2.02,26.26,5.050000000000001,68.69,0
236,113,幼心地の有頂天,9,幼小的有顶天,,96,83,21|6|69|0,83,13,86.46000000000001,1.7999999999999998,13.54,0.91,21.88,6.25,71.88,0
130,114,ティアオイエツォン(withered leaf),7,凋叶棕（withered leaf）,,94,77,12|13|69|0,77,17,81.91000000000001,1.67,18.09,1.1900000000000002,12.770000000000001,13.83,73.4,0
167,115,幻視の夜　～ Ghostly Eyes,4,幻视之夜　～ Ghostly Eyes,（莲台野夜行）,92,73,20|6|66|0,73,19,79.35,1.58,20.65,1.3299999999999998,21.740000000000002,6.52,71.74000000000001,0
400,116,未知の花 魅知の旅,4,未知之花 魅知之旅,,88,64,21|7|60|0,64,24,72.72999999999999,1.39,27.27,1.67,23.86,7.95,68.17999999999999,0
66,117,アリスマエステラ,9,Alice Maestra,,87,57,26|8|53|0,57,30,65.52,1.24,34.48,2.09,29.89,9.2,60.919999999999995,0
72,117,幽夢 ～ Inanimate Dream,4,幽梦 ～ Inanimate Dream,,87,56,11|11|65|0,56,31,64.37,1.22,35.63,2.16,12.64,12.64,74.71,0
257,119,春の湊に,4,春之岸,,86,54,28|5|53|0,54,32,62.79,1.17,37.21,2.23,32.56,5.81,61.629999999999995,0
299,120,古きユアンシェン,7,古老的元神,（三月精）,84,48,27|5|52|0,48,36,57.14,1.04,42.86,2.5100000000000002,32.14,5.949999999999999,61.9,0
362,120,九月のパンプキン,3,九月的南瓜,,84,53,18|5|61|0,53,31,63.1,1.15,36.9,2.16,21.43,5.949999999999999,72.61999999999999,0
36,120,東方妖恋談,1,东方妖恋谈,（萃梦想、绯想天、非想天则）,84,65,14|11|59|0,65,19,77.38000000000001,1.41,22.62,1.3299999999999998,16.669999999999998,13.100000000000001,70.24000000000001,0
172,123,プレインエイジア,2,Plain Asia,,83,58,17|5|61|0,58,25,69.88,1.26,30.12,1.7399999999999998,20.48,6.02,73.49,0
449,124,魔女達の舞踏会　～ Magus,12,魔女们的舞会　～ Magus,（萃梦想）,82,46,15|7|60|0,46,36,56.10000000000001,1,43.9,2.5100000000000002,18.29,8.540000000000001,73.17,0
102,124,the Grimoire of Alice,7,the Grimoire of Alice,（非想天则）,82,58,14|9|59|0,58,24,70.73,1.26,29.270000000000003,1.67,17.07,10.979999999999999,71.95,0
137,126,アルティメットトゥルース,6,Ultimate Truth,,80,51,24|6|50|0,51,29,63.74999999999999,1.11,36.25,2.02,30,7.5,62.5,0
126,127,妖々夢 ～ Snow or Cherry Petal,4,妖妖梦 ～ Snow or Cherry Petal,,78,57,13|5|60|0,57,21,73.08,1.24,26.919999999999998,1.47,16.669999999999998,6.41,76.92,0
169,128,夜雀の歌声　～ Night Bird,4,夜雀的歌声　～ Night Bird,,76,57,17|9|50|0,57,19,75,1.24,25,1.3299999999999998,22.37,11.84,65.79,0
301,128,大神神話伝,3,大神神话传,（心绮楼、深秘录）,76,35,20|3|53|0,35,41,46.050000000000004,0.76,53.949999999999996,2.86,26.32,3.95,69.74000000000001,0
338,130,ロマンチック逃飛行,2,浪漫逃飞行,,73,56,21|2|50|0,56,17,76.71,1.22,23.29,1.1900000000000002,28.77,2.74,68.49,0
372,131,パンデモニックプラネット,4,Pandemonic Planet,,69,54,31|3|35|0,54,15,78.25999999999999,1.17,21.740000000000002,1.05,44.93,4.35,50.72,0
45,132,Strawberry Crisis!!,6,Strawberry Crisis!!,,66,46,14|7|45|0,46,20,69.69999999999999,1,30.3,1.4000000000000001,21.21,10.61,68.17999999999999,0
116,132,ヴワル魔法図書館,5,巴瓦鲁魔法图书馆,（萃梦想、非想天则）,66,49,7|6|53|0,49,17,74.24,1.06,25.759999999999998,1.1900000000000002,10.61,9.09,80.30000000000001,0
166,132,永夜抄　～ Eastern Night.,4,永夜抄　～ Eastern Night.,,66,48,9|4|53|0,48,18,72.72999999999999,1.04,27.27,1.26,13.639999999999999,6.0600000000000005,80.30000000000001,0
273,132,君はあの影を見たか,4,你见到了那个影子吗,,66,54,12|3|51|0,54,12,81.82000000000001,1.17,18.18,0.84,18.18,4.55,77.27000000000001,0
289,136,メイガスナイト,2,Magus Night,（三月精、心绮楼）,64,46,18|2|44|0,46,18,71.88,1,28.13,1.26,28.13,3.1300000000000003,68.75,0
170,137,もう歌しか聞こえない,6,只听见歌声,（花映塚）,63,46,15|5|43|0,46,17,73.02,1,26.979999999999997,1.1900000000000002,23.810000000000002,7.9399999999999995,68.25,0
196,138,花は幻想のままに,6,花如幻想一般,,61,35,11|4|46|0,35,26,57.379999999999995,0.76,42.620000000000005,1.81,18.029999999999998,6.5600000000000005,75.41,0
308,138,幻想郷の二ッ岩,3,幻想乡的二岩,（深秘录）,61,41,16|2|43|0,41,20,67.21000000000001,0.89,32.79,1.4000000000000001,26.229999999999997,3.2800000000000002,70.49,0
179,140,ヴォヤージュ1970,3,Voyage1970,,60,53,17|4|39|0,53,7,88.33,1.15,11.67,0.49,28.33,6.67,65,0
366,140,逆転するホイールオブフォーチュン,3,逆转的命运之轮,,60,40,21|1|38|0,40,20,66.67,0.8699999999999999,33.33,1.4000000000000001,35,1.67,63.33,0
11,140,いざ、倒れ逝くその時まで,2,来吧，直到倒地死去的那一刻,,60,47,17|5|38|0,47,13,78.33,1.02,21.67,0.91,28.33,8.33,63.33,0
323,143,満月の竹林,3,满月的竹林,,59,40,19|2|38|0,40,19,67.80000000000001,0.8699999999999999,32.2,1.3299999999999998,32.2,3.39,64.41,0
