id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,博丽灵梦,博麗霊夢,主角,2675,519,3194,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,19.4%,32.88%,6.56%,2223,451,83.1%,16.86%,31.69%,33.56%,
2,雾雨魔理沙,霧雨魔理沙,主角,2294,407,2701,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,17.74%,28.2%,5.15%,1887,406,82.26%,17.7%,26.9%,30.21%,
3,露米娅,ルーミア,东方红魔乡,356,50,406,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,14.04%,4.38%,0.63%,327,29,91.85%,8.15%,4.66%,2.16%,
4,大妖精,大妖精,东方红魔乡,233,15,248,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,6.44%,2.86%,0.19%,217,16,93.13%,6.87%,3.09%,1.19%,
5,琪露诺,チルノ,东方红魔乡,951,175,1126,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,18.4%,11.69%,2.21%,849,102,89.27%,10.73%,12.1%,7.59%,
6,红美铃,紅美鈴,东方红魔乡,619,63,682,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,10.18%,7.61%,0.8%,503,116,81.26%,18.74%,7.17%,8.63%,
7,小恶魔,小悪魔,东方红魔乡,169,14,183,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,8.28%,2.08%,0.18%,155,14,91.72%,8.28%,2.21%,1.04%,
8,帕秋莉·诺蕾姬,パチュリー·ノーレッジ,东方红魔乡,873,155,1028,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,17.75%,10.73%,1.96%,736,137,84.31%,15.69%,10.49%,10.19%,
9,十六夜咲夜,十六夜咲夜,东方红魔乡,1621,300,1921,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,18.51%,19.93%,3.79%,1370,250,84.52%,15.42%,19.53%,18.6%,
10,蕾米莉亚·斯卡蕾特,レミリア·スカーレット,东方红魔乡,1568,267,1835,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,17.03%,19.27%,3.38%,1360,207,86.73%,13.2%,19.39%,15.4%,
11,芙兰朵露·斯卡蕾特,フランドール·スカーレット,东方红魔乡,1289,269,1558,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,20.87%,15.85%,3.4%,1078,210,83.63%,16.29%,15.37%,15.63%,
12,冴月麟,さつき りん,东方红魔乡,142,14,156,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,9.86%,1.75%,0.18%,115,27,80.99%,19.01%,1.64%,2.01%,
13,蕾蒂·霍瓦特洛克,レティ·ホワイトロック,东方妖妖梦,61,7,68,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,11.48%,0.75%,0.09%,49,12,80.33%,19.67%,0.7%,0.89%,
14,橙,橙,东方妖妖梦,142,8,150,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,5.63%,1.75%,0.1%,124,18,87.32%,12.68%,1.77%,1.34%,
15,爱丽丝·玛格特洛依德,アリス·マーガトロイド,东方妖妖梦,1353,267,1620,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,19.73%,16.63%,3.38%,1132,221,83.67%,16.33%,16.14%,16.44%,
16,莉莉白,リリーホワイト,东方妖妖梦,212,23,235,<a href='./?m=info&type=chara&id=16' target='_blank'>点击查看详情</a>,10.85%,2.61%,0.29%,194,18,91.51%,8.49%,2.77%,1.34%,
17,露娜萨·普莉兹姆利巴,ルナサ·プリズムリバー,东方妖妖梦,47,1,48,<a href='./?m=info&type=chara&id=17' target='_blank'>点击查看详情</a>,2.13%,0.58%,0.01%,44,3,93.62%,6.38%,0.63%,0.22%,
18,梅露兰·普莉兹姆利巴,メルラン·プリズムリバー,东方妖妖梦,21,2,23,<a href='./?m=info&type=chara&id=18' target='_blank'>点击查看详情</a>,9.52%,0.26%,0.03%,18,3,85.71%,14.29%,0.26%,0.22%,
19,莉莉卡·普莉兹姆利巴,リリカ·プリズムリバー,东方妖妖梦,24,0,24,<a href='./?m=info&type=chara&id=19' target='_blank'>点击查看详情</a>,0%,0.3%,0%,21,3,87.5%,12.5%,0.3%,0.22%,
20,魂魄妖梦,魂魄妖夢,东方妖妖梦,1326,224,1550,<a href='./?m=info&type=chara&id=20' target='_blank'>点击查看详情</a>,16.89%,16.3%,2.83%,1185,140,89.37%,10.56%,16.89%,10.42%,
21,西行寺幽幽子,西行寺幽々子,东方妖妖梦,1341,301,1642,<a href='./?m=info&type=chara&id=21' target='_blank'>点击查看详情</a>,22.45%,16.48%,3.81%,1107,234,82.55%,17.45%,15.78%,17.41%,
22,八云蓝,八雲藍,东方妖妖梦,220,21,241,<a href='./?m=info&type=chara&id=22' target='_blank'>点击查看详情</a>,9.55%,2.7%,0.27%,183,37,83.18%,16.82%,2.61%,2.75%,
23,八云紫,八雲紫,东方妖妖梦,1375,230,1605,<a href='./?m=info&type=chara&id=23' target='_blank'>点击查看详情</a>,16.73%,16.9%,2.91%,1137,236,82.69%,17.16%,16.21%,17.56%,
24,魂魄妖忌,魂魄妖忌,东方妖妖梦,37,0,37,<a href='./?m=info&type=chara&id=24' target='_blank'>点击查看详情</a>,0%,0.45%,0%,35,2,94.59%,5.41%,0.5%,0.15%,
25,蕾拉·普莉兹姆利巴,レイラ·プリズムリバー,东方妖妖梦,21,2,23,<a href='./?m=info&type=chara&id=25' target='_blank'>点击查看详情</a>,9.52%,0.26%,0.03%,15,6,71.43%,28.57%,0.21%,0.45%,
26,伊吹萃香,伊吹萃香,东方萃梦想,767,96,863,<a href='./?m=info&type=chara&id=26' target='_blank'>点击查看详情</a>,12.52%,9.43%,1.21%,694,72,90.48%,9.39%,9.89%,5.36%,
27,莉格露·奈特巴格,リグル·ナイトバグ,东方永夜抄,61,14,75,<a href='./?m=info&type=chara&id=27' target='_blank'>点击查看详情</a>,22.95%,0.75%,0.18%,48,13,78.69%,21.31%,0.68%,0.97%,
28,米斯蒂娅·萝蕾拉,ミスティア·ローレライ,东方永夜抄,156,21,177,<a href='./?m=info&type=chara&id=28' target='_blank'>点击查看详情</a>,13.46%,1.92%,0.27%,141,15,90.38%,9.62%,2.01%,1.12%,
29,上白泽慧音,上白沢慧音,东方永夜抄,376,46,422,<a href='./?m=info&type=chara&id=29' target='_blank'>点击查看详情</a>,12.23%,4.62%,0.58%,264,112,70.21%,29.79%,3.76%,8.33%,
30,因幡天为（因幡帝）,因幡てゐ,东方永夜抄,180,19,199,<a href='./?m=info&type=chara&id=30' target='_blank'>点击查看详情</a>,10.56%,2.21%,0.24%,153,27,85%,15%,2.18%,2.01%,
31,铃仙·优昙华院·因幡,鈴仙·優曇華院·イナバ,东方永夜抄,967,150,1117,<a href='./?m=info&type=chara&id=31' target='_blank'>点击查看详情</a>,15.51%,11.89%,1.9%,864,103,89.35%,10.65%,12.32%,7.66%,
32,八意永琳,八意永琳,东方永夜抄,257,33,290,<a href='./?m=info&type=chara&id=32' target='_blank'>点击查看详情</a>,12.84%,3.16%,0.42%,185,72,71.98%,28.02%,2.64%,5.36%,
33,蓬莱山辉夜,蓬莱山輝夜,东方永夜抄,802,126,928,<a href='./?m=info&type=chara&id=33' target='_blank'>点击查看详情</a>,15.71%,9.86%,1.59%,634,168,79.05%,20.95%,9.04%,12.5%,
34,藤原妹红,藤原妹紅,东方永夜抄,1337,234,1571,<a href='./?m=info&type=chara&id=34' target='_blank'>点击查看详情</a>,17.5%,16.44%,2.96%,1034,303,77.34%,22.66%,14.74%,22.54%,
35,射命丸文,射命丸文,东方花映塚,1335,257,1592,<a href='./?m=info&type=chara&id=35' target='_blank'>点击查看详情</a>,19.25%,16.41%,3.25%,1148,187,85.99%,14.01%,16.36%,13.91%,
36,梅蒂欣·梅兰可莉,メディスン·メランコリー,东方花映塚,77,12,89,<a href='./?m=info&type=chara&id=36' target='_blank'>点击查看详情</a>,15.58%,0.95%,0.15%,55,22,71.43%,28.57%,0.78%,1.64%,
37,风见幽香,風見幽香,东方花映塚,671,128,799,<a href='./?m=info&type=chara&id=37' target='_blank'>点击查看详情</a>,19.08%,8.25%,1.62%,565,106,84.2%,15.8%,8.05%,7.89%,
38,小野塚小町,小野塚小町,东方花映塚,139,11,150,<a href='./?m=info&type=chara&id=38' target='_blank'>点击查看详情</a>,7.91%,1.71%,0.14%,108,31,77.7%,22.3%,1.54%,2.31%,
39,四季映姬·夜摩仙那度,四季映姫·ヤマザナドゥ,东方花映塚,609,90,699,<a href='./?m=info&type=chara&id=39' target='_blank'>点击查看详情</a>,14.78%,7.49%,1.14%,499,110,81.94%,18.06%,7.11%,8.18%,
40,秋静叶,秋静葉,东方风神录,97,8,105,<a href='./?m=info&type=chara&id=40' target='_blank'>点击查看详情</a>,8.25%,1.19%,0.1%,84,13,86.6%,13.4%,1.2%,0.97%,
