id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector0,vector3,ratio,vratio
1,1309,430,<a href='./?m=info&type=cp&id=001002000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,0,-,981,327,74.94%,24.98%,14.98%,21.83%,23.3%,21.01%,55.69%,-,32.85%,23.8%
2,492,152,<a href='./?m=info&type=cp&id=057077000' target='_blank'>点击查看详情</a>,1,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,77,<a href='./?m=info&type=chara&id=77' target='_blank'>秦心</a>,0,-,414,78,84.15%,15.85%,6.32%,5.21%,51.22%,2.44%,46.34%,-,30.89%,8.94%
3,733,255,<a href='./?m=info&type=cp&id=134135000' target='_blank'>点击查看详情</a>,1,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,135,<a href='./?m=info&type=chara&id=135' target='_blank'>玛艾露贝莉·赫恩（梅莉）</a>,0,-,553,180,75.44%,24.56%,8.45%,12.02%,27.69%,13.1%,59.21%,-,34.79%,13.32%
4,138,19,<a href='./?m=info&type=cp&id=136146000' target='_blank'>点击查看详情</a>,1,136,<a href='./?m=info&type=chara&id=136' target='_blank'>稗田阿求</a>,146,<a href='./?m=info&type=chara&id=146' target='_blank'>本居小铃</a>,0,-,120,18,86.96%,13.04%,1.83%,1.2%,17.39%,7.97%,74.64%,-,13.77%,2.51%
5,923,321,<a href='./?m=info&type=cp&id=021023000' target='_blank'>点击查看详情</a>,1,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,0,-,717,206,77.68%,22.32%,10.95%,13.75%,7.91%,32.18%,59.91%,-,34.78%,16.78%
6,436,120,<a href='./?m=info&type=cp&id=001023000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,0,-,326,110,74.77%,25.23%,4.98%,7.34%,5.73%,48.39%,45.87%,-,27.52%,7.93%
7,10,3,<a href='./?m=info&type=cp&id=076136146' target='_blank'>点击查看详情</a>,1,76,<a href='./?m=info&type=chara&id=76' target='_blank'>二岩猯藏</a>,136,<a href='./?m=info&type=chara&id=136' target='_blank'>稗田阿求</a>,146,<a href='./?m=info&type=chara&id=146' target='_blank'>本居小铃</a>,9,1,90%,10%,0.14%,0.07%,20%,20%,50%,10%,30%,0.18%
8,148,46,<a href='./?m=info&type=cp&id=009010011' target='_blank'>点击查看详情</a>,1,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,130,18,87.84%,12.16%,1.99%,1.2%,27.7%,25%,39.19%,8.11%,31.08%,2.69%
9,1,0,<a href='./?m=info&type=cp&id=066137193' target='_blank'>点击查看详情</a>,1,66,<a href='./?m=info&type=chara&id=66' target='_blank'>命莲</a>,137,<a href='./?m=info&type=chara&id=137' target='_blank'>森近霖之助</a>,193,<a href='./?m=info&type=chara&id=193' target='_blank'>长相酷似周杰伦的参拜客</a>,1,0,100%,0%,0.02%,0%,0%,0%,100%,0%,,0.02%
10,18,3,<a href='./?m=info&type=cp&id=001002137' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,137,<a href='./?m=info&type=chara&id=137' target='_blank'>森近霖之助</a>,17,1,94.44%,5.56%,0.26%,0.07%,0%,22.22%,61.11%,16.67%,16.67%,0.33%
11,4,0,<a href='./?m=info&type=cp&id=060061000' target='_blank'>点击查看详情</a>,1,60,<a href='./?m=info&type=chara&id=60' target='_blank'>云山</a>,61,<a href='./?m=info&type=chara&id=61' target='_blank'>云居一轮</a>,0,-,3,1,75%,25%,0.05%,0.07%,0%,0%,100%,-,,0.07%
12,403,112,<a href='./?m=info&type=cp&id=020021000' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,0,-,335,68,83.13%,16.87%,5.12%,4.54%,6.7%,60.79%,32.51%,-,27.79%,7.33%
13,192,34,<a href='./?m=info&type=cp&id=045046047' target='_blank'>点击查看详情</a>,1,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,46,<a href='./?m=info&type=chara&id=46' target='_blank'>八坂神奈子</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,160,32,83.33%,16.67%,2.44%,2.14%,11.98%,8.33%,73.44%,6.25%,17.71%,3.49%
