id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector3,vector0,ratio,vratio
17,1,0,<a href='./?m=info&type=cp&id=004013000' target='_blank'>点击查看详情</a>,1,4,<a href='./?m=info&type=chara&id=4' target='_blank'>大妖精</a>,13,<a href='./?m=info&type=chara&id=13' target='_blank'>蕾蒂·霍瓦特洛克</a>,0,-,1,0,100%,0%,0.01%,0%,0%,0%,-,100%,,0.01%
18,26,3,<a href='./?m=info&type=cp&id=005013000' target='_blank'>点击查看详情</a>,1,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,13,<a href='./?m=info&type=chara&id=13' target='_blank'>蕾蒂·霍瓦特洛克</a>,0,-,24,2,92.31%,7.69%,0.24%,0.12%,7.69%,19.23%,-,73.08%,11.54,0.31%
19,31,3,<a href='./?m=info&type=cp&id=082083000' target='_blank'>点击查看详情</a>,1,82,<a href='./?m=info&type=chara&id=82' target='_blank'>九十九弁弁</a>,83,<a href='./?m=info&type=chara&id=83' target='_blank'>九十九八桥</a>,0,-,23,8,74.19%,25.81%,0.23%,0.47%,6.45%,3.23%,-,90.32%,9.68,0.37%
20,1,0,<a href='./?m=info&type=cp&id=042057081' target='_blank'>点击查看详情</a>,1,42,<a href='./?m=info&type=chara&id=42' target='_blank'>键山雏</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,81,<a href='./?m=info&type=chara&id=81' target='_blank'>今泉影狼</a>,1,0,100%,0%,0.01%,0%,0%,0%,0%,100%,,0.01%
21,3,1,<a href='./?m=info&type=cp&id=013134000' target='_blank'>点击查看详情</a>,1,13,<a href='./?m=info&type=chara&id=13' target='_blank'>蕾蒂·霍瓦特洛克</a>,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,0,-,3,0,100%,0%,0.03%,0%,0%,0%,-,100%,33.33,0.04%
22,909,284,<a href='./?m=info&type=cp&id=054057000' target='_blank'>点击查看详情</a>,1,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,0,-,764,145,84.05%,15.95%,7.67%,8.44%,8.47%,32.78%,-,58.75%,31.24,10.98%
23,15,1,<a href='./?m=info&type=cp&id=178193000' target='_blank'>点击查看详情</a>,1,178,<a href='./?m=info&type=chara&id=178' target='_blank'>占卜师（易者）</a>,193,<a href='./?m=info&type=chara&id=193' target='_blank'>长相酷似周杰伦的参拜客</a>,0,-,12,3,80%,20%,0.12%,0.17%,26.67%,6.67%,-,66.67%,6.67,0.18%
24,14,2,<a href='./?m=info&type=cp&id=035045047' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,14,0,100%,0%,0.14%,0%,0%,0%,71.43%,28.57%,14.29,0.17%
25,269,76,<a href='./?m=info&type=cp&id=008015000' target='_blank'>点击查看详情</a>,1,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,209,60,77.7%,22.3%,2.1%,3.49%,9.29%,13.01%,-,77.7%,28.25,3.25%
26,160,43,<a href='./?m=info&type=cp&id=001015000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,114,46,71.25%,28.75%,1.15%,2.68%,16.25%,14.38%,-,69.38%,26.88,1.93%
27,218,52,<a href='./?m=info&type=cp&id=001045000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,0,-,194,24,88.99%,11.01%,1.95%,1.4%,22.02%,19.72%,-,58.26%,23.85,2.63%
28,525,114,<a href='./?m=info&type=cp&id=002008015' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,488,37,92.95%,7.05%,4.9%,2.15%,36.19%,0.57%,4.57%,58.67%,21.71,6.34%
29,210,37,<a href='./?m=info&type=cp&id=136146000' target='_blank'>点击查看详情</a>,1,136,<a href='./?m=info&type=chara&id=136' target='_blank'>稗田阿求</a>,146,<a href='./?m=info&type=chara&id=146' target='_blank'>本居小铃</a>,0,-,186,24,88.57%,11.43%,1.87%,1.4%,10%,8.57%,-,81.43%,17.62,2.54%
30,312,84,<a href='./?m=info&type=cp&id=096097000' target='_blank'>点击查看详情</a>,1,96,<a href='./?m=info&type=chara&id=96' target='_blank'>哆来咪·苏伊特</a>,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,0,-,234,78,75%,25%,2.35%,4.54%,30.77%,7.05%,-,62.18%,26.92,3.77%
31,948,317,<a href='./?m=info&type=cp&id=002015000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,792,156,83.54%,16.46%,7.96%,9.08%,39.35%,15.82%,-,44.83%,33.44,11.45%
32,893,275,<a href='./?m=info&type=cp&id=001023000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,0,-,724,169,81.08%,18.92%,7.27%,9.83%,6.05%,45.58%,-,48.38%,30.8,10.78%
