round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
6,chara,1,01,北京,545,178,146,32,32.66,34.11,27.59
6,chara,1,02,上海,609,177,136,41,29.06,29.37,28.08
6,chara,1,03,广东,1081,377,302,75,34.88,34.55,36.23
6,chara,1,04,天津,166,54,44,10,32.53,33.33,30.3
6,chara,1,05,重庆,236,74,62,12,31.36,32.98,25
6,chara,1,06,四川,494,174,133,41,35.22,33.76,41.41
6,chara,1,07,江苏,633,205,170,35,32.39,32.63,31.25
6,chara,1,08,浙江,477,153,124,29,32.08,32.8,29.9
6,chara,1,09,湖北,303,100,84,16,33,33.87,29.09
6,chara,1,10,湖南,196,73,58,15,37.24,37.91,34.88
6,chara,1,11,山东,383,120,107,13,31.33,32.52,24.07
6,chara,1,12,山西,88,31,27,4,35.23,36.99,26.67
6,chara,1,13,河北,150,60,51,9,40,38.64,50
6,chara,1,14,河南,199,74,66,8,37.19,38.15,30.77
6,chara,1,15,黑龙江,131,37,25,12,28.24,25,38.71
6,chara,1,16,吉林,81,24,23,1,29.63,31.51,12.5
6,chara,1,17,辽宁,165,42,34,8,25.45,25.56,25
6,chara,1,18,陕西,134,55,47,8,41.04,41.23,40
6,chara,1,19,内蒙古,48,9,6,3,18.75,15,37.5
6,chara,1,20,安徽,185,63,52,11,34.05,34.44,32.35
6,chara,1,21,福建,317,115,95,20,36.28,38,29.85
6,chara,1,22,江西,180,65,54,11,36.11,38.3,28.21
6,chara,1,23,广西,255,101,72,29,39.61,37.31,46.77
6,chara,1,24,海南,48,16,8,8,33.33,25.81,47.06
6,chara,1,25,贵州,83,31,23,8,37.35,35.38,44.44
6,chara,1,26,云南,57,20,15,5,35.09,31.91,50
6,chara,1,27,甘肃,19,8,6,2,42.11,40,50
6,chara,1,28,宁夏,9,4,1,3,44.44,25,60
6,chara,1,29,青海,6,1,,,16.67,,
6,chara,1,30,新疆,35,11,11,,31.43,37.93,
6,chara,1,31,西藏,2,1,1,,50,100,
6,chara,1,32,香港,67,15,9,6,22.39,18.37,33.33
6,chara,1,33,澳门,7,4,3,1,57.14,75,33.33
6,chara,1,34,台湾,91,23,17,6,25.27,22.97,35.29
6,chara,2,01,北京,545,148,119,29,27.16,27.8,25
6,chara,2,02,上海,609,154,107,47,25.29,23.11,32.19
6,chara,2,03,广东,1081,304,239,65,28.12,27.35,31.4
6,chara,2,04,天津,166,39,29,10,23.49,21.97,30.3
6,chara,2,05,重庆,236,62,48,14,26.27,25.53,29.17
6,chara,2,06,四川,494,132,99,33,26.72,25.13,33.33
6,chara,2,07,江苏,633,156,129,27,24.64,24.76,24.11
6,chara,2,08,浙江,477,118,92,26,24.74,24.34,26.8
6,chara,2,09,湖北,303,89,72,17,29.37,29.03,30.91
6,chara,2,10,湖南,196,59,45,14,30.1,29.41,32.56
6,chara,2,11,山东,383,101,89,12,26.37,27.05,22.22
6,chara,2,12,山西,88,17,15,2,19.32,20.55,13.33
6,chara,2,13,河北,150,43,33,10,28.67,25,55.56
6,chara,2,14,河南,199,42,36,6,21.11,20.81,23.08
6,chara,2,15,黑龙江,131,33,28,5,25.19,28,16.13
6,chara,2,16,吉林,81,22,19,3,27.16,26.03,37.5
6,chara,2,17,辽宁,165,38,29,9,23.03,21.8,28.13
6,chara,2,18,陕西,134,33,26,7,24.63,22.81,35
6,chara,2,19,内蒙古,48,10,8,2,20.83,20,25
6,chara,2,20,安徽,185,55,45,10,29.73,29.8,29.41
6,chara,2,21,福建,317,89,69,20,28.08,27.6,29.85
6,chara,2,22,江西,180,51,40,11,28.33,28.37,28.21
6,chara,2,23,广西,255,66,52,14,25.88,26.94,22.58
6,chara,2,24,海南,48,16,8,8,33.33,25.81,47.06
6,chara,2,25,贵州,83,19,12,7,22.89,18.46,38.89
6,chara,2,26,云南,57,15,13,2,26.32,27.66,20
6,chara,2,27,甘肃,19,6,6,,31.58,40,
6,chara,2,28,宁夏,9,4,2,2,44.44,50,40
6,chara,2,29,青海,6,2,1,1,33.33,25,50
6,chara,2,30,新疆,35,6,6,,17.14,20.69,
6,chara,2,31,西藏,2,,,,,,
6,chara,2,32,香港,67,14,7,7,20.9,14.29,38.89
6,chara,2,33,澳门,7,3,2,1,42.86,50,33.33
6,chara,2,34,台湾,91,21,17,4,23.08,22.97,23.53
6,chara,3,01,北京,545,17,16,1,3.12,3.74,0.86
6,chara,3,02,上海,609,32,25,7,5.25,5.4,4.79
6,chara,3,03,广东,1081,58,50,8,5.37,5.72,3.86
6,chara,3,04,天津,166,13,11,2,7.83,8.33,6.06
6,chara,3,05,重庆,236,12,10,2,5.08,5.32,4.17
6,chara,3,06,四川,494,17,15,2,3.44,3.81,2.02
6,chara,3,07,江苏,633,20,16,4,3.16,3.07,3.57
6,chara,3,08,浙江,477,27,22,5,5.66,5.82,5.15
6,chara,3,09,湖北,303,13,13,,4.29,5.24,
6,chara,3,10,湖南,196,6,6,,3.06,3.92,
6,chara,3,11,山东,383,13,12,1,3.39,3.65,1.85
6,chara,3,12,山西,88,2,2,,2.27,2.74,
6,chara,3,13,河北,150,11,10,1,7.33,7.58,5.56
6,chara,3,14,河南,199,9,8,1,4.52,4.62,3.85
6,chara,3,15,黑龙江,131,3,3,,2.29,3,
6,chara,3,16,吉林,81,9,7,2,11.11,9.59,25
6,chara,3,17,辽宁,165,9,8,1,5.45,6.02,3.13
6,chara,3,18,陕西,134,6,5,1,4.48,4.39,5
6,chara,3,19,内蒙古,48,4,3,1,8.33,7.5,12.5
6,chara,3,20,安徽,185,17,14,3,9.19,9.27,8.82
6,chara,3,21,福建,317,15,12,3,4.73,4.8,4.48
6,chara,3,22,江西,180,9,8,1,5,5.67,2.56
6,chara,3,23,广西,255,17,14,3,6.67,7.25,4.84
6,chara,3,24,海南,48,1,1,,2.08,3.23,
6,chara,3,25,贵州,83,4,4,,4.82,6.15,
6,chara,3,26,云南,57,6,6,,10.53,12.77,
6,chara,3,27,甘肃,19,1,1,,5.26,6.67,
6,chara,3,28,宁夏,9,,,,,,
6,chara,3,29,青海,6,,,,,,
6,chara,3,30,新疆,35,,,,,,
