round,category,id,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
6,chara,1,,0,3,您正式接触东方Project多久,0,0,不到一个月,17,16,1,17,0.22,0.26,0.07,7759,6218,1538,3
6,chara,1,,0,3,您正式接触东方Project多久,0,1,半年以内,151,122,29,151,1.95,1.96,1.89,7759,6218,1538,3
6,chara,1,,0,3,您正式接触东方Project多久,0,2,半年到一年（2016年下半年或之后）,439,357,82,439,5.66,5.74,5.33,7759,6218,1538,3
6,chara,1,,0,3,您正式接触东方Project多久,0,3,一年到三年（2014年或之后）,1089,894,195,1089,14.04,14.38,12.68,7759,6218,1538,3
6,chara,1,,0,3,您正式接触东方Project多久,0,4,三年到五年（2012年或之后）,573,462,111,573,7.38,7.43,7.22,7759,6218,1538,3
6,chara,1,,0,3,您正式接触东方Project多久,0,5,五年到七年（2010年或之后）,221,159,62,221,2.85,2.56,4.03,7759,6218,1538,3
6,chara,1,,0,3,您正式接触东方Project多久,0,6,七年到十年（2007年或之后）,72,55,17,72,0.93,0.88,1.11,7759,6218,1538,3
6,chara,1,,0,3,您正式接触东方Project多久,0,7,十年以上,18,14,4,18,0.23,0.23,0.26,7759,6218,1538,3
6,chara,1,,1,5,原作和二次同人您更热衷于,0,0,原作,414,354,60,414,5.35,5.71,3.92,7734,6202,1529,3
6,chara,1,,1,5,原作和二次同人您更热衷于,0,1,二次同人,180,140,40,180,2.33,2.26,2.62,7734,6202,1529,3
6,chara,1,,1,5,原作和二次同人您更热衷于,0,2,都很喜欢,1966,1570,396,1966,25.42,25.31,25.9,7734,6202,1529,3
6,chara,1,,1,5,原作和二次同人您更热衷于,0,3,都没兴趣,9,8,1,9,0.12,0.13,0.07,7734,6202,1529,3
6,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,1084,855,229,1084,13.99,13.77,14.89,7749,6208,1538,3
6,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,330,287,43,330,4.26,4.62,2.8,7749,6208,1538,3
6,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,1101,888,213,1101,14.21,14.3,13.85,7749,6208,1538,3
6,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,64,48,16,64,0.83,0.77,1.04,7749,6208,1538,3
6,chara,1,,3,1,您是否玩过旧五作,0,0,玩过,790,623,167,790,10.48,10.3,11.23,7540,6051,1487,2
6,chara,1,,3,1,您是否玩过旧五作,0,1,并未玩过,1714,1399,315,1714,22.73,23.12,21.18,7540,6051,1487,2
6,chara,1,,3,1,您是否玩过旧五作,0,2,不知道旧五作是什么,11,8,3,11,0.15,0.13,0.2,7540,6051,1487,2
6,chara,1,,4,3,您最喜欢东方原作的哪方面,1,0,游戏本身,1684,1347,337,1684,21.9,21.83,22.2,7691,6170,1518,3
6,chara,1,,4,3,您最喜欢东方原作的哪方面,1,1,音乐曲目,2358,1906,452,2358,30.66,30.89,29.78,7691,6170,1518,3
6,chara,1,,4,3,您最喜欢东方原作的哪方面,1,2,人物设定,2349,1886,463,2349,30.54,30.57,30.5,7691,6170,1518,3
6,chara,1,,4,3,您最喜欢东方原作的哪方面,1,3,故事剧情,1961,1556,405,1961,25.5,25.22,26.68,7691,6170,1518,3
6,chara,1,,4,3,您最喜欢东方原作的哪方面,1,4,对原作完全不感兴趣,9,8,1,9,0.12,0.13,0.07,7691,6170,1518,3
6,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,0,东方铃奈庵（月刊 已完结）,1486,1185,301,1486,19.23,19.14,19.65,7727,6192,1532,3
6,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,1,东方茨歌仙（双月刊）,1283,1022,261,1283,16.6,16.51,17.04,7727,6192,1532,3
6,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,2,新东方三月精（季刊）,956,792,164,956,12.37,12.79,10.7,7727,6192,1532,3
6,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,3,新东方香霖堂（半年刊）,784,654,130,784,10.15,10.56,8.49,7727,6192,1532,3
6,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,4,都不关注,621,516,105,621,8.04,8.33,6.85,7727,6192,1532,3
