character,first_appearance_work,cn11_official_rank,jp20_official_rank,rank_gap_cn_minus_jp,cn11_male_character_marks,cn11_female_character_marks,cn11_female_share_known_binary_marks,female_relative_preference_ratio,literal_neutral_tag_hit,presentation_proxy_hit,expanded_proxy_hit,cn11_raw_vote_baseline_rank_within_comparable_roster,cn11_raw_vote_reweighted_rank_at_jp20_binary_female_share,reweighted_rank_change_negative_is_improvement,matched_tags
芙兰朵露·斯卡蕾特,6,4,3,1,2720,420,0.1337579617834395,0.8956610045964266,False,False,False,4,4,0,"['LED灯翅膀', '万年萝莉', '傲娇', '半马尾', '吸血鬼', '哥特萝莉装', '嗜杀', '大小姐', '大蝴蝶结', '妹妹', '宅女', '幼儿体型', '恶魔', '手环', '有袜无鞋', '泡泡袖', '玛丽珍鞋', '病娇', '白色短袜', '腹黑', '荷叶边帽子', '虎牙', '贫乳', '鬼畜', '魔法少女']"
苏我屠自古,13,118,86,32,49,40,0.449438202247191,4.735078586010262,False,False,False,102,95,-7,"['亡灵', '人妻', '傲娇', '冠帽', '电能力', '真空', '短发', '连衣裙']"
若鹭姬,14,114,104,10,84,17,0.16831683168316833,1.1739048994483778,False,False,False,100,101,1,"['不穿内裤', '人鱼', '可食用', '和服', '多螺旋', '巨乳', '短发', '鳍型耳朵']"
茨木华扇,14.5,49,46,3,443,55,0.11044176706827309,0.7201488030077685,False,False,False,45,46,1,"['中长发', '双丸子头', '吃货', '巨乳', '御姐', '断肢', '泡泡袖', '温柔', '类旗袍服饰', '绷带', '胸花', '角', '认真', '说教', '锁链', '露腋', '食人']"
莉格露·奈特巴格,8,110,71,39,92,16,0.14814814814814814,1.0087776118021865,False,True,True,96,96,0,"['伪郎', '正莉', '灯笼裤', '短发', '笨蛋', '翅膀/披风', '萤火虫', '蟑螂', '触角']"
莉莉卡·普莉兹姆利巴,7,136,125,11,40,7,0.14893617021276595,1.0150824718759501,False,False,False,112,113,1,"['三人娘', '妹妹', '姐姐', '狡猾', '电子琴', '短发', '腹黑', '音乐人']"
莉莉霍瓦特（莉莉白）,7,37,79,-42,637,56,0.08080808080808081,0.5099315400318745,False,False,False,34,37,3,"['万年萝莉', '天真无邪', '妖精', '披肩', '蝉翼型翅膀', '金发碧眼', '长发']"
菅牧典,18,67,61,6,267,46,0.14696485623003194,0.9993321285456117,False,False,False,61,64,3,"['兽耳', '刘海尾', '尾巴', '屑女人', '搞事', '有袜无鞋', '狐娘', '狐狸手势', '畜生', '腹黑', '试管', '足袋', '连衫裤']"
蓬莱山辉夜,8,20,30,-10,984,198,0.16751269035532995,1.1671679990211274,False,False,False,20,21,1,"['NEET', '公主', '大和抚子', '姬发式', '有蕾丝的和服', '腹黑', '蓬莱人', '隐者', '领结', '黑长直']"
蕾拉·普莉兹姆利巴,7,154,160,-6,20,5,0.2,1.4501178169656428,False,False,False,118,119,1,"['妹妹', '未登场角色']"
蕾米莉亚·斯卡蕾特,6,6,7,-1,2427,333,0.12065217391304348,0.795861941573233,False,False,False,6,6,0,"['万年萝莉', '傲娇', '吸血鬼', '哥特萝莉装', '大小姐', '姐姐', '威严崩坏', '尾巴', '幼儿体型', '恶魔', '抱头蹲防', '有袜无鞋', '泡泡袖', '玛丽珍鞋', '白色短袜', '短发', '翅膀', '腹黑', '荷叶边帽子', '虎牙', '蝴蝶结', '贫乳', '贵族']"
蕾蒂·霍瓦特洛克,7,112,91,21,88,14,0.13725490196078433,0.9228022471599545,False,False,False,98,102,4,"['冰能力', '巨乳', '披风', '有袜无鞋', '灯笼裤', '短发', '胸针', '长靴', '雪女']"
藤原妹红,8,15,9,6,1447,342,0.1911682504192286,1.3709475975183136,False,False,False,15,13,-2,"['不死之身', '不良少女', '傲娇', '大小姐', '大蝴蝶结', '姬发式', '强气', '火能力', '灯笼裤', '白发红瞳', '背带裤', '蓬莱人', '超长发', '黑化']"
西行寺幽幽子,7,12,11,1,1618,283,0.14886901630720673,1.014544727320833,False,False,False,12,12,0,"['亡灵', '卷发', '吃货', '大小姐', '大胃王', '天然呆', '巨乳', '御姐', '扇子', '短发', '统帅', '腹黑', '荷叶边帽子', '装嫩', '长裙']"
豪德寺三花,18,100,124,-24,109,32,0.22695035460992907,1.7028906474458927,False,False,False,90,88,-2,"['不悯', '挑染', '猫娘', '猫尾', '猫耳', '短发', '裸足', '超短裙', '铃铛', '项圈']"
豫母都日狭美,19,64,81,-17,254,83,0.24629080118694363,1.8954295875298954,False,False,False,58,56,-2,"['向导二设：吃货', '头花', '头饰', '姬发式', '尾气', '御姐', '抖M', '旗袍', '痴女', '覆面', '跟踪狂', '长手套', '靴子']"
赤蛮奇,14,59,64,-5,322,46,0.125,0.8286387525517961,False,False,False,54,55,1,"['中二', '多头', '大蝴蝶结', '孤僻', '披风', '掉头', '皮靴', '短发']"
