session,character_count,work13_male_character_marks,work13_female_character_marks,work13_female_share_known_binary_marks,all_male_character_marks_raw_roster,all_female_character_marks_raw_roster,all_female_share_known_binary_marks,female_relative_preference_ratio
5,7,750,458,0.3791390728476821,36045,8638,0.19331736902177563,2.5482148645519795
6,7,795,541,0.40494011976047906,38025,9702,0.20328116160663776,2.667092566014399
7,7,751,438,0.368376787216148,36328,8053,0.18145152204772313,2.6309825237363054
8,7,905,447,0.3306213017751479,44347,8909,0.16728631515697762,2.4586359687174615
9,7,1315,567,0.3012752391073326,62423,11014,0.14997889347331728,2.443750539410263
10,7,2415,927,0.27737881508078993,137544,24841,0.15297595221233487,2.1253730746179245
11,7,1401,490,0.2591221575885775,76311,13156,0.14704863245666,2.0287158609940477
