original_page,original_name_jp,original_name_cn,cn_vote_round,cn_vote_period_label,vote_window_status,vote_start_date,vote_end_date,release_window_start_date,release_window_end_date,release_window_start_inclusive,release_window_end_inclusive,arrangement_count,arrangement_cumulative_count,undated_arrangement_count,source_page_url,source_frontend_url,vote_calendar_source_url,observed_at_utc
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,3,第3届,end_to_end,2014-08-22,2014-08-28,2013-10-07,2014-08-28,False,True,26,143,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v3/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,4,第4届,end_to_end,2015-10-01,2015-10-15,2014-08-28,2015-10-15,False,True,31,174,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v4/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,5,第5届,end_to_end,2016-10-01,2016-10-16,2015-10-15,2016-10-16,False,True,35,209,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v5/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,6,第6届,end_to_end,2017-10-01,2017-10-15,2016-10-16,2017-10-15,False,True,22,231,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v6/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,7,第7届,end_to_end,2018-09-30,2018-10-15,2017-10-15,2018-10-15,False,True,28,259,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v7/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,8,第8届,end_to_end,2019-09-30,2019-10-15,2018-10-15,2019-10-15,False,True,16,275,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v8/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,9,第9届,end_to_end,2020-12-18,2020-12-31,2019-10-15,2020-12-31,False,True,22,297,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v9/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,10,第10届,end_to_end,2022-06-17,2022-07-04,2020-12-31,2022-07-04,False,True,18,315,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v10/,2026-09-04T07:18:56+00:00
在美妙的墓地里住下吧,素敵な墓場で暮しましょ,在美妙的墓地里住下吧,11,第11届,end_to_end,2023-12-29,2024-01-15,2022-07-04,2024-01-15,False,True,16,331,1,https://thwiki.cc/%E5%9C%A8%E7%BE%8E%E5%A6%99%E7%9A%84%E5%A2%93%E5%9C%B0%E9%87%8C%E4%BD%8F%E4%B8%8B%E5%90%A7,https://cd.thwiki.cc/,https://touhou.vote/v11/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,2,第2届,end_to_end,2013-10-01,2013-10-07,2012-07-30,2013-10-07,False,True,5,21,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v2/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,3,第3届,end_to_end,2014-08-22,2014-08-28,2013-10-07,2014-08-28,False,True,3,24,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v3/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,4,第4届,end_to_end,2015-10-01,2015-10-15,2014-08-28,2015-10-15,False,True,6,30,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v4/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,5,第5届,end_to_end,2016-10-01,2016-10-16,2015-10-15,2016-10-16,False,True,1,31,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v5/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,6,第6届,end_to_end,2017-10-01,2017-10-15,2016-10-16,2017-10-15,False,True,4,35,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v6/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,7,第7届,end_to_end,2018-09-30,2018-10-15,2017-10-15,2018-10-15,False,True,4,39,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v7/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,8,第8届,end_to_end,2019-09-30,2019-10-15,2018-10-15,2019-10-15,False,True,6,45,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v8/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,9,第9届,end_to_end,2020-12-18,2020-12-31,2019-10-15,2020-12-31,False,True,5,50,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v9/,2026-09-04T07:18:56+00:00
地之色乃黄色,地の色は黄色,地之色乃黄色,10,第10届,end_to_end,2022-06-17,2022-07-04,2020-12-31,2022-07-04,False,True,0,50,0,https://thwiki.cc/%E5%9C%B0%E4%B9%8B%E8%89%B2%E4%B9%83%E9%BB%84%E8%89%B2,https://cd.thwiki.cc/,https://touhou.vote/v10/,2026-09-04T07:18:56+00:00
