original_page,original_name_jp,original_name_cn,first_release_work,first_release_date,first_release_date_raw,arrangement_count,vocal_count,arrange_count,dated_arrangement_count,undated_arrangement_count,timeline_available,source_page_url,source_frontend_url,count_basis,observed_at_utc
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,卯酉东海道,2006-05-21,1/2006/5/21,228,69,159,227,1,True,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
A Sacred Lot,A Sacred Lot,A Sacred Lot,东方灵异传,1996-11-03,1/1996/11/3,78,13,65,77,1,True,https://thwiki.cc/A_Sacred_Lot,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Alice Maestra,アリスマエステラ,Alice Maestra,东方幻想乡,1998-08-14,1/1998/8/14,276,79,197,272,4,True,https://thwiki.cc/Alice_Maestra,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
AN ORDEAL FROM GOD,AN ORDEAL FROM GOD,AN ORDEAL FROM GOD,神魔讨绮传,2008-05-25,1/2008/5/25,19,3,16,19,0,True,https://thwiki.cc/AN_ORDEAL_FROM_GOD,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Antique Terror,アンティークテラー,Antique Terror,秋霜玉,2000-12-30,1/2000/12/30,14,0,14,13,1,True,https://thwiki.cc/Antique_Terror,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Arcadian Dream,Arcadian Dream,Arcadian Dream,东方幻想乡,1998-08-14,1/1998/8/14,33,5,28,33,0,True,https://thwiki.cc/Arcadian_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Bad Apple!!,Bad Apple!!,Bad Apple!!,东方幻想乡体验版,1998-07-02,1/1998/7/2,829,240,589,823,6,True,https://thwiki.cc/Bad_Apple!!,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Banditry Technology,バンデットリィテクノロジー,Banditry Technology,东方虹龙洞体验版,2021-03-21,1/2021/3/21,99,24,75,99,0,True,https://thwiki.cc/Banditry_Technology,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Bar·Old Adam,バー・オールドアダム,Bar·Old Adam,旧约酒馆,2016-08-13,1/2016/8/13,152,52,100,151,1,True,https://thwiki.cc/Bar%C2%B7Old_Adam,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Beast Metropolis,ビーストメトロポリス,Beast Metropolis,东方鬼形兽,2019-08-12,1/2019/8/12,153,36,117,153,0,True,https://thwiki.cc/Beast_Metropolis,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Border Land,Border Land,Border Land,东方怪绮谈,1998-12-30,1/1998/12/30,26,7,19,26,0,True,https://thwiki.cc/Border_Land,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Border of Life,ボーダーオブライフ,Border of Life,东方妖妖梦,2003-08-17,1/2003/8/17,394,91,303,390,4,True,https://thwiki.cc/Border_of_Life,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Break the Sabbath,Break the Sabbath,Break the Sabbath,东方幻想乡,1998-08-14,1/1998/8/14,40,5,35,40,0,True,https://thwiki.cc/Break_the_Sabbath,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Captain Murasa,キャプテン・ムラサ,Captain Murasa,东方星莲船,2009-08-15,1/2009/8/15,861,329,532,858,3,True,https://thwiki.cc/Captain_Murasa,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Castle Explorer -in the Sky-,Castle Explorer -in the Sky-,Castle Explorer -in the Sky-,稀翁玉,2001-12-30,1/2001/12/30,8,0,8,8,0,True,https://thwiki.cc/Castle_Explorer_-in_the_Sky-,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Complete Darkness,Complete Darkness,Complete Darkness,东方封魔录,1997-08-15,1/1997/8/15,290,61,229,287,3,True,https://thwiki.cc/Complete_Darkness,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Crazy Back Dancers,クレイジーバックダンサーズ,Crazy Back Dancers,东方天空璋,2017-08-11,1/2017/8/11,354,104,250,354,0,True,https://thwiki.cc/Crazy_Back_Dancers,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Crescent Dream,Crescent Dream,Crescent Dream,东方怪绮谈,1998-12-30,1/1998/12/30,41,0,41,41,0,True,https://thwiki.cc/Crescent_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Crystallize Silver,クリスタライズシルバー,Crystallize Silver,东方妖妖梦体验版,2002-12-30,1/2002/12/30,868,266,602,866,2,True,https://thwiki.cc/Crystallize_Silver,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Days,Days,Days,东方幻想乡,1998-08-14,1/1998/8/14,37,12,25,37,0,True,https://thwiki.cc/Days,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Demystify Feast,Demystify Feast,Demystify Feast,东方萃梦想,2004-12-30,1/2004/12/30,379,77,302,378,1,True,https://thwiki.cc/Demystify_Feast,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Desire Dream,デザイアドリーム,Desire Dream,东方神灵庙,2011-08-13,1/2011/8/13,116,29,87,116,0,True,https://thwiki.cc/Desire_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Desire Drive,デザイアドライブ,Desire Drive,东方神灵庙,2011-08-13,1/2011/8/13,1916,602,1314,1913,3,True,https://thwiki.cc/Desire_Drive,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dim. Dream,Dim. Dream,Dim. Dream,东方梦时空,1997-12-29,1/1997/12/29,212,71,141,211,1,True,https://thwiki.cc/Dim._Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Disastrous Gemini,ディザストラスジェミニ,Disastrous Gemini,秋霜玉体验版,2000-08-12,1/2000/8/12,25,0,25,25,0,True,https://thwiki.cc/Disastrous_Gemini,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dr. Latency的令人不眠之瞳,Dr.レイテンシーの眠れなくなる瞳,Dr. Latency的令人不眠之瞳,燕石博物志,2016-05-08,1/2016/5/8,125,43,82,125,0,True,https://thwiki.cc/Dr._Latency%E7%9A%84%E4%BB%A4%E4%BA%BA%E4%B8%8D%E7%9C%A0%E4%B9%8B%E7%9E%B3,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dream Express,Dream Express,Dream Express,东方怪绮谈,1998-12-30,1/1998/12/30,83,18,65,82,1,True,https://thwiki.cc/Dream_Express,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dream Land,Dream Land,Dream Land,东方幻想乡,1998-08-14,1/1998/8/14,105,34,71,105,0,True,https://thwiki.cc/Dream_Land,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Dreamy pilot,Dreamy pilot,Dreamy pilot,东方怪绮谈,1998-12-30,1/1998/12/30,44,8,36,44,0,True,https://thwiki.cc/Dreamy_pilot,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Electric Heritage,エレクトリックヘリテージ,Electric Heritage,东方鬼形兽,2019-08-12,1/2019/8/12,97,22,75,97,0,True,https://thwiki.cc/Electric_Heritage,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
End of Daylight,End of Daylight,End of Daylight,东方封魔录,1997-08-15,1/1997/8/15,87,19,68,87,0,True,https://thwiki.cc/End_of_Daylight,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Endless,Endless,Endless,东方怪绮谈,1998-12-30,1/1998/12/30,26,5,21,26,0,True,https://thwiki.cc/Endless,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Eternal Dream ～ 幽玄的枫树,Eternal Dream　～ 幽玄の槭樹,Eternal Dream　～ 幽玄的枫树,东方永夜抄,2004-08-15,1/2004/8/15,413,77,336,413,0,True,https://thwiki.cc/Eternal_Dream_%EF%BD%9E_%E5%B9%BD%E7%8E%84%E7%9A%84%E6%9E%AB%E6%A0%91,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Extend Ash ～ 蓬莱人,エクステンドアッシュ　～ 蓬莱人,Extend Ash　～ 蓬莱人,东方永夜抄,2004-08-15,1/2004/8/15,1028,411,617,1027,1,True,https://thwiki.cc/Extend_Ash_%EF%BD%9E_%E8%93%AC%E8%8E%B1%E4%BA%BA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Extra Love,エキストララブ,Extra Love,东方封魔录,1997-08-15,1/1997/8/15,39,7,32,39,0,True,https://thwiki.cc/Extra_Love,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Fall of Fall ～ 秋意渐浓之瀑,フォールオブフォール　～ 秋めく滝,Fall of Fall　～ 秋意渐浓之瀑,东方风神录,2007-08-17,1/2007/8/17,1554,530,1024,1546,8,True,https://thwiki.cc/Fall_of_Fall_%EF%BD%9E_%E7%A7%8B%E6%84%8F%E6%B8%90%E6%B5%93%E4%B9%8B%E7%80%91,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
False Strawberry,フォルスストロベリー,False Strawberry,秋霜玉体验版,2000-08-12,1/2000/8/12,47,5,42,47,0,True,https://thwiki.cc/False_Strawberry,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Fantastic Drift,ファンタスティックドリフト,Fantastic Drift,东方锦上京,2025-08-17,1/2025/8/17,22,2,20,22,0,True,https://thwiki.cc/Fantastic_Drift,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Flowering Night,フラワリングナイト,Flowering Night,东方花映塚,2005-08-14,1/2005/8/14,1798,525,1273,1791,7,True,https://thwiki.cc/Flowering_Night,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Four-Color Labyrinth,フォーカラーラビリンス,Four-Color Labyrinth,东方锦上京,2025-08-17,1/2025/8/17,22,4,18,22,0,True,https://thwiki.cc/Four-Color_Labyrinth,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Frontal Attack,Frontal Attack,Frontal Attack,秋霜玉'99,1999-11-05,1/1999/11/5,3,0,3,3,0,True,https://thwiki.cc/Frontal_Attack,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
G Free,G Free,G Free,大空魔术,2006-08-13,1/2006/8/13,427,154,273,426,1,True,https://thwiki.cc/G_Free,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Game Over,ゲームオーバー,Game Over,东方梦时空,1997-12-29,1/1997/12/29,27,0,27,25,2,True,https://thwiki.cc/Game_Over,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Ghost Lead,ゴーストリード,Ghost Lead,东方神灵庙体验版,2011-05-08,1/2011/5/8,369,150,219,368,1,True,https://thwiki.cc/Ghost_Lead,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Heartfelt Fancy,ハートフェルトファンシー,Heartfelt Fancy,东方地灵殿,2008-08-16,1/2008/8/16,854,276,578,848,6,True,https://thwiki.cc/Heartfelt_Fancy,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Herselves,ハーセルヴズ,Herselves,秋霜玉,2000-12-30,1/2000/12/30,32,4,28,31,1,True,https://thwiki.cc/Herselves,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Highly Responsive to Prayers,Highly Responsive to Prayers,Highly Responsive to Prayers,东方灵异传,1996-11-03,1/1996/11/3,28,8,20,28,0,True,https://thwiki.cc/Highly_Responsive_to_Prayers,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Incomplete Plot,Incomplete Plot,Incomplete Plot,东方怪绮谈,1998-12-30,1/1998/12/30,13,0,13,13,0,True,https://thwiki.cc/Incomplete_Plot,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Init,Init,Init,东方幻想乡,1998-08-14,1/1998/8/14,5,0,5,5,0,True,https://thwiki.cc/Init,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Into Backdoor,イントゥ・バックドア,Into Backdoor,东方天空璋,2017-08-11,1/2017/8/11,71,7,64,71,0,True,https://thwiki.cc/Into_Backdoor,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Inventive City,Inventive City,Inventive City,秋霜玉'99,1999-11-05,1/1999/11/5,9,0,9,9,0,True,https://thwiki.cc/Inventive_City,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Japanese Saga,ジャパニーズサーガ,Japanese Saga,东方求闻史纪,2006-12-27,1/2006/12/27,197,76,121,196,1,True,https://thwiki.cc/Japanese_Saga,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Jelly Stone,ジェリーストーン,Jelly Stone,东方鬼形兽体验版,2019-05-05,1/2019/5/5,234,76,158,234,0,True,https://thwiki.cc/Jelly_Stone,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Last Occultism ～ 现世的秘术师,ラストオカルティズム　～ 現し世の秘術師,Last Occultism　～ 现世的秘术师,东方深秘录,2015-05-10,1/2015/5/10,344,91,253,344,0,True,https://thwiki.cc/Last_Occultism_%EF%BD%9E_%E7%8E%B0%E4%B8%96%E7%9A%84%E7%A7%98%E6%9C%AF%E5%B8%88,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Last Remote,ラストリモート,Last Remote,东方地灵殿,2008-08-16,1/2008/8/16,1602,611,991,1599,3,True,https://thwiki.cc/Last_Remote,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lastword发动,ラストワード発動,Lastword发动,东方心绮楼正式版ver1.20,2013-08-09,1/2013/8/9,1,0,1,1,0,True,https://thwiki.cc/Lastword%E5%8F%91%E5%8A%A8,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Locked Girl ～ 少女密室,ラクトガール　～ 少女密室,Locked Girl　～ 少女密室,东方红魔乡,2002-08-11,1/2002/8/11,2496,899,1597,2487,9,True,https://thwiki.cc/Locked_Girl_%EF%BD%9E_%E5%B0%91%E5%A5%B3%E5%AF%86%E5%AE%A4,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Loose Rain,ルーズレイン,Loose Rain,妖精大战争,2010-08-14,1/2010/8/14,160,39,121,160,0,True,https://thwiki.cc/Loose_Rain,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lost River,ロストリバー,Lost River,东方鬼形兽体验版,2019-05-05,1/2019/5/5,53,14,39,53,0,True,https://thwiki.cc/Lost_River,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lotus Love,Lotus Love,Lotus Love,东方幻想乡,1998-08-14,1/1998/8/14,126,57,69,125,1,True,https://thwiki.cc/Lotus_Love,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lotus Road,Lotus Road,Lotus Road,东方怪绮谈,1998-12-30,1/1998/12/30,27,2,25,27,0,True,https://thwiki.cc/Lotus_Road,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lucid Dreamer,ルーシッドドリーマー,Lucid Dreamer,秘封噩梦日记,2018-08-10,1/2018/8/10,33,7,26,33,0,True,https://thwiki.cc/Lucid_Dreamer,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lunar Rainbow,ルナレインボー,Lunar Rainbow,东方虹龙洞,2021-05-04,1/2021/5/4,87,24,63,87,0,True,https://thwiki.cc/Lunar_Rainbow,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lunate Elf,ルーネイトエルフ,Lunate Elf,东方红魔乡体验版,2002-06-10,1/2002/6/10,1000,256,744,997,3,True,https://thwiki.cc/Lunate_Elf,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Lunatic Dreamer,ルナティックドリーマー,Lunatic Dreamer,秘封噩梦日记,2018-08-10,1/2018/8/10,67,19,48,67,0,True,https://thwiki.cc/Lunatic_Dreamer,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Magic of Life,Magic of Life,Magic of Life,东方幻想的音乐,2000-01-10,1/2000/1/10,12,0,12,12,0,True,https://thwiki.cc/Magic_of_Life,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Magic Shop of Raspberry,Magic Shop of Raspberry,Magic Shop of Raspberry,东方怪绮谈,1998-12-30,1/1998/12/30,75,17,58,75,0,True,https://thwiki.cc/Magic_Shop_of_Raspberry,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Magical and Hopeless,Magical and Hopeless,Magical and Hopeless,Torte Le Magic,2001-05-04,1/2001/5/4,12,0,12,12,0,True,https://thwiki.cc/Magical_and_Hopeless,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Magical Storm,マジカルストーム,Magical Storm,东方辉针城,2013-08-12,1/2013/8/12,122,38,84,121,1,True,https://thwiki.cc/Magical_Storm,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Magus Night,メイガスナイト,Magus Night,妖精大战争,2010-08-14,1/2010/8/14,971,338,633,969,2,True,https://thwiki.cc/Magus_Night,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Maniacal Princess,Maniacal Princess,Maniacal Princess,东方梦时空,1997-12-29,1/1997/12/29,59,17,42,58,1,True,https://thwiki.cc/Maniacal_Princess,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Maple Dream...,Maple Dream...,Maple Dream...,东方梦时空,1997-12-29,1/1997/12/29,151,28,123,151,0,True,https://thwiki.cc/Maple_Dream...,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Maple Wise,メイプルワイズ,Maple Wise,东方怪绮谈,1998-12-30,1/1998/12/30,86,15,71,84,2,True,https://thwiki.cc/Maple_Wise,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Midnight Spell Card,ミッドナイトスペルカード,Midnight Spell Card,弹幕天邪鬼,2014-05-11,1/2014/5/11,67,25,42,67,0,True,https://thwiki.cc/Midnight_Spell_Card,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Mist Lake,ミストレイク,Mist Lake,东方辉针城体验版,2013-05-26,1/2013/5/26,414,139,275,412,2,True,https://thwiki.cc/Mist_Lake,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Mushroom·Waltz,マッシュルーム・ワルツ,Mushroom·Waltz,东方凭依华体验版,2017-05-07,1/2017/5/7,5,0,5,5,0,True,https://thwiki.cc/Mushroom%C2%B7Waltz,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
"My Maid, Sweet Maid","My Maid, Sweet Maid","My Maid, Sweet Maid",稀翁玉,2001-12-30,1/2001/12/30,13,0,13,13,0,True,"https://thwiki.cc/My_Maid,_Sweet_Maid",https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Mysterious Shrine,Mysterious Shrine,Mysterious Shrine,8BIT MUSIC POWER FINAL,2017-04-06,1/2017/4/6,4,0,4,4,0,True,https://thwiki.cc/Mysterious_Shrine,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Mystic Dream,Mystic Dream,Mystic Dream,东方怪绮谈,1998-12-30,1/1998/12/30,22,6,16,22,0,True,https://thwiki.cc/Mystic_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Native Faith,ネイティブフェイス,Native Faith,东方风神录,2007-08-17,1/2007/8/17,1966,609,1357,1963,3,True,https://thwiki.cc/Native_Faith,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Necro-Fantasia,ネクロファンタジア,Necro-Fantasia,东方妖妖梦,2003-08-17,1/2003/8/17,3319,1211,2108,3307,12,True,https://thwiki.cc/Necro-Fantasia,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Newshound,ニュースハウンド,Newshound,东方文花帖DS,2010-03-14,1/2010/3/14,70,9,61,69,1,True,https://thwiki.cc/Newshound,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Nightmare Diary,ナイトメアダイアリー,Nightmare Diary,秘封噩梦日记,2018-08-10,1/2018/8/10,105,27,78,105,0,True,https://thwiki.cc/Nightmare_Diary,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Oriental Dark Flight,オリエンタルダークフライト,Oriental Dark Flight,东方花映塚体验版,2005-05-04,1/2005/5/4,784,258,526,783,1,True,https://thwiki.cc/Oriental_Dark_Flight,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Oriental Magician,Oriental Magician,Oriental Magician,东方灵异传,1996-11-03,1/1996/11/3,46,13,33,46,0,True,https://thwiki.cc/Oriental_Magician,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Outsider Cocktail,アウトサイダーカクテル,Outsider Cocktail,旧约酒馆,2016-08-13,1/2016/8/13,89,27,62,89,0,True,https://thwiki.cc/Outsider_Cocktail,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Pandemonic Planet,パンデモニックプラネット,Pandemonic Planet,东方绀珠传,2015-08-14,1/2015/8/14,417,128,289,416,1,True,https://thwiki.cc/Pandemonic_Planet,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Peaceful,Peaceful,Peaceful,东方幻想乡,1998-08-14,1/1998/8/14,25,6,19,25,0,True,https://thwiki.cc/Peaceful,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Peaceful Romancer,Peaceful Romancer,Peaceful Romancer,东方怪绮谈,1998-12-30,1/1998/12/30,89,15,74,88,1,True,https://thwiki.cc/Peaceful_Romancer,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Phantasmagoria,Phantasmagoria,Phantasmagoria,东方怪绮谈,1998-12-30,1/1998/12/30,45,12,33,45,0,True,https://thwiki.cc/Phantasmagoria,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
Plain Asia,プレインエイジア,Plain Asia,东方永夜抄体验版,2004-04-18,1/2004/4/18,1268,455,813,1264,4,True,https://thwiki.cc/Plain_Asia,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
