original_page,original_name_jp,original_name_cn,first_release_work,first_release_date,first_release_date_raw,arrangement_count,vocal_count,arrange_count,dated_arrangement_count,undated_arrangement_count,timeline_available,source_page_url,source_frontend_url,count_basis,observed_at_utc
事已至此就赌上性命来猜谜吧,どうせなら命を賭けて謎を解け,事已至此就赌上性命来猜谜吧,东方锦上京体验版,2025-05-05,1/2025/5/5,71,22,49,70,1,True,https://thwiki.cc/%E4%BA%8B%E5%B7%B2%E8%87%B3%E6%AD%A4%E5%B0%B1%E8%B5%8C%E4%B8%8A%E6%80%A7%E5%91%BD%E6%9D%A5%E7%8C%9C%E8%B0%9C%E5%90%A7,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
二人不值一提的博物志,他愛も無い二人の博物誌,二人不值一提的博物志,燕石博物志,2016-05-08,1/2016/5/8,258,90,168,257,1,True,https://thwiki.cc/%E4%BA%8C%E4%BA%BA%E4%B8%8D%E5%80%BC%E4%B8%80%E6%8F%90%E7%9A%84%E5%8D%9A%E7%89%A9%E5%BF%97,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
二色莲花蝶 ～ Ancients,二色蓮花蝶　～ Ancients,二色莲花蝶　～ Ancients,秋霜玉,2000-12-30,1/2000/12/30,929,302,627,927,2,True,https://thwiki.cc/%E4%BA%8C%E8%89%B2%E8%8E%B2%E8%8A%B1%E8%9D%B6_%EF%BD%9E_Ancients,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
云外苍天,雲外蒼天,云外苍天,东方绯想天,2008-05-25,1/2008/5/25,28,7,21,28,0,True,https://thwiki.cc/%E4%BA%91%E5%A4%96%E8%8B%8D%E5%A4%A9,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
亡失的情感,亡失のエモーション,亡失的情感,东方心绮楼,2013-05-26,1/2013/5/26,619,235,384,618,1,True,https://thwiki.cc/%E4%BA%A1%E5%A4%B1%E7%9A%84%E6%83%85%E6%84%9F,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
人偶存在的风景,人形のある風景,人偶存在的风景,东方非想天则,2009-08-15,1/2009/8/15,29,2,27,29,0,True,https://thwiki.cc/%E4%BA%BA%E5%81%B6%E5%AD%98%E5%9C%A8%E7%9A%84%E9%A3%8E%E6%99%AF,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
人偶森林,人形の森,人偶森林,蓬莱人形,2002-08-11,1/2002/8/11,47,7,40,46,1,True,https://thwiki.cc/%E4%BA%BA%E5%81%B6%E6%A3%AE%E6%9E%97,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
人偶裁判 ～ 玩弄人形的少女,人形裁判　～ 人の形弄びし少女,人偶裁判　～ 玩弄人形的少女,东方妖妖梦体验版,2002-12-30,1/2002/12/30,1975,667,1308,1970,5,True,https://thwiki.cc/%E4%BA%BA%E5%81%B6%E8%A3%81%E5%88%A4_%EF%BD%9E_%E7%8E%A9%E5%BC%84%E4%BA%BA%E5%BD%A2%E7%9A%84%E5%B0%91%E5%A5%B3,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
今宵是飘逸的利己主义者 ～ Egoistic Flowers.,今宵は飄逸なエゴイスト　～ Egoistic Flowers.,今宵是飘逸的利己主义者　～ Egoistic Flowers.,东方凭依华,2017-12-29,1/2017/12/29,389,142,247,388,1,True,https://thwiki.cc/%E4%BB%8A%E5%AE%B5%E6%98%AF%E9%A3%98%E9%80%B8%E7%9A%84%E5%88%A9%E5%B7%B1%E4%B8%BB%E4%B9%89%E8%80%85_%EF%BD%9E_Egoistic_Flowers.,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
今昔幻想乡 ～ Flower Land,今昔幻想郷　～ Flower Land,今昔幻想乡　～ Flower Land,东方花映塚,2005-08-14,1/2005/8/14,951,360,591,950,1,True,https://thwiki.cc/%E4%BB%8A%E6%98%94%E5%B9%BB%E6%83%B3%E4%B9%A1_%EF%BD%9E_Flower_Land,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
