id,name,group,by,info,v0,v1,v2,v3,v4,v5
TH07.5,东方萃梦想,Win(FTG),TH07.5,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,2505 (62.8%),632 (15.84%),479 (12.01%),143 (3.58%),228 (5.72%),
TH10.5,东方绯想天,Win(FTG),TH10.5,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,1886 (47.28%),732 (18.35%),682 (17.1%),223 (5.59%),464 (11.63%),0 (0%)
TH12.3,东方非想天则,Win(FTG),TH12.3,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,1738 (43.57%),789 (19.78%),674 (16.9%),255 (6.39%),531 (13.31%),
TH13.5,东方心绮楼,Win(FTG),TH13.5,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,1991 (49.91%),667 (16.72%),722 (18.1%),228 (5.72%),379 (9.5%),
TH14.5,东方深秘录,Win(FTG),TH14.5,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,2030 (50.89%),565 (14.16%),659 (16.52%),224 (5.62%),509 (12.76%),
