id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
1,东方灵异传,東方霊異伝,PC-98游戏（STG）,57,game010,10,9,9,35.71%,0.19%,32.14%,0.17%,32.14%,0.17%,28,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,7,神玉，魅魔，菊理，矜羯罗，幽玄魔眼，依莉斯，萨丽爱尔,198,7,28
2,东方封魔录,東方封魔録,PC-98游戏（STG）,30,game020,8,1,4,61.54%,0.15%,7.69%,0.02%,30.77%,0.08%,13,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,6,魅魔，玄爷，里香，明罗，Flower～战车，邪眼西格玛,179,15,30
3,东方梦时空,東方夢時空,PC-98游戏（STG）,109,game030,16,20,21,28.07%,0.3%,35.09%,0.38%,36.84%,0.4%,57,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,12,魅魔，玄爷，爱莲，小兔姬，卡娜·安娜贝拉尔，朝仓理香子，北白河千百合，冈崎梦美，咪咪号，留琴，玛○奇，苏格拉底,448,13,37
4,东方幻想乡,東方幻想郷,PC-98游戏（STG）,122,game040,25,19,9,47.17%,0.48%,35.85%,0.36%,16.98%,0.17%,53,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,7,风见幽香，玄爷，奥莲姬，胡桃，艾丽，梦月，幻月,699,21,100
5,东方怪绮谈,東方怪綺談,PC-98游戏（STG）,105,game050,16,24,9,32.65%,0.3%,48.98%,0.46%,18.37%,0.17%,49,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,9,爱丽丝·玛格特洛依德，魅魔，玄爷，萨拉，露易兹，雪，舞，梦子，神绮,1542,11,171
6,东方红魔乡,東方紅魔郷,Windows游戏（STG）,2137,game060,430,342,163,45.99%,8.18%,36.58%,6.51%,17.43%,3.1%,935,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,10,露米娅，大妖精，琪露诺，红美铃，小恶魔，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，芙兰朵露·斯卡蕾特，冴月麟,6652,757,665
7,东方妖妖梦,東方妖々夢,Windows游戏（STG）,2352,game070,458,367,244,42.84%,8.71%,34.33%,6.98%,22.83%,4.64%,1069,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,15,琪露诺，十六夜咲夜，蕾蒂·霍瓦特洛克，橙，爱丽丝·玛格特洛依德，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，魂魄妖忌，蕾拉·普莉兹姆利巴,7532,168,502
8,东方萃梦想,東方萃夢想,Windows游戏（FTG）,156,game075,29,23,23,38.67%,0.55%,30.67%,0.44%,30.67%,0.44%,75,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,11,红美铃，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，伊吹萃香,9486,1059,862
9,东方永夜抄,東方永夜抄,Windows游戏（STG）,4389,game080,966,558,375,50.87%,18.38%,29.38%,10.61%,19.75%,7.13%,1899,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,17,帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，莉格露·奈特巴格，米斯蒂娅·萝蕾拉，上白泽慧音，因幡帝，铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，藤原妹红,12309,794,724
10,东方花映塚,東方花映塚,Windows游戏（STG）,548,game090,101,87,71,39%,1.92%,33.59%,1.65%,27.41%,1.35%,259,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,19,琪露诺，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，米斯蒂娅·萝蕾拉，因幡帝，铃仙·优昙华院·因幡，八意永琳，射命丸文，梅蒂欣·梅兰可莉，风见幽香，小野塚小町，四季映姬·亚玛萨那度,10891,575,573
