id,name,jpname,group,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
1,东方灵异传,東方霊異伝,PC-98游戏（STG）,57,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,game010,10,9,9,35.71%,0.19%,32.14%,0.17%,32.14%,0.17%,28,0.53%,20,8,71.43%,28.57%,0.35%,0.65%,
2,东方封魔录,東方封魔録,PC-98游戏（STG）,30,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,game020,8,1,4,61.54%,0.15%,7.69%,0.02%,30.77%,0.08%,13,0.25%,9,4,69.23%,30.77%,0.16%,0.32%,
3,东方梦时空,東方夢時空,PC-98游戏（STG）,109,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,game030,16,20,21,28.07%,0.3%,35.09%,0.38%,36.84%,0.4%,57,1.08%,27,30,47.37%,52.63%,0.47%,2.43%,
4,东方幻想乡,東方幻想郷,PC-98游戏（STG）,122,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,game040,25,19,9,47.17%,0.48%,35.85%,0.36%,16.98%,0.17%,53,1.01%,40,13,75.47%,24.53%,0.7%,1.05%,
5,东方怪绮谈,東方怪綺談,PC-98游戏（STG）,105,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,game050,16,24,9,32.65%,0.3%,48.98%,0.46%,18.37%,0.17%,49,0.93%,35,14,71.43%,28.57%,0.61%,1.14%,
6,东方红魔乡,東方紅魔郷,Windows游戏（STG）,2137,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,game060,430,342,163,45.99%,8.18%,36.58%,6.51%,17.43%,3.1%,935,17.79%,760,175,81.28%,18.72%,13.32%,14.19%,
7,东方妖妖梦,東方妖々夢,Windows游戏（STG）,2352,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,game070,458,367,244,42.84%,8.71%,34.33%,6.98%,22.83%,4.64%,1069,20.33%,888,181,83.07%,16.93%,15.56%,14.68%,
8,东方萃梦想,東方萃夢想,Windows游戏（FTG）,156,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,game075,29,23,23,38.67%,0.55%,30.67%,0.44%,30.67%,0.44%,75,1.43%,60,15,80%,20%,1.05%,1.22%,
9,东方永夜抄,東方永夜抄,Windows游戏（STG）,4389,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,game080,966,558,375,50.87%,18.38%,29.38%,10.61%,19.75%,7.13%,1899,36.12%,1540,359,81.1%,18.9%,26.98%,29.12%,
10,东方花映塚,東方花映塚,Windows游戏（STG）,548,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,game090,101,87,71,39%,1.92%,33.59%,1.65%,27.41%,1.35%,259,4.93%,189,70,72.97%,27.03%,3.31%,5.68%,
11,东方文花帖,東方文花帖,Windows游戏（STG）,107,<a href='./?m=info&type=work&id=11' target='_blank'>点击查看详情</a>,game095,12,23,25,20%,0.23%,38.33%,0.44%,41.67%,0.48%,60,1.14%,52,8,86.67%,13.33%,0.91%,0.65%,
12,东方风神录,東方風神録,Windows游戏（STG）,2731,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,game100,521,425,318,41.22%,9.91%,33.62%,8.08%,25.16%,6.05%,1264,24.04%,1073,191,84.89%,15.11%,18.8%,15.49%,
