id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,A Sacred Lot,A Sacred Lot,东方灵异传,46,1,47,<a href='./?m=info&type=music&id=1' target='_blank'>点击查看详情</a>,2.17%,0.5%,0.01%,31,15,67.39%,32.61%,0.31%,0.87%,
2,永远之巫女,永遠の巫女,东方灵异传,851,70,921,<a href='./?m=info&type=music&id=2' target='_blank'>点击查看详情</a>,8.23%,9.25%,0.8%,698,153,82.02%,17.98%,7.01%,8.9%,
3,The Positive and Negative,The Positive and Negative,东方灵异传,16,1,17,<a href='./?m=info&type=music&id=3' target='_blank'>点击查看详情</a>,6.25%,0.17%,0.01%,13,3,81.25%,18.75%,0.13%,0.17%,
4,Highly Responsive to Prayers,Highly Responsive to Prayers,东方灵异传,14,1,15,<a href='./?m=info&type=music&id=4' target='_blank'>点击查看详情</a>,7.14%,0.15%,0.01%,8,6,57.14%,42.86%,0.08%,0.35%,
5,东方怪奇谈,東方怪奇談,东方灵异传,58,5,63,<a href='./?m=info&type=music&id=5' target='_blank'>点击查看详情</a>,8.62%,0.63%,0.06%,45,13,77.59%,22.41%,0.45%,0.76%,
6,天使传说,天使伝説,东方灵异传,19,1,20,<a href='./?m=info&type=music&id=6' target='_blank'>点击查看详情</a>,5.26%,0.21%,0.01%,17,2,89.47%,10.53%,0.17%,0.12%,
7,Oriental Magician,Oriental Magician,东方灵异传,4,0,4,<a href='./?m=info&type=music&id=7' target='_blank'>点击查看详情</a>,0%,0.04%,0%,1,3,25%,75%,0.01%,0.17%,
8,破邪的小太刀,破邪の小太刀,东方灵异传,17,1,18,<a href='./?m=info&type=music&id=8' target='_blank'>点击查看详情</a>,5.88%,0.18%,0.01%,12,5,70.59%,29.41%,0.12%,0.29%,
9,魔镜,魔鏡,东方灵异传,12,1,13,<a href='./?m=info&type=music&id=9' target='_blank'>点击查看详情</a>,8.33%,0.13%,0.01%,10,2,83.33%,16.67%,0.1%,0.12%,
10,the Legend of KAGE,the Legend of KAGE,东方灵异传,4,0,4,<a href='./?m=info&type=music&id=10' target='_blank'>点击查看详情</a>,0%,0.04%,0%,3,1,75%,25%,0.03%,0.06%,
11,来吧，直到倒地死去的那一刻,いざ、倒れ逝くその時まで,东方灵异传,120,7,127,<a href='./?m=info&type=music&id=11' target='_blank'>点击查看详情</a>,5.83%,1.3%,0.08%,94,26,78.33%,21.67%,0.94%,1.51%,
12,同归于尽,死なばもろとも,东方灵异传,36,5,41,<a href='./?m=info&type=music&id=12' target='_blank'>点击查看详情</a>,13.89%,0.39%,0.06%,29,7,80.56%,19.44%,0.29%,0.41%,
13,星幽剑士,星幽剣士,东方灵异传,23,3,26,<a href='./?m=info&type=music&id=13' target='_blank'>点击查看详情</a>,13.04%,0.25%,0.03%,14,9,60.87%,39.13%,0.14%,0.52%,
14,鸢尾花,アイリス,东方灵异传,22,2,24,<a href='./?m=info&type=music&id=14' target='_blank'>点击查看详情</a>,9.09%,0.24%,0.02%,15,7,68.18%,31.82%,0.15%,0.41%,
15,风之神社,風の神社,东方灵异传,87,1,88,<a href='./?m=info&type=music&id=15' target='_blank'>点击查看详情</a>,1.15%,0.95%,0.01%,70,17,80.46%,19.54%,0.7%,0.99%,
16,东方封魔录 ～ 净土曼荼罗,東方封魔録 ～ 浄土曼荼羅,东方封魔录,18,0,18,<a href='./?m=info&type=music&id=16' target='_blank'>点击查看详情</a>,0%,0.2%,0%,16,2,88.89%,11.11%,0.16%,0.12%,
17,博丽 ～ Eastern Wind,博麗 ～ Eastern Wind,东方封魔录,30,4,34,<a href='./?m=info&type=music&id=17' target='_blank'>点击查看详情</a>,13.33%,0.33%,0.05%,20,10,66.67%,33.33%,0.2%,0.58%,
18,She's in a temper!!,She's in a temper!!,东方封魔录,15,3,18,<a href='./?m=info&type=music&id=18' target='_blank'>点击查看详情</a>,20%,0.16%,0.03%,11,4,73.33%,26.67%,0.11%,0.23%,
19,End of Daylight,End of Daylight,东方封魔录,46,6,52,<a href='./?m=info&type=music&id=19' target='_blank'>点击查看详情</a>,13.04%,0.5%,0.07%,29,17,63.04%,36.96%,0.29%,0.99%,
20,黑暗的力量,やみのちから,东方封魔录,8,1,9,<a href='./?m=info&type=music&id=20' target='_blank'>点击查看详情</a>,12.5%,0.09%,0.01%,7,1,87.5%,12.5%,0.07%,0.06%,
21,幻梦界,幻夢界,东方封魔录,19,1,20,<a href='./?m=info&type=music&id=21' target='_blank'>点击查看详情</a>,5.26%,0.21%,0.01%,10,9,52.63%,47.37%,0.1%,0.52%,
22,以死相赌,死を賭して,东方封魔录,5,0,5,<a href='./?m=info&type=music&id=22' target='_blank'>点击查看详情</a>,0%,0.05%,0%,5,0,100%,0%,0.05%,0%,
23,神篱，如紫色火焰般燃烧,ひもろぎ、むらさきにもえ,东方封魔录,17,1,18,<a href='./?m=info&type=music&id=23' target='_blank'>点击查看详情</a>,5.88%,0.18%,0.01%,13,4,76.47%,23.53%,0.13%,0.23%,
24,恋色Magic（恋色Master spark）,恋色マジック,东方封魔录,1065,150,1215,<a href='./?m=info&type=music&id=24' target='_blank'>点击查看详情</a>,14.08%,11.57%,1.71%,910,155,85.45%,14.55%,9.14%,9.02%,
25,东方封魔录 ～ 幽幻乱舞,東方封魔録 ～ 幽幻乱舞,东方封魔录,8,0,8,<a href='./?m=info&type=music&id=25' target='_blank'>点击查看详情</a>,0%,0.09%,0%,6,2,75%,25%,0.06%,0.12%,
26,Complete Darkness,Complete Darkness,东方封魔录,53,2,55,<a href='./?m=info&type=music&id=26' target='_blank'>点击查看详情</a>,3.77%,0.58%,0.02%,43,10,81.13%,18.87%,0.43%,0.58%,
27,Extra Love,Extra Love,东方封魔录,4,0,4,<a href='./?m=info&type=music&id=27' target='_blank'>点击查看详情</a>,0%,0.04%,0%,3,1,75%,25%,0.03%,0.06%,
28,战车娘所做的梦,戦車むすめのみるゆめ,东方封魔录,12,1,13,<a href='./?m=info&type=music&id=28' target='_blank'>点击查看详情</a>,8.33%,0.13%,0.01%,9,3,75%,25%,0.09%,0.17%,
29,远野之森,遠野の森,东方封魔录,14,0,14,<a href='./?m=info&type=music&id=29' target='_blank'>点击查看详情</a>,0%,0.15%,0%,10,4,71.43%,28.57%,0.1%,0.23%,
30,传说中的仙境,昔話わんだーらんど,东方封魔录,7,1,8,<a href='./?m=info&type=music&id=30' target='_blank'>点击查看详情</a>,14.29%,0.08%,0.01%,5,2,71.43%,28.57%,0.05%,0.12%,
31,博丽神社境内,博麗神社境内,东方封魔录,26,1,27,<a href='./?m=info&type=music&id=31' target='_blank'>点击查看详情</a>,3.85%,0.28%,0.01%,19,7,73.08%,26.92%,0.19%,0.41%,
32,夕阳下落,陽落ちて,东方封魔录,4,0,4,<a href='./?m=info&type=music&id=32' target='_blank'>点击查看详情</a>,0%,0.04%,0%,3,1,75%,25%,0.03%,0.06%,
33,封魔终演,封魔終演,东方封魔录,2,0,2,<a href='./?m=info&type=music&id=33' target='_blank'>点击查看详情</a>,0%,0.02%,0%,1,1,50%,50%,0.01%,0.06%,
34,梦想超越时空,夢は時空を越えて,东方梦时空,59,3,62,<a href='./?m=info&type=music&id=34' target='_blank'>点击查看详情</a>,5.08%,0.64%,0.03%,41,18,69.49%,30.51%,0.41%,1.05%,
35,Selection,Selection,东方梦时空,1,0,1,<a href='./?m=info&type=music&id=35' target='_blank'>点击查看详情</a>,0%,0.01%,0%,1,0,100%,0%,0.01%,0%,
36,东方妖恋谈,東方妖恋談,东方梦时空,131,3,134,<a href='./?m=info&type=music&id=36' target='_blank'>点击查看详情</a>,2.29%,1.42%,0.03%,115,16,87.79%,12.21%,1.16%,0.93%,
37,Reincarnation,Reincarnation,东方梦时空,313,28,341,<a href='./?m=info&type=music&id=37' target='_blank'>点击查看详情</a>,8.95%,3.4%,0.32%,265,48,84.66%,15.34%,2.66%,2.79%,
38,Dim. Dream,Dim. Dream,东方梦时空,15,1,16,<a href='./?m=info&type=music&id=38' target='_blank'>点击查看详情</a>,6.67%,0.16%,0.01%,11,4,73.33%,26.67%,0.11%,0.23%,
39,Tabula rasa ～ 空白少女,Tabula rasa ～ 空白少女,东方梦时空,172,12,184,<a href='./?m=info&type=music&id=39' target='_blank'>点击查看详情</a>,6.98%,1.87%,0.14%,141,31,81.98%,18.02%,1.42%,1.8%,
40,Maniacal Princess,Maniacal Princess,东方梦时空,6,0,6,<a href='./?m=info&type=music&id=40' target='_blank'>点击查看详情</a>,0%,0.07%,0%,3,3,50%,50%,0.03%,0.17%,
41,梦消失 ～ Lost Dream,夢消失 ～ Lost Dream,东方梦时空,845,56,901,<a href='./?m=info&type=music&id=41' target='_blank'>点击查看详情</a>,6.63%,9.18%,0.64%,733,112,86.75%,13.25%,7.36%,6.52%,
42,梦幻游戏 ～ Dream War,夢幻遊戯 ～ Dream War,东方梦时空,9,0,9,<a href='./?m=info&type=music&id=42' target='_blank'>点击查看详情</a>,0%,0.1%,0%,7,2,77.78%,22.22%,0.07%,0.12%,
43,魔法决战！ ～ Fight it out!,魔法決戦！ ～ Fight it out!,东方梦时空,8,0,8,<a href='./?m=info&type=music&id=43' target='_blank'>点击查看详情</a>,0%,0.09%,0%,7,1,87.5%,12.5%,0.07%,0.06%,
44,Sailor of Time,Sailor of Time,东方梦时空,10,1,11,<a href='./?m=info&type=music&id=44' target='_blank'>点击查看详情</a>,10%,0.11%,0.01%,8,2,80%,20%,0.08%,0.12%,
45,Strawberry Crisis!!,Strawberry Crisis!!,东方梦时空,96,5,101,<a href='./?m=info&type=music&id=45' target='_blank'>点击查看详情</a>,5.21%,1.04%,0.06%,71,25,73.96%,26.04%,0.71%,1.45%,
46,非统一魔法世界论,非統一魔法世界論,东方梦时空,17,0,17,<a href='./?m=info&type=music&id=46' target='_blank'>点击查看详情</a>,0%,0.18%,0%,14,3,82.35%,17.65%,0.14%,0.17%,
47,魔法钟爱,魔法鐘愛,东方梦时空,4,0,4,<a href='./?m=info&type=music&id=47' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,2,50%,50%,0.02%,0.12%,
48,久远之梦,久遠の夢,东方梦时空,11,1,12,<a href='./?m=info&type=music&id=48' target='_blank'>点击查看详情</a>,9.09%,0.12%,0.01%,6,5,54.55%,45.45%,0.06%,0.29%,
49,东方的蓝色天空,東方の青い空,东方梦时空,4,0,4,<a href='./?m=info&type=music&id=49' target='_blank'>点击查看详情</a>,0%,0.04%,0%,3,1,75%,25%,0.03%,0.06%,
50,永远的满月,永遠の満月,东方梦时空,361,22,383,<a href='./?m=info&type=music&id=50' target='_blank'>点击查看详情</a>,6.09%,3.92%,0.25%,302,59,83.66%,16.34%,3.03%,3.43%,
51,Maple Dream...,Maple Dream...,东方梦时空,35,3,38,<a href='./?m=info&type=music&id=51' target='_blank'>点击查看详情</a>,8.57%,0.38%,0.03%,29,6,82.86%,17.14%,0.29%,0.35%,
52,灵人的休息日,霊人の休日,东方梦时空,5,0,5,<a href='./?m=info&type=music&id=52' target='_blank'>点击查看详情</a>,0%,0.05%,0%,3,2,60%,40%,0.03%,0.12%,
53,胜利的示范,勝利デモ,东方梦时空,0,0,0,<a href='./?m=info&type=music&id=53' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0%,0%
54,Game Over,ゲームオーバー,东方梦时空,2,0,2,<a href='./?m=info&type=music&id=54' target='_blank'>点击查看详情</a>,0%,0.02%,0%,2,0,100%,0%,0.02%,0%,
55,时之风,時の風,东方梦时空,19,0,19,<a href='./?m=info&type=music&id=55' target='_blank'>点击查看详情</a>,0%,0.21%,0%,12,7,63.16%,36.84%,0.12%,0.41%,
56,Starbow Dream,スターボウドリーム,东方梦时空,6,0,6,<a href='./?m=info&type=music&id=56' target='_blank'>点击查看详情</a>,0%,0.07%,0%,4,2,66.67%,33.33%,0.04%,0.12%,
57,Phantasmagoria,Phantasmagoria,东方梦时空,4,0,4,<a href='./?m=info&type=music&id=57' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,2,50%,50%,0.02%,0.12%,
58,幻想乡 ～ Lotus Land Story,幻想郷 ～ Lotus Land Story,东方幻想乡,38,5,43,<a href='./?m=info&type=music&id=58' target='_blank'>点击查看详情</a>,13.16%,0.41%,0.06%,33,5,86.84%,13.16%,0.33%,0.29%,
59,Witching Dream,Witching Dream,东方幻想乡,9,0,9,<a href='./?m=info&type=music&id=59' target='_blank'>点击查看详情</a>,0%,0.1%,0%,6,3,66.67%,33.33%,0.06%,0.17%,
60,Selene's light,Selene's light,东方幻想乡,3,0,3,<a href='./?m=info&type=music&id=60' target='_blank'>点击查看详情</a>,0%,0.03%,0%,3,0,100%,0%,0.03%,0%,
61,装饰战 ～ Decoration Battle,装飾戦 ～ Decoration Battle,东方幻想乡,7,0,7,<a href='./?m=info&type=music&id=61' target='_blank'>点击查看详情</a>,0%,0.08%,0%,5,2,71.43%,28.57%,0.05%,0.12%,
62,Break the Sabbath,Break the Sabbath,东方幻想乡,3,0,3,<a href='./?m=info&type=music&id=62' target='_blank'>点击查看详情</a>,0%,0.03%,0%,2,1,66.67%,33.33%,0.02%,0.06%,
63,紅响曲 ～ Scarlet Phoneme,紅響曲 ～ Scarlet Phoneme,东方幻想乡,13,0,13,<a href='./?m=info&type=music&id=63' target='_blank'>点击查看详情</a>,0%,0.14%,0%,10,3,76.92%,23.08%,0.1%,0.17%,
