site,round,merge_group_id,canonical_track,source_row_count,source_titles_jp_json,source_titles_cn_json,source_ranks_json,best_source_rank,merged_rank,rank_improvement_vs_best_source,best_source_score,merged_score,score_added_by_other_reprints,primary_count
jp,11,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[131, 133]",131.0,89.0,42.0,274.0,543.0,269.0,64.0
jp,12,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[148, 155]",148.0,99.0,49.0,452.0,874.0,422.0,58.0
jp,13,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[154, 155]",154.0,96.0,58.0,387.0,769.0,382.0,63.0
jp,14,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[172, 174]",172.0,111.0,61.0,275.0,544.0,269.0,47.0
jp,14,music:f3223d64ce2e68a8,竹林大火,2,"[""ネオ竹林インフレイム"", ""竹林インフレイム""]","[""竹林大火""]","[278, 294]",278.0,228.0,50.0,76.0,141.0,65.0,3.0
jp,15,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[165, 181]",165.0,110.0,55.0,237.0,431.0,194.0,31.0
jp,16,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[173, 190]",173.0,116.0,57.0,290.0,533.0,243.0,35.0
jp,17,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[163, 203]",163.0,122.0,41.0,348.0,574.0,226.0,44.0
jp,18,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[152, 203]",152.0,110.0,42.0,459.0,715.0,256.0,53.0
jp,19,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[116, 173]",116.0,82.0,34.0,674.0,1034.0,360.0,81.0
jp,20,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[142, 203]",142.0,101.0,41.0,505.0,771.0,266.0,59.0
jp,21,music:fc15babf3f3705f8,妖妖跋扈,2,"[""妖々跋扈"", ""妖々跋扈 ~ Who done it!""]","[""妖妖跋扈"", ""妖妖跋扈 ~ Who done it!""]","[154, 213]",154.0,106.0,48.0,506.0,792.0,286.0,41.0
