name,vote,first,votes,ratio,sratio,vratio,male,female,mratio,fratio,hmratio,hfratio
总数,7765,-,-,-,-,-,6220,1540,80.1%,19.83%,-,-
角色,7446,7206,47757,96.78%,80.17% (6 / 8),95.89%,5954,1488,79.96%,19.98%,95.72%,96.62%
音乐,6259,5928,56450,94.71%,75.16% (9 / 12),80.61%,4996,1262,79.82%,20.16%,80.32%,81.95%
作品,5760,-,17283,-,-,74.18%,4606,1153,79.97%,20.02%,74.05%,74.87%
组合,5824,5449,21148,93.56%,72.62% (4 / 5),75%,4558,1263,78.26%,21.69%,73.28%,82.01%
游戏,4549,-,4550,-,-,58.58%,3711,838,81.58%,18.42%,59.66%,54.42%
