id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector0,vector3,ratio,vratio
1,1143,436,<a href='./?m=info&type=cp&id=134135000' target='_blank'>点击查看详情</a>,1,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,135,<a href='./?m=info&type=chara&id=135' target='_blank'>玛艾露贝莉·赫恩（梅莉）</a>,0,-,917,226,80.23%,19.77%,16.07%,18.33%,26.16%,9.89%,63.95%,-,38.15,21.4%
2,34,0,<a href='./?m=info&type=cp&id=208209210' target='_blank'>点击查看详情</a>,1,208,<a href='./?m=info&type=chara&id=208' target='_blank'>尔子田里乃</a>,209,<a href='./?m=info&type=chara&id=209' target='_blank'>丁礼田舞</a>,210,<a href='./?m=info&type=chara&id=210' target='_blank'>摩多罗隐岐奈</a>,28,6,82.35%,17.65%,0.49%,0.49%,5.88%,2.94%,67.65%,23.53%,,0.64%
3,1283,432,<a href='./?m=info&type=cp&id=001002000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,0,-,985,298,76.77%,23.23%,17.26%,24.17%,21.59%,19.49%,58.92%,-,33.67,24.03%
4,137,5,<a href='./?m=info&type=cp&id=216217000' target='_blank'>点击查看详情</a>,1,216,<a href='./?m=info&type=chara&id=216' target='_blank'>依神女苑</a>,217,<a href='./?m=info&type=chara&id=217' target='_blank'>依神紫苑</a>,0,-,105,32,76.64%,23.36%,1.84%,2.6%,18.25%,12.41%,69.34%,-,3.65,2.57%
5,85,7,<a href='./?m=info&type=cp&id=014022023' target='_blank'>点击查看详情</a>,1,14,<a href='./?m=info&type=chara&id=14' target='_blank'>橙</a>,22,<a href='./?m=info&type=chara&id=22' target='_blank'>八云蓝</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,75,10,88.24%,11.76%,1.31%,0.81%,0%,8.24%,62.35%,29.41%,8.24,1.59%
6,145,29,<a href='./?m=info&type=cp&id=055056000' target='_blank'>点击查看详情</a>,1,55,<a href='./?m=info&type=chara&id=55' target='_blank'>火焰猫燐</a>,56,<a href='./?m=info&type=chara&id=56' target='_blank'>灵乌路空</a>,0,-,121,24,83.45%,16.55%,2.12%,1.95%,17.24%,14.48%,68.28%,-,20,2.72%
7,736,242,<a href='./?m=info&type=cp&id=002015000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,620,116,84.24%,15.76%,10.86%,9.41%,47.01%,13.04%,39.95%,-,32.88,13.78%
8,584,164,<a href='./?m=info&type=cp&id=054057000' target='_blank'>点击查看详情</a>,1,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,0,-,478,106,81.85%,18.15%,8.38%,8.6%,11.3%,30.65%,58.05%,-,28.08,10.94%
9,50,18,<a href='./?m=info&type=cp&id=065084000' target='_blank'>点击查看详情</a>,1,65,<a href='./?m=info&type=chara&id=65' target='_blank'>封兽鵺</a>,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,0,-,37,13,74%,26%,0.65%,1.05%,20%,26%,54%,-,36,0.94%
10,917,255,<a href='./?m=info&type=cp&id=033034000' target='_blank'>点击查看详情</a>,1,33,<a href='./?m=info&type=chara&id=33' target='_blank'>蓬莱山辉夜</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,0,-,691,226,75.35%,24.65%,12.11%,18.33%,21.81%,19.96%,58.23%,-,27.81,17.17%
11,59,5,<a href='./?m=info&type=cp&id=208209000' target='_blank'>点击查看详情</a>,1,208,<a href='./?m=info&type=chara&id=208' target='_blank'>尔子田里乃</a>,209,<a href='./?m=info&type=chara&id=209' target='_blank'>丁礼田舞</a>,0,-,36,23,61.02%,38.98%,0.63%,1.87%,8.47%,15.25%,76.27%,-,8.47,1.1%
