claim,subject,labels_json,conditional_count,conditional_n,conditional_rate,overall_count,overall_n,overall_rate,difference_percentage_points,lift,overall_count_rounding_error
debut_period_cognition_overrepresentation,少名 針妙丸,"[""求聞口授～輝針城（2013年8月）"", ""輝針城～アマノジャク（2014年5月）""]",43,303,0.1419141914191419,1513,15783,0.09586263701450928,4.605155440463263,1.4803910662051003,0.0
debut_period_cognition_overrepresentation,摩多羅隠岐奈,"[""旧約酒場～天空璋（2017年8月）"", ""天空璋～ナイトメアダイアリー（2018年8月）""]",147,839,0.17520858164481526,2269,15783,0.14376227586643858,3.1446305778376678,1.2187382301014187,0.0
debut_period_cognition_overrepresentation,ヘカーティア・ラピスラズリ,"[""アマノジャク～紺珠伝（2015年8月）"", ""紺珠伝～旧約酒場（2016年8月）""]",141,781,0.18053777208706787,2072,15783,0.13128049166825065,4.9257280418817215,1.3752063980937221,0.0
magus_night_roughly_10_to_15_year_cognition_window,メイガスナイト（2009年8月～2014年5月に知った層）,"[""星蓮船～妖精大戦争（2010年8月）"", ""妖精大戦争～神霊廟（2011年8月）"", ""神霊廟～求聞口授（2012年4月）"", ""求聞口授～輝針城（2013年8月）"", ""輝針城～アマノジャク（2014年5月）""]",140,603,0.23217247097844113,2940,15783,0.18627637331305835,4.589609766538278,1.2463871120587537,0.0
