round,source_category,source_name,label,count,conditional_n,conditional_rate,overall_n,overall_rate,difference_percentage_points,lift
20,character,少名 針妙丸,旧作～秋霜玉（2000年12月）,0,303,0.0,15783,0.0038015586390420073,-0.38015586390420075,0.0
20,character,少名 針妙丸,秋霜玉～紅魔郷（2002年8月）,4,303,0.013201320132013201,15783,0.008236710384591015,0.4964609747422187,1.602741812642803
20,character,少名 針妙丸,紅魔郷～妖々夢（2003年8月）,3,303,0.009900990099009901,15783,0.020211620097573338,-1.0310629998563436,0.48986622800211055
20,character,少名 針妙丸,妖々夢～永夜抄（2004年8月）,4,303,0.013201320132013201,15783,0.01089780143192042,0.23035187000927815,1.2113746258346767
20,character,少名 針妙丸,永夜抄～萃夢想（2004年12月）,3,303,0.009900990099009901,15783,0.01007413039346132,-0.017314029445141856,0.9828133756771903
20,character,少名 針妙丸,萃夢想～花映塚（2005年8月）,2,303,0.006600660066006601,15783,0.004181714502946208,0.24189455630603932,1.5784578457845786
20,character,少名 針妙丸,花映塚～文花帖（2005年12月）,4,303,0.013201320132013201,15783,0.0045618703668504085,0.8639449765162793,2.893839383938394
20,character,少名 針妙丸,文花帖～求聞史紀（2006年12月）,3,303,0.009900990099009901,15783,0.006652727618323513,0.3248262480686388,1.4882602545968882
20,character,少名 針妙丸,求聞史紀～風神録（2007年8月）,9,303,0.0297029702970297,15783,0.018184122156750936,1.1518848140278766,1.6334563769965844
20,character,少名 針妙丸,風神録～地霊殿（2008年8月）,13,303,0.0429042904290429,15783,0.04093011468035228,0.1974175748690625,1.0482328418600373
20,character,少名 針妙丸,地霊殿～星蓮船（2009年8月）,12,303,0.039603960396039604,15783,0.032123170499904964,0.7480789896134641,1.2328783174175404
20,character,少名 針妙丸,星蓮船～妖精大戦争（2010年8月）,16,303,0.052805280528052806,15783,0.02578723943483495,2.7018041093217855,2.047729097234048
20,character,少名 針妙丸,妖精大戦争～神霊廟（2011年8月）,12,303,0.039603960396039604,15783,0.028131533928910855,1.147242646712875,1.4078137543484077
20,character,少名 針妙丸,神霊廟～求聞口授（2012年4月）,11,303,0.036303630363036306,15783,0.03649496293480327,-0.019133257176696256,0.9947572882288229
20,character,少名 針妙丸,求聞口授～輝針城（2013年8月）,17,303,0.056105610561056105,15783,0.03972628777798898,1.6379322783067127,1.4123043883335702
20,character,少名 針妙丸,輝針城～アマノジャク（2014年5月）,26,303,0.0858085808580858,15783,0.056136349236520305,2.96722316215655,1.528574302125472
20,character,少名 針妙丸,アマノジャク～紺珠伝（2015年8月）,18,303,0.0594059405940594,15783,0.06183868719508332,-0.24327466010239177,0.9606597954877454
20,character,少名 針妙丸,紺珠伝～旧約酒場（2016年8月）,16,303,0.052805280528052806,15783,0.06944180447316733,-1.6636523945114527,0.7604249476042495
20,character,少名 針妙丸,旧約酒場～天空璋（2017年8月）,16,303,0.052805280528052806,15783,0.06595704238737883,-1.3151761859326025,0.8006010975737342
20,character,少名 針妙丸,天空璋～ナイトメアダイアリー（2018年8月）,15,303,0.04950495049504951,15783,0.07780523347905975,-2.8300282984010243,0.636267616989712
20,character,少名 針妙丸,ナイトメアダイアリー〜鬼形獣（2019年8月）,21,303,0.06930693069306931,15783,0.09858708737248939,-2.9280156679420077,0.7030021125505868
20,character,少名 針妙丸,鬼形獣～虹龍洞（2021年5月）,36,303,0.1188118811881188,15783,0.13451181651143634,-1.5699935323317538,0.8832821105944791
20,character,少名 針妙丸,虹龍洞～バレットフィリア（2022年8月）,29,303,0.09570957095709572,15783,0.07096242792878414,2.4747143028311576,1.34873585572843
20,character,少名 針妙丸,バレットフィリア〜獣王園（2023年8月）,9,303,0.0297029702970297,15783,0.038965976050180574,-0.9263005753150872,0.7622796425984062
20,character,少名 針妙丸,獣王園〜現在,4,303,0.013201320132013201,15783,0.03579801051764557,-2.2596690385632368,0.36877245246648555
20,character,ヘカーティア・ラピスラズリ,旧作～秋霜玉（2000年12月）,2,781,0.002560819462227913,15783,0.0038015586390420073,-0.12407391768140945,0.6736235595390525
