round,question_id,answer_id,questionnaire_id,questionnaire_name,section_key,question_type,question,answer,option_index,count,male_count,female_count,respondent_n,respondent_male_n,respondent_female_n,share,male_share_within_answer,female_share_within_answer
10,25091,2509102,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,微博,1,1141,816,325,5945,5157,788,0.1919259882253995,0.7151621384750219,0.2848378615249781
10,25091,2509109,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,NGA/S1等综合论坛,8,566,493,73,5945,5157,788,0.09520605550883095,0.8710247349823321,0.12897526501766785
10,25091,2509104,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,Niconico,3,947,821,126,5945,5157,788,0.15929352396972246,0.866948257655755,0.133051742344245
10,25091,2509113,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,囧仙B站号,12,3214,2858,356,5945,5157,788,0.5406223717409588,0.8892345986309894,0.11076540136901059
10,25091,2509111,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,THBWiki微博/B站号,10,2888,2512,376,5945,5157,788,0.48578637510513034,0.8698060941828255,0.13019390581717452
10,25091,2509103,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,推特,2,1903,1615,288,5945,5157,788,0.3201009251471825,0.8486600105097215,0.15133998949027852
10,25091,2509112,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,殇韵月风微博/B站号,11,1606,1376,230,5945,5157,788,0.2701429772918419,0.8567870485678705,0.1432129514321295
10,25091,2509119,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,囧仙粉丝群,18,606,558,48,5945,5157,788,0.10193439865433138,0.9207920792079208,0.07920792079207921
10,25091,2509116,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,幽紫kkB站号,15,2853,2542,311,5945,5157,788,0.4798990748528175,0.8909919383105503,0.10900806168944971
10,25091,2509117,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,轩缘无痕B站号,16,1455,1301,154,5945,5157,788,0.2447434819175778,0.8941580756013746,0.10584192439862543
10,25091,2509118,25,额外问卷 - 社群相关/主办方附加,extraQuestionnaire,Multiple,您通过哪些账号或平台了解东方信息？,东方初心者讲座群,17,259,216,43,5945,5157,788,0.04356602186711522,0.833976833976834,0.16602316602316602
