round,category,ballots
10,all,25707
10,character,23518
10,music,17442
10,cp,17383
10,doujin,2250
10,male,21541
10,female,4166
11,all,14594
11,character,13283
11,music,10185
11,cp,9956
11,doujin,1237
11,male,12354
11,female,2240
