round,character_id,character_name_jp,character_name_cn,music_id,music_name_jp,music_name_cn,thbwiki_url,source_note,confidence
22,223,ユイマン・浅間,维缦·浅间,837,鹿狩りのレミニセンス,猎鹿旧忆回潮,https://thwiki.cc/维缦·浅间,THBWiki 角色条目列出的角色曲；与 JP22 官方曲目 ID 837 对应,high
22,224,磐永 阿梨夜,磐永阿梨夜,841,最後の一人は慣れてるから　〜 Stone Goddess,早已习惯最终孑然一身～ Stone Goddess,https://thwiki.cc/磐永阿梨夜,THBWiki 角色条目列出的角色曲；与 JP22 官方曲目 ID 841 对应,high
22,225,渡里 ニナ,渡里贝子,843,二枚貝の上のハルシネーション,双壳贝上的幻觉,https://thwiki.cc/渡里贝子,THBWiki 角色条目列出的角色曲；与 JP22 官方曲目 ID 843 对应,high
