"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_5517613326_f24_reply1","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","24","彼岸的四季映姬","2018-01-26","","我永远喜欢四季映姬","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f24_reply2","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","24","妪之色乃紫色🌂","2018-01-26","","回复 彼岸的四季映姬 :四季映姬永远不喜欢你","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f24_reply3","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","24","彼岸的四季映姬","2018-01-26","","回复 忘掉过去bye :四季大人罚你去打屁股，还不快去","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f24_reply4","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","24","妪之色乃紫色🌂","2018-01-26","","回复 彼岸的四季映姬 :我不去我永远喜欢那谁.jpg","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f34_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","34","main_reply","","路灯子💫","2018-01-16","","天空璋你可是新作耶，怕不是连神灵庙都比不过","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f34_reply1","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","34","夢色之郷","2018-01-16","","要是在tkz发售几周之后就搞投票成美想必也会像紫苑这样。","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f34_reply2","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","34","西瓜子IKLS","2018-01-16","","回复 夢色之郷 :...不曉得這算不算是一個好現象","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f35_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","35","main_reply","","万剑——风之伤","2018-01-16","","鵺酱保持住","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f36_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","36","main_reply","","破乏的穷神","2018-01-16","","蕾米大胜利？","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f37_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","37","main_reply","","津岛柚月🌟🌙😈","2018-01-16","","紫苑的人气可真是高呐……心疼一波女苑，这次不再是妹妹人气比姐姐高了 神妈人气也是堪忧呀……","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
