character_jp,character_jp_normalized,character_cn,first_appearance_work_id,source_path,source_sheet
村紗 水蜜,村紗水蜜,村纱水蜜,12,fun.xlsx,Sheet1
寅丸 星,寅丸星,寅丸星,12,fun.xlsx,Sheet1
雲居 一輪,雲居一輪,云居一轮,12,fun.xlsx,Sheet1
雲山,雲山,云山,12,fun.xlsx,Sheet1
大ナマズ,大ナマズ,大鲶鱼,,fun.xlsx,Sheet1
姫海棠 はたて,姫海棠はたて,姬海棠果,12.5,fun.xlsx,Sheet1
ルナチャイルド,ルナチャイルド,露娜切露德,12.8,fun.xlsx,Sheet1
スターサファイア,スターサファイア,斯塔萨菲雅,12.8,fun.xlsx,Sheet1
サニーミルク,サニーミルク,桑尼米尔克,12.8,fun.xlsx,Sheet1
豊聡耳 神子,豊聡耳神子,丰聪耳神子,13,fun.xlsx,Sheet1
物部 布都,物部布都,物部布都,13,fun.xlsx,Sheet1
霍 青娥,霍青娥,霍青娥,13,fun.xlsx,Sheet1
二ッ岩 マミゾウ,二ッ岩マミゾウ,二岩猯藏,13,fun.xlsx,Sheet1
蘇我 屠自古,蘇我屠自古,苏我屠自古,13,fun.xlsx,Sheet1
宮古 芳香,宮古芳香,宫古芳香,13,fun.xlsx,Sheet1
幽谷 響子,幽谷響子,幽谷响子,13,fun.xlsx,Sheet1
秦 こころ,秦こころ,秦心,13.5,fun.xlsx,Sheet1
鬼人 正邪,鬼人正邪,鬼人正邪,14,fun.xlsx,Sheet1
赤蛮奇,赤蛮奇,赤蛮奇,14,fun.xlsx,Sheet1
今泉 影狼,今泉影狼,今泉影狼,14,fun.xlsx,Sheet1
少名 針妙丸,少名針妙丸,少名针妙丸,14,fun.xlsx,Sheet1
堀川 雷鼓,堀川雷鼓,堀川雷鼓,14,fun.xlsx,Sheet1
わかさぎ姫,わかさぎ姫,若鹭姬,14,fun.xlsx,Sheet1
九十九 弁々,九十九弁々,九十九弁弁,14,fun.xlsx,Sheet1
九十九 八橋,九十九八橋,九十九八桥,14,fun.xlsx,Sheet1
茨木 華扇,茨木華扇,茨木华扇,14.5,fun.xlsx,Sheet1
宇佐見 菫子,宇佐見菫子,宇佐见堇子,14.5,fun.xlsx,Sheet1
純狐,純狐,纯狐,15,fun.xlsx,Sheet1
ヘカーティア・ラピスラズリ,ヘカーティア・ラピスラズリ,赫卡提亚·拉碧斯拉祖利,15,fun.xlsx,Sheet1
稀神 サグメ,稀神サグメ,稀神探女,15,fun.xlsx,Sheet1
ドレミー・スイート,ドレミー・スイート,哆来咪·苏伊特,15,fun.xlsx,Sheet1
クラウンピース,クラウンピース,克劳恩皮丝,15,fun.xlsx,Sheet1
清蘭,清蘭,清兰,15,fun.xlsx,Sheet1
鈴瑚,鈴瑚,铃瑚,15,fun.xlsx,Sheet1
依神紫苑,依神紫苑,依神紫苑,15.5,fun.xlsx,Sheet1
依神女苑,依神女苑,依神女苑,15.5,fun.xlsx,Sheet1
摩多羅隠岐奈,摩多羅隠岐奈,摩多罗隐岐奈,16,fun.xlsx,Sheet1
高麗野あうん,高麗野あうん,高丽野阿吽,16,fun.xlsx,Sheet1
丁礼田舞,丁礼田舞,丁礼田舞,16,fun.xlsx,Sheet1
エタニティラルバ,エタニティラルバ,爱塔妮缇拉尔瓦,16,fun.xlsx,Sheet1
爾子田里乃,爾子田里乃,尔子田里乃,16,fun.xlsx,Sheet1
矢田寺成美,矢田寺成美,矢田寺成美,16,fun.xlsx,Sheet1
坂田ネムノ,坂田ネムノ,坂田合欢,16,fun.xlsx,Sheet1
埴安神 袿姫,埴安神袿姫,埴安神袿姬,17,fun.xlsx,Sheet1
吉弔 八千慧,吉弔八千慧,吉吊八千慧,17,fun.xlsx,Sheet1
庭渡 久侘歌,庭渡久侘歌,庭渡久侘歌,17,fun.xlsx,Sheet1
驪駒 早鬼,驪駒早鬼,骊驹早鬼,17,fun.xlsx,Sheet1
杖刀偶 磨弓,杖刀偶磨弓,杖刀偶磨弓,17,fun.xlsx,Sheet1
戎 瓔花,戎瓔花,戎璎花,17,fun.xlsx,Sheet1
牛崎 潤美,牛崎潤美,牛崎润美,17,fun.xlsx,Sheet1
饕餮 尤魔,饕餮尤魔,饕餮尤魔,17.5,fun.xlsx,Sheet1
飯綱丸 龍,飯綱丸龍,饭纲丸龙,18,fun.xlsx,Sheet1
天弓 千亦,天弓千亦,天弓千亦,18,fun.xlsx,Sheet1
菅牧 典,菅牧典,菅牧典,18,fun.xlsx,Sheet1
姫虫 百々世,姫虫百々世,姬虫百百世,18,fun.xlsx,Sheet1
豪徳寺 ミケ,豪徳寺ミケ,豪德寺三花,18,fun.xlsx,Sheet1
山城 たかね,山城たかね,山城高岭,18,fun.xlsx,Sheet1
駒草 山如,駒草山如,驹草山如,18,fun.xlsx,Sheet1
玉造 魅須丸,玉造魅須丸,玉造魅须丸,18,fun.xlsx,Sheet1
豫母都 日狭美,豫母都日狭美,豫母都日狭美,19,fun.xlsx,Sheet1
日白 残無,日白残無,日白残无,19,fun.xlsx,Sheet1
天火人 ちやり,天火人ちやり,天火人血枪,19,fun.xlsx,Sheet1
孫 美天,孫美天,孙美天,19,fun.xlsx,Sheet1
三頭 慧ノ子,三頭慧ノ子,三头慧之子,19,fun.xlsx,Sheet1
アリスの人形（上海、蓬莱、大江戸 他）,アリスの人形（上海、蓬莱、大江戸他）,爱丽丝的人偶（上海、蓬莱、大江户等）,,fun.xlsx,Sheet1
博麗 霊夢,博麗霊夢,博丽灵梦,100,fun.xlsx,Sheet1
霧雨 魔理沙,霧雨魔理沙,雾雨魔理沙,100,fun.xlsx,Sheet1
宇佐見 蓮子,宇佐見蓮子,宇佐见莲子,,fun.xlsx,Sheet1
稗田 阿求,稗田阿求,稗田阿求,,fun.xlsx,Sheet1
マエリベリー・ハーン,マエリベリー・ハーン,玛艾露贝莉·赫恩,,fun.xlsx,Sheet1
本居 小鈴,本居小鈴,本居小铃,,fun.xlsx,Sheet1
森近 霖之助,森近霖之助,森近霖之助,,fun.xlsx,Sheet1
奥野田 美宵,奥野田美宵,奥野田美宵,,fun.xlsx,Sheet1
綿月 依姫,綿月依姫,绵月依姬,,fun.xlsx,Sheet1
蓬莱人形ジャケットイラストの娘,蓬莱人形ジャケットイラストの娘,蓬莱人形封面的少女（夹克子）,,fun.xlsx,Sheet1
宮出口瑞霊,宮出口瑞霊,宫出口瑞灵,,fun.xlsx,Sheet1
綿月 豊姫,綿月豊姫,绵月丰姬,,fun.xlsx,Sheet1
易者,易者,易者,,fun.xlsx,Sheet1
C62サークルカットの娘,C62サークルカットの娘,冴月麟,,fun.xlsx,Sheet1
名無しの本読み妖怪,名無しの本読み妖怪,无名的读书妖怪（朱鹭子）,,fun.xlsx,Sheet1
レイセン,レイセン,铃仙二号,,fun.xlsx,Sheet1
影華扇（断善修悪の怪腕 - 茨木童子の腕）,影華扇（断善修悪の怪腕-茨木童子の腕）,影华扇（断善修恶的怪臂 - 茨木童子之臂）,,fun.xlsx,Sheet1
魂魄 妖忌,魂魄妖忌,魂魄妖忌,,fun.xlsx,Sheet1
蓬莱人形レーベルイラストの娘,蓬莱人形レーベルイラストの娘,蓬莱人形碟面的少女（Label子）,,fun.xlsx,Sheet1
抗鬱薬おじさん,抗鬱薬おじさん,抗抑郁药大叔（长相酷似周杰伦的村民）,,fun.xlsx,Sheet1
毛玉,毛玉,毛玉,,fun.xlsx,Sheet1
カワウソ霊,カワウソ霊,水獭灵,,fun.xlsx,Sheet1
UFO（赤・青・緑、その他）,UFO（赤・青・緑、その他）,飞碟（红、蓝、绿、其他）,,fun.xlsx,Sheet1
妖精（メイド妖精・ひまわり妖精 他）,妖精（メイド妖精・ひまわり妖精他）,妖精（女仆妖精、向日葵妖精等）,,fun.xlsx,Sheet1
核熱造神ヒソウテンソク,核熱造神ヒソウテンソク,核热造神非想天则,,fun.xlsx,Sheet1
カラス（地獄鴉、紫・文の使い魔 他）,カラス（地獄鴉、紫・文の使い魔他）,乌鸦（地狱鸦、紫和文的使魔等）,,fun.xlsx,Sheet1
嫦娥,嫦娥,嫦娥,,fun.xlsx,Sheet1
ツチノコ,ツチノコ,野槌,,fun.xlsx,Sheet1
チュパカブラ,チュパカブラ,卓柏卡布拉,,fun.xlsx,Sheet1
なめえもん,なめえもん,蛞蝓（蛞蝓卫门）,,fun.xlsx,Sheet1
鯢呑亭の常連,鯢呑亭の常連,鲵吞亭的常客,,fun.xlsx,Sheet1
旧作名無し中ボス,旧作名無し中ボス,旧作的无名道中Boss,,fun.xlsx,Sheet1
兎（玉兎、永遠亭の妖怪兎 他）,兎（玉兎、永遠亭の妖怪兎他）,兔子（玉兔、永远亭的妖怪兔等）,,fun.xlsx,Sheet1
狐（妖怪狐、狐の子他）,狐（妖怪狐、狐の子他）,狐（妖怪狐、年幼的妖狐等）,,fun.xlsx,Sheet1
河童（山童含む）,河童（山童含む）,河童（含山童）,,fun.xlsx,Sheet1
天狗（香霖堂の天狗、大天狗 他）,天狗（香霖堂の天狗、大天狗他）,天狗（香霖堂的天狗、大天狗等）,,fun.xlsx,Sheet1
華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,華扇の動物（久米、竿打、雷獣、彭祖、人面犬他）,华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,,fun.xlsx,Sheet1
龍（子龍、邪龍 他）,龍（子龍、邪龍他）,龙（子龙、邪龙等）,,fun.xlsx,Sheet1
オオカミ霊,オオカミ霊,野狼灵,,fun.xlsx,Sheet1
オオワシ霊,オオワシ霊,大鹫灵,,fun.xlsx,Sheet1
ホフゴブリン,ホフゴブリン,地精,,fun.xlsx,Sheet1
神降ろしの神霊（天照、伊豆能売 他）,神降ろしの神霊（天照、伊豆能売他）,降神的神灵（天照、伊豆能卖等）,,fun.xlsx,Sheet1
里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,,fun.xlsx,Sheet1
岩笠,岩笠,岩笠,,fun.xlsx,Sheet1
命蓮,命蓮,命莲,,fun.xlsx,Sheet1
万歳楽,万歳楽,万岁乐,,fun.xlsx,Sheet1
ケセランパサラン,ケセランパサラン,袈裟罗婆娑罗,,fun.xlsx,Sheet1
水江浦島子,水江浦島子,水江浦岛子（瑞江浦岛子）,,fun.xlsx,Sheet1
幽霊（怨霊、神霊、化け化け含む）,幽霊（怨霊、神霊、化け化け含む）,幽灵（包括怨灵、神灵、旧作的一种杂鱼）,,fun.xlsx,Sheet1
ライカ,ライカ,莱卡,,fun.xlsx,Sheet1
木花咲耶姫,木花咲耶姫,木花咲耶姬,,fun.xlsx,Sheet1
座敷童,座敷童,座敷童子,,fun.xlsx,Sheet1
都市伝説の怪異（お菊さん、八尺さま 他）,都市伝説の怪異（お菊さん、八尺さま他）,都市传说的怪异（阿菊、八尺大人等）,,fun.xlsx,Sheet1
鯢呑亭の店主,鯢呑亭の店主,鲵吞亭店主,,fun.xlsx,Sheet1
酒虫,酒虫,酒虫,,fun.xlsx,Sheet1
小鈴の両親,小鈴の両親,小铃的父母,,fun.xlsx,Sheet1
