alias_cn,canonical_cn,alias_type,source_character_cn_thb,source_character_jp,source_url,mapping_status,confidence,use_scope
大蜈蚣,姬虫百百世,thbwiki_community_nickname_candidate,姬虫百百世,姫虫 百々世,https://thbwiki.cc/姬虫百百世,search_only_not_poll_normalized,low,search_vocabulary_only
大角羊,饕餮尤魔,thbwiki_community_nickname_candidate,饕餮尤魔,饕餮 尤魔,https://thbwiki.cc/饕餮尤魔,search_only_not_poll_normalized,low,search_vocabulary_only
大酱,大妖精,thbwiki_community_nickname_candidate,大妖精,大妖精,https://thbwiki.cc/大妖精,search_only_not_poll_normalized,low,search_vocabulary_only
大鲶鱼,大鲶鱼,thbwiki_cn_reference_name,大鲶鱼,大ナマズ,https://thbwiki.cc/大鲶鱼,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
天女,比那名居天子,thbwiki_community_nickname_candidate,比那名居天子,比那名居 天子,https://thbwiki.cc/比那名居天子,search_only_not_poll_normalized,low,search_vocabulary_only
天弓千亦,天弓千亦,thbwiki_cn_reference_name,天弓千亦,天弓 千亦,https://thbwiki.cc/天弓千亦,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
天火人血枪,天火人血枪,thbwiki_cn_reference_name,天火人血枪,天火人 ちやり,https://thbwiki.cc/天火人血枪,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
天马,骊驹早鬼,thbwiki_community_nickname_candidate,骊驹早鬼,驪駒 早鬼,https://thbwiki.cc/骊驹早鬼,search_only_not_poll_normalized,low,search_vocabulary_only
太太,神绮,thbwiki_community_nickname_candidate,神绮,神綺,https://thbwiki.cc/神绮,search_only_not_poll_normalized,low,search_vocabulary_only
太子,丰聪耳神子,thbwiki_community_nickname_candidate,丰聪耳神子,豊聡耳 神子,https://thbwiki.cc/丰聪耳神子,search_only_not_poll_normalized,low,search_vocabulary_only
奥莲姬,奥莲姬,thbwiki_cn_reference_name,奥莲姬,オレンジ,https://thbwiki.cc/奥莲姬,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
奥野田美宵,奥野田美宵,thbwiki_cn_reference_name,奥野田美宵,奥野田 美宵,https://thbwiki.cc/奥野田美宵,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
女仆长,十六夜咲夜,thbwiki_community_nickname_candidate,十六夜咲夜,十六夜 咲夜,https://thbwiki.cc/十六夜咲夜,search_only_not_poll_normalized,low,search_vocabulary_only
