character_cn,character_jp,round21_rank,first_appearance,official_identity,official_ability,canon_meme_material,derivative_misread_risk,thbwiki_url,access_status,verification_date,source_note,verification_status,research_scope
比那名居天子,比那名居 天子,21,东方绯想天,有顶天的大小姐,,,,https://thbwiki.cc/比那名居天子,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
多多良小伞,多々良 小傘,22,东方星莲船,愉快的遗忘之伞,,,,https://thbwiki.cc/多多良小伞,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
洩矢诹访子,洩矢 諏訪子,23,东方风神录,土著神的顶点,,,,https://thbwiki.cc/洩矢诹访子,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
四季映姬·夜摩仙那度,四季映姫・ヤマザナドゥ,24,东方花映塚,负责幻想乡的阎魔大人,,,,https://thbwiki.cc/四季映姬·夜摩仙那度,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
蓬莱山辉夜,蓬莱山 輝夜,25,东方永夜抄,永远和须臾的罪人,,,,https://thbwiki.cc/蓬莱山辉夜,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
纯狐,純狐,26,东方绀珠传,被怨恨纯化的灵,,,,https://thbwiki.cc/纯狐,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
风见幽香,風見 幽香,27,东方花映塚,四季的鲜花之主,,,,https://thbwiki.cc/风见幽香,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
八意永琳,八意 永琳,28,东方永夜抄,月之头脑,,,,https://thbwiki.cc/八意永琳,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
伊吹萃香,伊吹 萃香,29,东方萃梦想,酒瓢为枕的酒吞童子,,,,https://thbwiki.cc/伊吹萃香,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
犬走椛,犬走 椛,30,东方风神录,基层警卫天狗,,,,https://thbwiki.cc/犬走椛,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
八云蓝,八雲 藍,31,东方妖妖梦,间隙妖怪的式神,,,,https://thbwiki.cc/八云蓝,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
灵乌路空,霊烏路 空,32,东方地灵殿,地底的太阳,,,,https://thbwiki.cc/灵乌路空,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
