round,category,overall_status,summary_status,detail_status,item_api_status,questionnaire_status,crossvote_status,available,summary_pages_expected_or_discovered,summary_pages_downloaded,summary_pages_omitted_by_policy,local_source_status,local_source_evidence,local_source_workbooks,local_source_hashes,detail_ids_discovered,detail_pages_expected,detail_pages_downloaded,votedate_json,votesex_json,votegeo_json,votepaper_json,questionnaire_groups_expected,questionnaire_groups_downloaded,crossvote_default_available,crossvote_default_parameters,crossvote_expanded_available,crossvote_expanded_parameters,fetch_failure_count,fetch_failure_http_statuses,reason_pages_followed,notes
5,work_characters,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
5,cp,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,2,2,0,not_used,,[],[],1249,1249,1249,1249,1249,1249,1249,0,0,False,{},False,{},0,[],0,
5,game,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
5,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,4,4,False,{},False,{},0,[],0,
6,chara,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],215,215,215,215,215,215,215,0,0,False,{},False,{},1,[200],0,
6,music,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],518,518,518,518,518,518,518,0,0,False,{},False,{},1,[200],0,
6,work,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],60,60,60,60,60,60,60,0,0,False,{},False,{},0,[],0,
6,work_characters,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
6,cp,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,2,2,0,not_used,,[],[],1289,1289,1289,1289,1289,1289,1289,0,0,False,{},False,{},0,[],0,
6,game,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
6,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,5,5,False,{},False,{},0,[],0,
7,chara,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],218,218,218,218,218,218,218,0,0,False,{},False,{},1,[200],0,
7,music,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],552,552,552,552,552,552,552,0,0,False,{},False,{},1,[200],0,
