round,poll_period,character,rank,rank_prev,points,primary_num,comment_num,official_support_count,score_source,source_path
3,2004-10-17—2004-10-23,博麗 霊夢,6,,1391,426,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,霧雨 魔理沙,1,,2284,785,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,十六夜 咲夜,3,,1746,585,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,レミリア・スカーレット,8,,843,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,フランドール・スカーレット,15,,486,96,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,魂魄 妖夢,2,,1802,490,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,西行寺 幽々子,4,,1502,406,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,藤原 妹紅,12,,609,109,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,チルノ,21,,234,53,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,博麗 霊夢,2,6,1245,379,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,霧雨 魔理沙,1,1,1301,409,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,十六夜 咲夜,3,3,1165,384,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,レミリア・スカーレット,11,8,688,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,フランドール・スカーレット,13,15,465,92,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,魂魄 妖夢,9,2,877,236,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,西行寺 幽々子,4,4,1092,312,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,藤原 妹紅,18,12,367,79,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,チルノ,19,21,330,78,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,博麗 霊夢,1,2,3927,881,1132,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,霧雨 魔理沙,2,1,3867,844,1119,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,十六夜 咲夜,4,3,3154,631,933,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,レミリア・スカーレット,5,11,3083,582,927,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,フランドール・スカーレット,10,13,2497,400,761,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,魂魄 妖夢,12,9,2169,425,663,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,西行寺 幽々子,6,4,2973,661,823,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,藤原 妹紅,9,18,2544,425,789,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,東風谷 早苗,13,,2135,335,638,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,稗田 阿求,40,,413,42,133,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,チルノ,15,19,2075,379,747,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,博麗 霊夢,1,1,5739,1312,1522,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,霧雨 魔理沙,3,2,5380,1145,1399,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,十六夜 咲夜,2,4,5433,1144,1440,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,レミリア・スカーレット,5,5,4945,976,1356,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,フランドール・スカーレット,12,10,3654,655,1019,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,魂魄 妖夢,15,12,3277,702,886,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,西行寺 幽々子,10,6,3973,879,1092,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,藤原 妹紅,7,9,4162,777,1169,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,東風谷 早苗,4,13,5315,1026,1445,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,古明地 さとり,13,,3591,417,1010,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,古明地 こいし,35,,1446,149,433,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,稗田 阿求,51,40,649,79,185,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
6,2009-01-18—2009-01-24,チルノ,18,15,2604,487,871,,legacy_official_html_table,data_raw/jp_official_legacy/round_06/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,博麗 霊夢,1,1,7731,1642,2063,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,霧雨 魔理沙,3,3,6766,1394,1854,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,十六夜 咲夜,4,2,6763,1460,1791,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,レミリア・スカーレット,5,5,6747,1392,1877,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,フランドール・スカーレット,10,12,5365,965,1487,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,魂魄 妖夢,13,15,4510,967,1176,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,西行寺 幽々子,11,10,5274,1189,1317,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,藤原 妹紅,9,7,5441,1074,1526,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,東風谷 早苗,2,4,7221,1544,1897,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,古明地 さとり,8,13,5471,732,1471,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,古明地 こいし,22,35,3283,434,913,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,稗田 阿求,58,51,859,123,249,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
7,2010-02-07—2010-02-13,チルノ,23,18,3243,666,1020,,legacy_official_html_table,data_raw/jp_official_legacy/round_07/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,博麗 霊夢,1,1,8175,1739,2058,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,霧雨 魔理沙,5,3,6750,1407,1754,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,十六夜 咲夜,2,4,7246,1602,1791,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,レミリア・スカーレット,4,5,6920,1375,1833,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,フランドール・スカーレット,9,10,5961,1052,1605,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,魂魄 妖夢,13,13,5201,1122,1351,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,西行寺 幽々子,12,11,5293,1172,1268,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,藤原 妹紅,11,9,5349,1027,1365,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,東風谷 早苗,6,2,6466,1458,1548,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,古明地 さとり,8,8,6113,871,1495,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
8,2011-02-13—2011-02-19,古明地 こいし,15,22,4827,706,1315,,legacy_official_html_table,data_raw/jp_official_legacy/round_08/aggregate/result_char.html.tables.json
