round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet
6,32,摩多罗隐岐奈,495,27,0.0545,522,0.0665,0.0037,357,0.7212,137,0.2768,TouhouVote_cn.xlsx,6
6,33,矢田寺成美,492,22,0.0447,514,0.0661,0.0031,404,0.8211,86,0.1748,TouhouVote_cn.xlsx,6
6,34,丰聪耳神子,475,83,0.1747,558,0.0638,0.0115,293,0.6168,181,0.3811,TouhouVote_cn.xlsx,6
6,35,少名针妙丸,442,29,0.0656,471,0.0594,0.004,356,0.8054,84,0.19,TouhouVote_cn.xlsx,6
6,36,圣白莲,433,46,0.1062,479,0.0582,0.0064,348,0.8037,85,0.1963,TouhouVote_cn.xlsx,6
6,37,灵乌路空,395,67,0.1696,462,0.053,0.0093,326,0.8253,69,0.1747,TouhouVote_cn.xlsx,6
6,38,多多良小伞,389,36,0.0925,425,0.0522,0.005,355,0.9126,34,0.0874,TouhouVote_cn.xlsx,6
6,39,八意永琳,386,46,0.1192,432,0.0518,0.0064,274,0.7098,112,0.2902,TouhouVote_cn.xlsx,6
6,39,克劳恩皮丝,386,26,0.0674,412,0.0518,0.0036,335,0.8679,51,0.1321,TouhouVote_cn.xlsx,6
6,41,上白泽慧音,381,26,0.0682,407,0.0512,0.0036,269,0.706,112,0.294,TouhouVote_cn.xlsx,6
6,42,露米娅,366,47,0.1284,413,0.0492,0.0065,315,0.8607,51,0.1393,TouhouVote_cn.xlsx,6
6,43,稗田阿求,325,30,0.0923,355,0.0436,0.0042,272,0.8369,53,0.1631,TouhouVote_cn.xlsx,6
6,44,水桥帕露西,297,58,0.1953,355,0.0399,0.008,204,0.6869,92,0.3098,TouhouVote_cn.xlsx,6
6,45,神绮,287,29,0.101,316,0.0385,0.004,237,0.8258,49,0.1707,TouhouVote_cn.xlsx,6
6,46,犬走椛,279,30,0.1075,309,0.0375,0.0042,246,0.8817,33,0.1183,TouhouVote_cn.xlsx,6
6,47,火焰猫燐,271,31,0.1144,302,0.0364,0.0043,223,0.8229,48,0.1771,TouhouVote_cn.xlsx,6
6,48,封兽鵺,262,32,0.1221,294,0.0352,0.0044,193,0.7366,69,0.2634,TouhouVote_cn.xlsx,6
6,49,本居小铃,261,21,0.0805,282,0.0351,0.0029,230,0.8812,31,0.1188,TouhouVote_cn.xlsx,6
6,50,高丽野阿吽,260,6,0.0231,266,0.0349,0.0008,219,0.8423,41,0.1577,TouhouVote_cn.xlsx,6
6,51,哆来咪·苏伊特,252,28,0.1111,280,0.0338,0.0039,164,0.6508,88,0.3492,TouhouVote_cn.xlsx,6
6,52,宇佐见堇子,247,12,0.0486,259,0.0332,0.0017,168,0.6802,78,0.3158,TouhouVote_cn.xlsx,6
6,53,霍青娥,241,17,0.0705,258,0.0324,0.0024,156,0.6473,85,0.3527,TouhouVote_cn.xlsx,6
6,54,物部布都,233,42,0.1803,275,0.0313,0.0058,114,0.4893,119,0.5107,TouhouVote_cn.xlsx,6
6,55,茨木华扇,232,35,0.1509,267,0.0312,0.0049,192,0.8276,40,0.1724,TouhouVote_cn.xlsx,6
6,56,大妖精,217,13,0.0599,230,0.0291,0.0018,179,0.8249,38,0.1751,TouhouVote_cn.xlsx,6
6,57,八云蓝,215,24,0.1116,239,0.0289,0.0033,185,0.8605,30,0.1395,TouhouVote_cn.xlsx,6
