keyword,tfidf
冻符,0.16315728172671926
介绍,0.1560788007077547
冰符,0.14832480156974476
icicle,0.14832480156974476
在,0.12479209303535936
⑨,0.11865984125579582
freeze,0.11865984125579582
perfect,0.10809257485177558
中,0.10447710114588225
氷符,0.10382736109882133
ice,0.10077106056994373
b或c,0.09958694823305841
cost,0.09128803588030354
凍符,0.08899488094184686
frost,0.08899488094184686
查看日文原文,0.08555325017315504
笨蛋,0.08193457775668973
cirno,0.08193457775668973
子机名,0.08193457775668973
操纵冰程度的能力,0.07416240078487238
完美冻结,0.07416240078487238
雪符,0.07416240078487238
符卡名,0.07088632929649397
副季节,0.06827881479724143
操纵冷气程度的能力,0.05932992062789791
冰之小妖精,0.05932992062789791
冰之妖精,0.05932992062789791
blizzard,0.05932992062789791
霜符,0.05932992062789791
minus,0.05932992062789791
可以选择,0.05462305183779315
fall,0.05404628742588779
19,0.05335700220655131
普莉兹姆利巴,0.049336408874444404
技能与符卡,0.04797475710758734
雾之湖,0.04692818480616057
东方文花帖,0.046434267175947674
介绍图,0.04449744047092343
晒黑的琪露诺,0.04449744047092343
活泼的纯情小姑娘,0.04449744047092343
氷の小さな妖精,0.04449744047092343
冰瀑,0.04449744047092343
パーフェクトフリーズ,0.04449744047092343
负k,0.04449744047092343
冰王,0.04449744047092343
东方红魔乡,0.043532125477450945
妖精大战争,0.043532125477450945
花映塚,0.041494561763774335
king,0.04096728887834487
music,0.040629983778954215
