keyword,tfidf
弹符,0.22940041023021582
rabbit,0.21120120113095217
弾符,0.1638574358787256
eagle,0.14163475484382748
从异次元发射子弹程度的能力,0.1310859487029805
里,0.12393455333646107
shooting,0.10290825581833989
尚不明确,0.09831446152723536
忘不了,0.09831446152723536
那曾依藉的绿意,0.09831446152723536
清兰的能力,0.09831446152723536
查看日文原文,0.07821717663474757
东方兽王园,0.07053321379347038
月之都,0.06958367236456613
清兰屋,0.06554297435149024
seiran,0.06554297435149024
虽然看不到,0.06554297435149024
在休息中为伙伴捣年糕时遭到自机的袭击,0.06554297435149024
浅葱色的eagle,0.06554297435149024
兔已着陆,0.06554297435149024
从天而降的月兔,0.06554297435149024
清兰的主题曲,0.06554297435149024
凶弹,0.06554297435149024
strike,0.06554297435149024
イーグルシューティング,0.06554297435149024
falconer,0.06554297435149024
梦弹,0.06554297435149024
导弹援护攻击,0.06554297435149024
东方绀珠传,0.06412110344860944
幺乐团的历史,0.06412110344860944
绀珠传,0.06088228973645292
speed,0.06034320032312919
月兔,0.05665390193753099
兽王园,0.052187754273424584
lunatic,0.05192554202888548
shoot,0.05145412790916994
room,0.05129688275888755
星期一,0.04933089642332724
星期日,0.04752085063896778
地狱,0.044980027043479885
dream,0.04490318737603004
东方绀珠传访谈,0.04490318737603004
铃仙,0.04488477241402661
优昙华院,0.04488477241402661
因幡,0.04488477241402661
music,0.04488477241402661
1面boss,0.04153857014740238
二次设定,0.038472662069165664
在,0.038472662069165664
中,0.038472662069165664
