keyword,tfidf
要石,0.25262897483457225
介绍,0.16951841723462088
全人类的绯想天,0.1347354532451052
wonderful,0.11789352158946705
heaven,0.11789352158946705
b或c,0.11307863271578893
地震,0.10854057906986968
天子,0.1010515899338289
cost,0.09423219392982408
主役比那名居天子,0.08734676635273218
必,0.08641249053563141
杀,0.08641249053563141
有顶天变,0.08420965827819074
要石浮游炮,0.08420965827819074
符卡名,0.07317250573776263
10,0.0688663550260533
地符,0.0673677266225526
气性,0.0673677266225526
勇气凛凛之剑,0.0673677266225526
绯想天,0.05993711919053876
茨歌仙46话,0.05823117756848813
查看日文原文,0.05694630648982885
东方绯想天,0.056020329547334644
东方凭依华,0.056020329547334644
故事模式专用,0.05552515144430891
绯想天设定文档,0.05528986573766822
level10,0.05528986573766822
凭依华,0.0527617949490035
在,0.05272501604455025
14,0.051509004316209375
操纵大地程度的能力,0.05052579496691445
非想非非想天之女,0.05052579496691445
幼小的有顶天,0.05052579496691445
全人類の緋想天,0.05052579496691445
乾坤,0.05052579496691445
天地,0.05052579496691445
避难险路,0.05052579496691445
比那名居天子的能力,0.05052579496691445
天界,0.050337716424222
中,0.04942970254176586
噩梦周二,0.048220793209264375
击,0.0480069391864619
气符,0.04651739102994415
里,0.044584735691418374
别称,0.04375008993179659
下仆少名针妙丸,0.04367338317636609
技能与符卡,0.04085565454246862
故事模式overdrive难度,0.03966497923939579
斯卡蕾特,0.03954376203341269
铃仙,0.03954376203341269
