keyword,tfidf
murasa,0.19909973081836954
引发水难事故程度的能力,0.14932479811377716
村纱,0.12907306317549186
captain,0.12443733176148095
浸水,0.12443733176148095
圣辇船,0.10788282208033873
港符,0.09954986540918477
sinker,0.09954986540918477
船底的维纳斯,0.09954986540918477
love,0.09165219506689053
deep,0.09165219506689053
溺符,0.09165219506689053
魔界,0.08081235226980439
村紗,0.07466239905688858
minamitsu,0.07466239905688858
船长,0.07466239905688858
东方杀时间,0.07466239905688858
船幽灵,0.07466239905688858
水难事故的念缚灵,0.07466239905688858
倾覆,0.07466239905688858
転覆,0.07466239905688858
湊符,0.07466239905688858
锚符,0.07466239905688858
幽灵船长期停泊,0.07466239905688858
东方星莲船,0.06330366805720081
在刚欲异闻中,0.061276730364322934
level5,0.05861327883102526
中,0.05356464220224683
东方刚欲异闻,0.05356464220224683
水蜜,0.049774932704592385
むらさ,0.049774932704592385
みなみつ,0.049774932704592385
最惨女主角,0.049774932704592385
轮船组,0.049774932704592385
魔船组,0.049774932704592385
船长组,0.049774932704592385
船鵺组,0.049774932704592385
其他组合,0.049774932704592385
木曾,0.049774932704592385
东方定助,0.049774932704592385
大力水手,0.049774932704592385
比水密度小的锚,0.049774932704592385
しぶちゃ,0.049774932704592385
mr,0.049774932704592385
bean,0.049774932704592385
村纱与,0.049774932704592385
minamitu,0.049774932704592385
的船长,0.049774932704592385
非常健谈,0.049774932704592385
在河边钓鱼,0.049774932704592385
