keyword,tfidf
毒爪,0.31848803649817675
无所不吃程度的能力,0.15924401824908838
茅台迎宾酒,0.09554641094945303
miyako,0.09554641094945303
yoshika,0.09554641094945303
忠诚的尸体,0.09554641094945303
神灵庙,0.07096708372579304
东方神灵庙,0.06854734619921239
文艺女青年,0.06369760729963535
芳香x小伞,0.06369760729963535
芳香x阿燐,0.06369760729963535
芳香x露米娅,0.06369760729963535
芳香x幽香,0.06369760729963535
芳香x青娥,0.06369760729963535
芳香x华扇,0.06369760729963535
芳香x美铃,0.06369760729963535
什么都感觉不到,0.06369760729963535
她的身体非常僵硬,0.06369760729963535
关节部位无法活动,0.06369760729963535
由于不会感觉到痛楚和疲惫,0.06369760729963535
忠実な死体,0.06369760729963535
rigid,0.06369760729963535
paradise,0.06369760729963535
最爱增加同伴的僵尸,0.06369760729963535
desire,0.06369760729963535
欲符,0.06369760729963535
不死杀人鬼,0.06369760729963535
幺乐团的历史,0.06231576927201127
笨蛋,0.05864423327469145
zombie,0.05864423327469145
无法理解的守墓人与来自旧地狱的使者,0.05864423327469145
吃货,0.05864423327469145
claw,0.05505880734457161
僵尸,0.05505880734457161
poison,0.05227773493292491
查看日文原文,0.05067664435090425
东方求闻口授,0.04985261541760901
求闻口授,0.0449201414967803
猯,0.04363893497786117
东方project专集,0.04363893497786117
zun氏长篇访谈,0.04363893497786117
弹幕天邪鬼,0.04362103849040789
东方神灵庙采访,0.042451069543069125
神灵庙设定文档,0.042451069543069125
第四日,0.04203833603760857
圣,0.041366633364563976
心,0.04036904878390575
叶月,0.03944542972511615
3面boss,0.03858556095291727
二次设定,0.037389461563206765
